モーター番号,2連対率,勝率,1着,2着,3着,出走回数,優出回数,優勝回数,平均展示タイム,最高タイム（1800m）,逃げ,まくり,差し,まくり差し,抜き,恵まれ
10,65.38,6.96,9,8,2,26,2,1,6.76,"148""4",6,1,1,1,0,0
12,64.71,7.53,7,4,2,17,1,0,6.79,"149""0",5,1,0,1,0,0
56,57.69,6.77,8,7,4,26,0,0,6.86,"148""2",5,2,1,0,0,0
28,57.14,7.10,7,5,3,21,1,0,6.84,"149""1",5,0,0,0,2,0
46,54.84,6.84,13,4,4,31,0,0,6.82,"148""0",9,1,2,1,0,0
51,53.85,5.92,4,10,1,26,1,0,6.86,"148""8",2,1,0,1,0,0
11,52.94,6.88,5,4,4,17,1,0,6.79,"147""5",3,1,0,1,0,0
14,52.94,6.47,6,3,1,17,1,0,6.76,"148""7",2,2,1,1,0,0
36,52.94,6.35,5,4,2,17,1,0,6.84,"148""8",3,0,1,0,1,0
7,50.00,5.96,4,8,4,24,2,0,6.83,"147""4",3,0,0,1,0,0
20,50.00,5.79,5,7,1,24,1,1,6.84,"148""7",4,0,1,0,0,0
57,44.00,5.84,5,6,5,25,0,0,6.76,"148""9",2,0,1,2,0,0
48,42.86,5.89,9,6,6,35,1,0,6.80,"148""3",5,1,2,0,1,0
38,42.86,5.54,6,6,2,28,0,0,6.84,"148""0",2,1,2,0,1,0
16,42.31,5.08,6,5,1,26,1,1,6.82,"147""4",3,2,1,0,0,0
39,41.38,5.66,2,10,6,29,0,0,6.82,"150""0",1,1,0,0,0,0
35,40.91,5.95,5,4,5,22,1,1,6.84,"148""7",3,1,0,1,0,0
3,40.91,5.64,4,5,4,22,1,0,6.85,"149""3",2,1,0,1,0,0
59,40.74,5.04,1,10,3,27,0,0,6.85,"150""2",1,0,0,0,0,0
34,39.29,6.32,7,4,10,28,0,0,6.81,"148""9",5,1,0,0,1,0
61,39.13,5.96,7,2,5,23,1,0,6.81,"149""3",5,0,2,0,0,0
58,39.13,5.61,2,7,4,23,0,0,6.86,"149""2",2,0,0,0,0,0
24,37.50,5.08,2,7,2,24,1,0,6.85,"149""9",0,0,1,1,0,0
4,37.04,5.85,6,4,7,27,0,0,6.85,"148""1",3,2,0,0,1,0
45,35.71,4.79,5,5,3,28,1,0,6.83,"149""1",2,1,1,1,0,0
32,34.78,5.43,6,2,2,23,0,0,6.84,"147""7",3,1,1,0,1,0
31,34.62,5.15,4,5,5,26,0,0,6.83,"148""7",0,2,0,1,1,0
55,33.33,6.00,5,3,8,24,2,0,6.84,"148""6",4,0,0,0,1,0
6,33.33,5.78,4,2,4,18,0,0,6.84,"149""1",2,1,1,0,0,0
54,32.43,5.89,6,6,14,37,1,0,6.82,"147""9",2,0,2,1,0,1
5,32.14,4.68,2,7,2,28,0,0,6.87,"150""1",2,0,0,0,0,0
40,31.82,5.27,4,3,6,22,0,0,6.85,"149""3",3,0,0,0,1,0
15,30.43,5.87,4,3,9,23,1,0,6.85,"148""1",1,1,1,0,0,1
33,30.00,5.75,2,4,6,20,0,0,6.88,"149""8",2,0,0,0,0,0
2,28.57,5.18,3,5,4,28,0,0,6.84,"149""0",3,0,0,0,0,0
60,28.57,4.75,3,5,5,28,0,0,6.86,"148""9",2,0,0,0,1,0
27,28.13,4.41,6,3,3,32,0,0,6.82,"149""1",6,0,0,0,0,0
37,27.27,4.64,3,3,4,22,0,0,6.85,"148""4",3,0,0,0,0,0
18,26.92,4.65,4,3,4,26,0,0,6.82,"150""2",2,2,0,0,0,0
62,26.32,4.58,3,2,4,19,0,0,6.82,"149""5",3,0,0,0,0,0
9,26.09,4.65,3,3,3,23,0,0,6.87,"149""1",2,1,0,0,0,0
26,25.93,4.67,3,4,5,27,0,0,6.81,"149""6",1,0,0,1,1,0
42,25.00,4.96,5,1,3,24,1,0,6.88,"150""2",3,1,1,0,0,0
44,25.00,4.50,1,2,1,12,0,0,6.86,"151""0",1,0,0,0,0,0
50,25.00,4.38,1,1,1,8,0,0,6.89,"150""0",1,0,0,0,0,0
41,25.00,4.00,2,1,1,12,0,0,6.84,"151""2",1,1,0,0,0,0
17,22.73,4.59,3,2,4,22,0,0,6.87,"149""4",3,0,0,0,0,0
8,22.22,4.33,3,1,2,18,0,0,6.87,"149""9",2,0,1,0,0,0
25,21.74,4.13,3,2,2,23,0,0,6.83,"150""9",1,1,0,1,0,0
53,21.05,4.32,0,4,3,19,0,0,6.88,"151""1",0,0,0,0,0,0
30,19.23,4.31,3,2,4,26,0,0,6.78,"148""1",2,0,0,0,1,0
23,19.23,3.50,2,3,3,26,1,0,6.82,"149""6",1,0,0,0,1,0
1,18.52,4.89,2,3,7,27,0,0,6.83,"148""4",1,0,0,0,1,0
21,18.52,3.67,3,2,3,27,0,0,6.85,"149""5",2,1,0,0,0,0
52,18.18,4.45,3,3,8,33,0,0,6.84,"149""9",1,2,0,0,0,0
47,17.65,5.29,3,0,5,17,0,0,6.85,"149""0",2,0,1,0,0,0
43,17.39,4.22,2,2,6,23,0,0,6.85,"149""6",1,1,0,0,0,0
22,14.29,3.81,1,2,5,21,0,0,6.89,"149""8",1,0,0,0,0,0
13,13.33,3.87,0,2,3,15,0,0,6.75,"152""4",0,0,0,0,0,0
29,13.33,2.87,1,1,1,15,0,0,6.86,"151""4",1,0,0,0,0,0
19,10.00,2.90,0,1,1,10,0,0,6.89,"152""2",0,0,0,0,0,0
49,0.00,2.10,0,0,1,20,0,0,6.87,"153""1",0,0,0,0,0,0
