grade,date,race_name,race_no,3連単オッズ,3連単人気,3連複オッズ,3連複人気,2連単オッズ,2連単人気,2連複オッズ,2連複人気
G3,2023-11-23,シャボン玉石けん杯,1,22120,68,6500,18,5960,15,2040,9
G3,2023-11-23,シャボン玉石けん杯,2,15030,52,1050,5,5150,18,2540,9
G3,2023-11-23,シャボン玉石けん杯,3,1160,2,620,3,430,2,250,1
G3,2023-11-23,シャボン玉石けん杯,4,4050,15,470,2,1400,4,290,1
G3,2023-11-23,シャボン玉石けん杯,5,440,1,260,2,190,1,190,1
G3,2023-11-23,シャボン玉石けん杯,6,1320,4,550,3,290,1,230,1
G3,2023-11-23,シャボン玉石けん杯,7,22520,71,2340,12,4870,16,3150,13
G3,2023-11-23,シャボン玉石けん杯,8,750,3,500,3,230,1,230,2
G3,2023-11-23,シャボン玉石けん杯,9,2670,10,1310,6,510,2,600,2
G3,2023-11-23,シャボン玉石けん杯,10,15010,27,370,2,6760,11,880,3
G3,2023-11-23,シャボン玉石けん杯,11,2520,10,480,3,890,4,970,4
G3,2023-11-23,シャボン玉石けん杯,12,13050,32,2270,8,3700,9,3080,9
G3,2023-11-22,シャボン玉石けん杯,1,760,2,300,2,300,1,260,1
G3,2023-11-22,シャボン玉石けん杯,2,5650,20,1780,7,1360,6,1460,7
G3,2023-11-22,シャボン玉石けん杯,3,14260,59,4410,16,5950,22,3380,14
G3,2023-11-22,シャボン玉石けん杯,4,4590,20,460,1,1340,5,340,1
G3,2023-11-22,シャボン玉石けん杯,5,950,5,380,2,540,3,470,3
G3,2023-11-22,シャボン玉石けん杯,6,2130,8,450,1,1410,4,1080,4
G3,2023-11-22,シャボン玉石けん杯,7,1570,5,340,1,1150,4,330,2
G3,2023-11-22,シャボン玉石けん杯,8,1570,6,670,3,400,2,220,1
G3,2023-11-22,シャボン玉石けん杯,9,1590,7,1070,4,230,1,290,1
G3,2023-11-22,シャボン玉石けん杯,10,360,1,180,1,200,1,160,1
G3,2023-11-22,シャボン玉石けん杯,11,500,1,310,1,220,1,190,1
G3,2023-11-22,シャボン玉石けん杯,12,4960,19,2050,10,2000,6,1260,7
G3,2023-11-21,シャボン玉石けん杯,1,1720,4,520,2,570,1,450,2
G3,2023-11-21,シャボン玉石けん杯,2,8560,43,1310,7,2980,12,470,1
G3,2023-11-21,シャボン玉石けん杯,3,1360,2,550,2,340,1,220,1
G3,2023-11-21,シャボン玉石けん杯,4,8550,30,2110,10,2190,9,580,4
G3,2023-11-21,シャボン玉石けん杯,5,2460,9,770,3,890,4,940,3
G3,2023-11-21,シャボン玉石けん杯,6,18060,58,1980,8,6580,18,5610,12
G3,2023-11-21,シャボン玉石けん杯,7,6560,25,910,4,2060,8,510,3
G3,2023-11-21,シャボン玉石けん杯,8,1160,3,300,2,640,4,440,3
G3,2023-11-21,シャボン玉石けん杯,9,730,1,290,1,220,1,200,1
G3,2023-11-21,シャボン玉石けん杯,10,630,1,380,1,240,1,230,1
G3,2023-11-21,シャボン玉石けん杯,11,540,1,250,1,280,1,320,2
G3,2023-11-21,シャボン玉石けん杯,12,520,1,240,1,260,1,220,1
G3,2023-11-20,シャボン玉石けん杯,1,1470,4,350,1,440,2,370,1
G3,2023-11-20,シャボン玉石けん杯,2,770,1,220,1,300,1,210,1
G3,2023-11-20,シャボン玉石けん杯,3,3340,11,1600,9,610,2,540,2
G3,2023-11-20,シャボン玉石けん杯,4,2400,7,800,5,630,2,530,3
G3,2023-11-20,シャボン玉石けん杯,5,15500,26,330,1,6970,9,4410,6
G3,2023-11-20,シャボン玉石けん杯,6,3370,13,410,2,370,2,270,1
G3,2023-11-20,シャボン玉石けん杯,7,1260,3,380,1,590,2,450,2
G3,2023-11-20,シャボン玉石けん杯,8,350,1,180,1,210,1,170,1
G3,2023-11-20,シャボン玉石けん杯,9,22470,61,870,5,10070,25,6570,13
G3,2023-11-20,シャボン玉石けん杯,10,1680,7,590,3,740,3,630,4
G3,2023-11-20,シャボン玉石けん杯,11,2490,8,320,1,990,5,340,2
G3,2023-11-20,シャボン玉石けん杯,12,840,3,210,1,530,2,370,2
G3,2023-11-19,シャボン玉石けん杯,1,13740,61,4830,18,1730,7,1110,7
G3,2023-11-19,シャボン玉石けん杯,2,4120,13,1060,4,650,1,450,1
G3,2023-11-19,シャボン玉石けん杯,3,4630,16,760,4,2200,9,1300,6
G3,2023-11-19,シャボン玉石けん杯,4,3950,17,780,4,1130,4,810,7
G3,2023-11-19,シャボン玉石けん杯,5,1110,4,580,3,300,2,340,2
G3,2023-11-19,シャボン玉石けん杯,6,3350,11,1760,7,600,2,480,2
G3,2023-11-19,シャボン玉石けん杯,7,1000,3,290,1,340,2,100,1
G3,2023-11-19,シャボン玉石けん杯,8,1120,4,710,2,230,1,230,2
G3,2023-11-19,シャボン玉石けん杯,9,3590,14,760,4,360,2,140,1
G3,2023-11-19,シャボン玉石けん杯,10,2750,10,660,3,520,2,200,1
G3,2023-11-19,シャボン玉石けん杯,11,500,1,280,1,250,1,160,1
G3,2023-11-19,シャボン玉石けん杯,12,25090,31,510,2,5710,8,610,3
G3,2023-11-17,シャボン玉石けん杯,1,5480,19,1960,9,510,3,430,2
G3,2023-11-17,シャボン玉石けん杯,2,7180,25,1050,7,1510,5,400,2
G3,2023-11-17,シャボン玉石けん杯,3,10250,34,1780,7,2450,10,1820,6
G3,2023-11-17,シャボン玉石けん杯,4,6890,31,590,3,2120,9,1030,6
G3,2023-11-17,シャボン玉石けん杯,5,750,2,360,2,270,1,290,1
G3,2023-11-17,シャボン玉石けん杯,6,2290,9,310,1,1470,7,580,4
G3,2023-11-17,シャボン玉石けん杯,7,1350,5,490,3,380,2,140,1
G3,2023-11-17,シャボン玉石けん杯,8,1010,3,190,1,590,3,310,2
G3,2023-11-17,シャボン玉石けん杯,9,1400,5,390,2,560,3,960,4
G3,2023-11-17,シャボン玉石けん杯,10,1280,3,490,2,340,1,320,1
G3,2023-11-17,シャボン玉石けん杯,11,690,1,380,1,240,1,230,1
G3,2023-11-17,シャボン玉石けん杯,12,1170,3,320,2,520,2,400,2
G1,2023-11-08,読売新聞社杯全日本覇者決定戦開設71周年記念競走,1,1560,7,590,3,350,2,330,2
G1,2023-11-08,読売新聞社杯全日本覇者決定戦開設71周年記念競走,2,39640,67,5640,14,9510,20,3900,9
G1,2023-11-08,読売新聞社杯全日本覇者決定戦開設71周年記念競走,3,4540,15,830,4,1300,4,270,1
G1,2023-11-08,読売新聞社杯全日本覇者決定戦開設71周年記念競走,4,4070,16,510,1,1490,6,300,1
G1,2023-11-08,読売新聞社杯全日本覇者決定戦開設71周年記念競走,5,1060,1,430,1,360,1,290,1
G1,2023-11-08,読売新聞社杯全日本覇者決定戦開設71周年記念競走,6,1930,8,610,2,500,2,780,4
G1,2023-11-08,読売新聞社杯全日本覇者決定戦開設71周年記念競走,7,1120,4,440,2,400,2,400,3
G1,2023-11-08,読売新聞社杯全日本覇者決定戦開設71周年記念競走,8,1200,1,480,2,470,1,430,2
G1,2023-11-08,読売新聞社杯全日本覇者決定戦開設71周年記念競走,9,50210,77,1420,6,10340,20,5470,13
G1,2023-11-08,読売新聞社杯全日本覇者決定戦開設71周年記念競走,10,3130,12,930,6,920,4,830,4
G1,2023-11-08,読売新聞社杯全日本覇者決定戦開設71周年記念競走,11,10550,23,610,5,3310,7,620,4
G1,2023-11-08,読売新聞社杯全日本覇者決定戦開設71周年記念競走,12,6990,24,2150,9,2350,7,1310,5
G1,2023-11-07,読売新聞社杯全日本覇者決定戦開設71周年記念競走,1,10430,40,1720,8,4290,15,1270,5
