name,regno,場,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST
黒野 元基,4960,桐生,12,110,31,6.34,28.1,46.3,63.6,3,1,0.16
黒野 元基,4960,戸田,13,105,24,5.78,22.8,39.0,54.2,4,0,0.16
黒野 元基,4960,江戸川,9,81,15,5.43,18.5,34.5,58.0,0,0,0.18
黒野 元基,4960,平和島,2,22,5,6.32,22.7,50.0,63.6,0,0,0.13
黒野 元基,4960,多摩川,11,106,29,6.66,27.3,53.7,68.8,4,1,0.15
黒野 元基,4960,浜名湖,9,63,13,5.6,20.6,38.1,53.9,2,1,0.2
黒野 元基,4960,蒲郡,31,274,56,5.86,20.4,39.4,56.2,4,0,0.16
黒野 元基,4960,常滑,32,287,61,6.07,21.2,42.5,63.0,9,0,0.16
黒野 元基,4960,津,18,148,33,5.68,22.3,37.1,53.3,3,2,0.16
黒野 元基,4960,三国,8,81,8,5.15,9.8,33.3,50.6,2,0,0.16
黒野 元基,4960,びわこ,11,104,23,6.24,22.1,43.2,65.3,1,0,0.17
黒野 元基,4960,住之江,5,49,8,6.08,16.3,40.8,69.3,2,0,0.15
黒野 元基,4960,尼崎,5,43,6,4.95,13.9,32.5,44.1,1,0,0.18
黒野 元基,4960,鳴門,10,92,29,6.58,31.5,48.9,64.1,5,2,0.15
黒野 元基,4960,丸亀,6,58,17,6.34,29.3,44.8,60.3,1,0,0.16
黒野 元基,4960,児島,10,84,20,5.96,23.8,44.0,66.6,3,1,0.17
黒野 元基,4960,宮島,6,54,6,5.07,11.1,27.7,50.0,1,0,0.16
黒野 元基,4960,徳山,7,70,24,6.8,34.2,54.2,67.1,1,0,0.16
黒野 元基,4960,下関,6,52,18,6.85,34.6,46.1,71.1,2,1,0.15
黒野 元基,4960,若松,9,90,21,6.17,23.3,37.7,63.3,3,1,0.15
黒野 元基,4960,芦屋,6,51,12,5.88,23.5,45.1,60.7,1,0,0.15
黒野 元基,4960,福岡,8,82,15,6.15,18.2,50.0,64.6,1,0,0.15
黒野 元基,4960,唐津,4,38,10,6.08,26.3,36.8,60.5,0,0,0.16
黒野 元基,4960,大村,2,18,3,6.5,16.6,44.4,77.7,0,0,0.11
