1,三苫 晃幸,三苫 晃幸.1,2,松田　大志郎,松田　大志郎.1,3,谷村 啓司,谷村 啓司.1,4,溝口　海義也,溝口　海義也.1,5,原田 雄次,原田 雄次.1,6,安河内鈴之介,安河内鈴之介.1
2.0,3.0,12.6,1.0,3.0,23.8,1.0,2.0,163.6,1.0,2.0,19.9,1.0,2.0,463.5,1.0,2.0,804.8
2.0,4.0,5.3,1.0,4.0,7.2,1.0,4.0,243.5,1.0,3.0,94.2,1.0,3.0,1082.0,1.0,3.0,1665.0
2.0,5.0,23.6,1.0,5.0,33.5,1.0,5.0,494.2,1.0,5.0,52.8,1.0,4.0,493.1,1.0,4.0,1121.0
2.0,6.0,72.6,1.0,6.0,82.0,1.0,6.0,762.3,1.0,6.0,96.9,1.0,6.0,1121.0,1.0,5.0,2231.0
3.0,2.0,48.0,3.0,1.0,67.9,2.0,1.0,225.2,2.0,1.0,19.8,2.0,1.0,601.3,2.0,1.0,1011.0
3.0,4.0,62.8,3.0,4.0,50.3,2.0,4.0,171.5,2.0,3.0,65.7,2.0,3.0,1127.0,2.0,3.0,1396.0
3.0,5.0,197.3,3.0,5.0,153.9,2.0,5.0,448.2,2.0,5.0,45.1,2.0,4.0,425.3,2.0,4.0,767.7
3.0,6.0,327.5,3.0,6.0,197.3,2.0,6.0,586.7,2.0,6.0,72.1,2.0,6.0,1266.0,2.0,5.0,1882.0
4.0,2.0,10.4,4.0,1.0,12.5,4.0,1.0,307.9,3.0,1.0,235.5,3.0,1.0,1568.0,3.0,1.0,2775.0
4.0,3.0,44.4,4.0,3.0,33.6,4.0,2.0,222.5,3.0,2.0,162.9,3.0,2.0,1789.0,3.0,2.0,2081.0
4.0,5.0,50.9,4.0,5.0,28.3,4.0,5.0,598.0,3.0,5.0,364.4,3.0,4.0,1678.0,3.0,4.0,2608.0
4.0,6.0,101.3,4.0,6.0,62.8,4.0,6.0,736.3,3.0,6.0,495.4,3.0,6.0,3549.0,3.0,5.0,3732.0
5.0,2.0,109.2,5.0,1.0,145.2,5.0,1.0,1189.0,5.0,1.0,88.8,4.0,1.0,430.4,4.0,1.0,1163.0
5.0,3.0,272.6,5.0,3.0,311.5,5.0,2.0,1139.0,5.0,2.0,76.9,4.0,2.0,368.1,4.0,2.0,749.1
5.0,4.0,148.3,5.0,4.0,148.6,5.0,4.0,1209.0,5.0,3.0,275.4,4.0,3.0,1273.0,4.0,3.0,1882.0
5.0,6.0,505.8,5.0,6.0,496.5,5.0,6.0,2004.0,5.0,6.0,179.9,4.0,6.0,767.7,4.0,5.0,1899.0
6.0,2.0,386.5,6.0,1.0,332.5,6.0,1.0,1691.0,6.0,1.0,233.5,6.0,1.0,2164.0,5.0,1.0,3092.0
6.0,3.0,894.6,6.0,3.0,594.7,6.0,2.0,1121.0,6.0,2.0,198.0,6.0,2.0,2122.0,5.0,2.0,2706.0
6.0,4.0,451.9,6.0,4.0,271.9,6.0,4.0,1652.0,6.0,3.0,625.7,6.0,3.0,3436.0,5.0,3.0,3798.0
6.0,5.0,743.9,6.0,5.0,691.6,6.0,5.0,2231.0,6.0,5.0,312.4,6.0,4.0,1304.0,5.0,4.0,2925.0
