1,橋本 英一,橋本 英一.1,2,水摩 敦,水摩 敦.1,3,大庭 元明,大庭 元明.1,4,犬童 千秋,犬童 千秋.1,5,今井 貴士,今井 貴士.1,6,古賀 智之,古賀 智之.1
2.0,3.0,16.6,1.0,3.0,18.8,1.0,2.0,58.3,1.0,2.0,229.6,1.0,2.0,84.9,1.0,2.0,1320.0
2.0,4.0,30.7,1.0,4.0,33.1,1.0,4.0,90.7,1.0,3.0,312.0,1.0,3.0,119.1,1.0,3.0,2137.0
2.0,5.0,17.5,1.0,5.0,18.0,1.0,5.0,49.3,1.0,5.0,247.8,1.0,4.0,230.3,1.0,4.0,2432.0
2.0,6.0,103.9,1.0,6.0,122.1,1.0,6.0,225.8,1.0,6.0,614.1,1.0,6.0,248.8,1.0,5.0,1896.0
3.0,2.0,25.1,3.0,1.0,31.9,2.0,1.0,60.1,2.0,1.0,240.4,2.0,1.0,82.9,2.0,1.0,1325.0
3.0,4.0,46.3,3.0,4.0,25.1,2.0,4.0,43.5,2.0,3.0,154.7,2.0,3.0,45.8,2.0,3.0,1364.0
3.0,5.0,25.3,3.0,5.0,13.9,2.0,5.0,26.9,2.0,5.0,134.4,2.0,4.0,100.6,2.0,4.0,1614.0
3.0,6.0,125.5,3.0,6.0,96.1,2.0,6.0,129.5,2.0,6.0,429.9,2.0,6.0,154.8,2.0,5.0,1084.0
4.0,2.0,75.4,4.0,1.0,75.2,4.0,1.0,137.9,3.0,1.0,364.2,3.0,1.0,159.6,3.0,1.0,2282.0
4.0,3.0,89.6,4.0,3.0,54.6,4.0,2.0,76.0,3.0,2.0,172.2,3.0,2.0,66.6,3.0,2.0,1586.0
4.0,5.0,89.1,4.0,5.0,44.4,4.0,5.0,72.2,3.0,5.0,184.7,3.0,4.0,156.2,3.0,4.0,1946.0
4.0,6.0,248.4,4.0,6.0,181.7,4.0,6.0,241.9,3.0,6.0,567.9,3.0,6.0,231.3,3.0,5.0,1600.0
5.0,2.0,34.1,5.0,1.0,35.2,5.0,1.0,84.1,5.0,1.0,240.5,4.0,1.0,364.9,4.0,1.0,3455.0
5.0,3.0,43.5,5.0,3.0,18.5,5.0,2.0,44.7,5.0,2.0,143.0,4.0,2.0,159.7,4.0,2.0,2448.0
5.0,4.0,87.4,5.0,4.0,40.4,5.0,4.0,76.7,5.0,3.0,183.9,4.0,3.0,217.7,4.0,3.0,2679.0
5.0,6.0,141.2,5.0,6.0,92.7,5.0,6.0,140.0,5.0,6.0,347.1,4.0,6.0,371.2,4.0,5.0,2100.0
6.0,2.0,398.0,6.0,1.0,469.8,6.0,1.0,732.1,6.0,1.0,1244.0,6.0,1.0,578.6,5.0,1.0,2137.0
6.0,3.0,497.6,6.0,3.0,352.8,6.0,2.0,438.6,6.0,2.0,917.4,6.0,2.0,345.5,5.0,2.0,1151.0
6.0,4.0,666.2,6.0,4.0,387.5,6.0,4.0,571.4,6.0,3.0,1100.0,6.0,3.0,474.0,5.0,3.0,1696.0
6.0,5.0,413.5,6.0,5.0,293.2,6.0,5.0,336.1,6.0,5.0,778.4,6.0,4.0,633.1,5.0,4.0,1794.0
