1,今井 貴士,今井 貴士.1,2,青木　幸太郎,青木　幸太郎.1,3,中尾 彩香,中尾 彩香.1,4,松田　大志郎,松田　大志郎.1,5,木下 大將,木下 大將.1,6,三原 司,三原 司.1
2.0,3.0,59.1,1.0,3.0,256.4,1.0,2.0,792.0,1.0,2.0,19.7,1.0,2.0,167.0,1.0,2.0,796.7
2.0,4.0,6.5,1.0,4.0,40.4,1.0,4.0,659.1,1.0,3.0,136.9,1.0,3.0,658.1,1.0,3.0,2611.0
2.0,5.0,19.2,1.0,5.0,98.3,1.0,5.0,891.4,1.0,5.0,17.6,1.0,4.0,89.5,1.0,4.0,375.7
2.0,6.0,28.3,1.0,6.0,165.5,1.0,6.0,1823.0,1.0,6.0,26.7,1.0,6.0,207.6,1.0,5.0,852.0
3.0,2.0,143.7,3.0,1.0,727.9,2.0,1.0,1053.0,2.0,1.0,43.3,2.0,1.0,297.1,2.0,1.0,1176.0
3.0,4.0,104.8,3.0,4.0,1032.0,2.0,4.0,1455.0,2.0,3.0,296.0,2.0,3.0,1487.0,2.0,3.0,3489.0
3.0,5.0,193.0,3.0,5.0,1293.0,2.0,5.0,2312.0,2.0,5.0,57.9,2.0,4.0,313.2,2.0,4.0,812.7
3.0,6.0,262.3,3.0,6.0,1814.0,2.0,6.0,2467.0,2.0,6.0,80.5,2.0,6.0,520.2,2.0,5.0,1909.0
4.0,2.0,5.9,4.0,1.0,70.2,4.0,1.0,1102.0,3.0,1.0,566.0,3.0,1.0,1927.0,3.0,1.0,4305.0
4.0,3.0,45.3,4.0,3.0,504.6,4.0,2.0,1856.0,3.0,2.0,1087.0,3.0,2.0,3113.0,3.0,2.0,4599.0
4.0,5.0,8.8,4.0,5.0,149.4,4.0,5.0,1955.0,3.0,5.0,726.6,3.0,4.0,2223.0,3.0,4.0,3679.0
4.0,6.0,13.9,4.0,6.0,193.4,4.0,6.0,2312.0,3.0,6.0,799.8,3.0,6.0,3967.0,3.0,5.0,6040.0
5.0,2.0,36.7,5.0,1.0,273.6,5.0,1.0,1839.0,5.0,1.0,24.6,4.0,1.0,93.5,4.0,1.0,376.8
5.0,3.0,144.2,5.0,3.0,1249.0,5.0,2.0,2850.0,5.0,2.0,42.2,4.0,2.0,151.4,4.0,2.0,683.6
5.0,4.0,24.6,5.0,4.0,300.2,5.0,4.0,2211.0,5.0,3.0,233.2,4.0,3.0,822.6,4.0,3.0,2423.0
5.0,6.0,62.5,5.0,6.0,545.4,5.0,6.0,3043.0,5.0,6.0,33.9,4.0,6.0,137.0,4.0,5.0,552.9
6.0,2.0,99.6,6.0,1.0,616.9,6.0,1.0,4305.0,6.0,1.0,54.1,6.0,1.0,422.4,5.0,1.0,996.8
6.0,3.0,349.8,6.0,3.0,2662.0,6.0,2.0,3113.0,6.0,2.0,96.8,6.0,2.0,621.7,5.0,2.0,1873.0
6.0,4.0,60.2,6.0,4.0,453.2,6.0,4.0,4497.0,6.0,3.0,423.8,6.0,3.0,2380.0,5.0,3.0,4399.0
6.0,5.0,117.8,6.0,5.0,934.7,6.0,5.0,5544.0,6.0,5.0,65.5,6.0,4.0,331.7,5.0,4.0,662.4
