1,西原 明生,西原 明生.1,2,中 亮太,中 亮太.1,3,永田 義紘,永田 義紘.1,4,新田 泰章,新田 泰章.1,5,岡部 浩,岡部 浩.1,6,胡本 悟志,胡本 悟志.1
2.0,3.0,22.5,1.0,3.0,14.0,1.0,2.0,114.7,1.0,2.0,49.3,1.0,2.0,1067.0,1.0,2.0,1374.0
2.0,4.0,16.6,1.0,4.0,7.8,1.0,4.0,126.1,1.0,3.0,94.0,1.0,3.0,1208.0,1.0,3.0,1718.0
2.0,5.0,76.8,1.0,5.0,57.3,1.0,5.0,239.0,1.0,5.0,143.0,1.0,4.0,1249.0,1.0,4.0,2036.0
2.0,6.0,117.7,1.0,6.0,51.8,1.0,6.0,318.7,1.0,6.0,140.8,1.0,6.0,1293.0,1.0,5.0,3792.0
3.0,2.0,43.1,3.0,1.0,24.7,2.0,1.0,86.7,2.0,1.0,31.3,2.0,1.0,1208.0,2.0,1.0,1392.0
3.0,4.0,55.8,3.0,4.0,10.8,2.0,4.0,44.7,2.0,3.0,32.4,2.0,3.0,709.4,2.0,3.0,981.8
3.0,5.0,174.0,3.0,5.0,51.9,2.0,5.0,140.6,2.0,5.0,68.8,2.0,4.0,561.0,2.0,4.0,518.7
3.0,6.0,232.4,3.0,6.0,46.2,2.0,6.0,135.0,2.0,6.0,59.1,2.0,6.0,973.1,2.0,5.0,1929.0
4.0,2.0,30.2,4.0,1.0,11.5,4.0,1.0,150.2,3.0,1.0,158.9,3.0,1.0,1341.0,3.0,1.0,1896.0
4.0,3.0,50.9,4.0,3.0,9.3,4.0,2.0,70.3,3.0,2.0,77.0,3.0,2.0,1057.0,3.0,2.0,1293.0
4.0,5.0,120.4,4.0,5.0,32.4,4.0,5.0,214.7,3.0,5.0,251.0,3.0,4.0,1037.0,3.0,4.0,1409.0
4.0,6.0,134.6,4.0,6.0,23.3,4.0,6.0,238.0,3.0,6.0,201.0,3.0,6.0,1745.0,3.0,5.0,1963.0
5.0,2.0,311.5,5.0,1.0,150.8,5.0,1.0,413.4,5.0,1.0,218.1,4.0,1.0,1027.0,4.0,1.0,1617.0
5.0,3.0,405.7,5.0,3.0,157.7,5.0,2.0,385.8,5.0,2.0,138.3,4.0,2.0,614.3,4.0,2.0,658.5
5.0,4.0,443.4,5.0,4.0,112.3,5.0,4.0,391.3,5.0,3.0,280.5,4.0,3.0,948.0,4.0,3.0,1428.0
5.0,6.0,908.8,5.0,6.0,282.6,5.0,6.0,924.1,5.0,6.0,227.2,4.0,6.0,1157.0,4.0,5.0,3054.0
6.0,2.0,419.7,6.0,1.0,225.8,6.0,1.0,826.8,6.0,1.0,355.8,6.0,1.0,1999.0,5.0,1.0,4781.0
6.0,3.0,614.3,6.0,3.0,188.9,6.0,2.0,563.9,6.0,2.0,165.3,6.0,2.0,1691.0,5.0,2.0,2893.0
6.0,4.0,635.6,6.0,4.0,101.4,6.0,4.0,683.0,6.0,3.0,353.6,6.0,3.0,2114.0,5.0,3.0,3665.0
6.0,5.0,1169.0,6.0,5.0,337.3,6.0,5.0,1099.0,6.0,5.0,404.3,6.0,4.0,2244.0,5.0,4.0,3547.0
