1,伊藤 誠二,伊藤 誠二.1,2,加藤 翔馬,加藤 翔馬.1,3,日笠 勝弘,日笠 勝弘.1,4,下河 雅史,下河 雅史.1,5,中 亮太,中 亮太.1,6,菅 章哉,菅 章哉.1
2.0,3.0,43.4,1.0,3.0,121.7,1.0,2.0,429.7,1.0,2.0,210.9,1.0,2.0,58.5,1.0,2.0,19.7
2.0,4.0,33.0,1.0,4.0,74.3,1.0,4.0,531.6,1.0,3.0,493.8,1.0,3.0,185.3,1.0,3.0,81.3
2.0,5.0,17.7,1.0,5.0,51.0,1.0,5.0,484.7,1.0,5.0,188.2,1.0,4.0,95.6,1.0,4.0,41.4
2.0,6.0,21.4,1.0,6.0,54.0,1.0,6.0,511.2,1.0,6.0,174.8,1.0,6.0,43.3,1.0,5.0,20.7
3.0,2.0,89.1,3.0,1.0,344.0,2.0,1.0,568.3,2.0,1.0,283.1,2.0,1.0,83.8,2.0,1.0,28.3
3.0,4.0,122.5,3.0,4.0,397.2,2.0,4.0,714.1,2.0,3.0,635.3,2.0,3.0,265.9,2.0,3.0,88.2
3.0,5.0,99.5,3.0,5.0,346.1,2.0,5.0,803.5,2.0,5.0,275.3,2.0,4.0,131.6,2.0,4.0,45.6
3.0,6.0,129.9,3.0,6.0,353.4,2.0,6.0,712.9,2.0,6.0,240.9,2.0,6.0,69.2,2.0,5.0,28.5
4.0,2.0,53.7,4.0,1.0,186.8,4.0,1.0,938.1,3.0,1.0,940.2,3.0,1.0,484.1,3.0,1.0,164.7
4.0,3.0,129.9,4.0,3.0,382.4,4.0,2.0,893.2,3.0,2.0,897.0,3.0,2.0,477.5,3.0,2.0,161.7
4.0,5.0,45.6,4.0,5.0,175.7,4.0,5.0,940.2,3.0,5.0,904.7,3.0,4.0,613.9,3.0,4.0,212.3
4.0,6.0,56.0,4.0,6.0,175.0,4.0,6.0,886.6,3.0,6.0,815.2,3.0,6.0,394.8,3.0,5.0,178.4
5.0,2.0,24.9,5.0,1.0,93.8,5.0,1.0,737.9,5.0,1.0,194.8,4.0,1.0,175.2,4.0,1.0,75.1
5.0,3.0,90.7,5.0,3.0,272.4,5.0,2.0,845.6,5.0,2.0,241.3,4.0,2.0,178.7,4.0,2.0,76.0
5.0,4.0,48.4,5.0,4.0,153.8,5.0,4.0,945.4,5.0,3.0,571.7,4.0,3.0,519.4,4.0,3.0,199.2
5.0,6.0,25.1,5.0,6.0,78.7,5.0,6.0,694.0,5.0,6.0,112.3,4.0,6.0,109.6,4.0,5.0,60.4
6.0,2.0,31.6,6.0,1.0,88.4,6.0,1.0,671.3,6.0,1.0,177.7,6.0,1.0,37.8,5.0,1.0,25.4
6.0,3.0,105.3,6.0,3.0,264.4,6.0,2.0,739.2,6.0,2.0,211.0,6.0,2.0,47.4,5.0,2.0,30.3
6.0,4.0,59.2,6.0,4.0,149.2,6.0,4.0,798.2,6.0,3.0,506.9,6.0,3.0,178.9,5.0,3.0,112.5
6.0,5.0,28.2,6.0,5.0,86.4,6.0,5.0,676.7,6.0,5.0,118.6,6.0,4.0,64.8,5.0,4.0,42.3
