1,清水 攻二,清水 攻二.1,2,木村 仁紀,木村 仁紀.1,3,仲 航太,仲 航太.1,4,牧山 敦也,牧山 敦也.1,5,倉田 茂将,倉田 茂将.1,6,荻野 裕介,荻野 裕介.1
2.0,3.0,7.3,1.0,3.0,21.1,1.0,2.0,96.5,1.0,2.0,65.0,1.0,2.0,210.9,1.0,2.0,375.3
2.0,4.0,6.0,1.0,4.0,15.5,1.0,4.0,149.8,1.0,3.0,163.9,1.0,3.0,366.2,1.0,3.0,808.9
2.0,5.0,17.9,1.0,5.0,36.4,1.0,5.0,220.0,1.0,5.0,115.1,1.0,4.0,288.4,1.0,4.0,890.4
2.0,6.0,13.1,1.0,6.0,27.8,1.0,6.0,170.3,1.0,6.0,82.5,1.0,6.0,246.6,1.0,5.0,1127.0
3.0,2.0,15.9,3.0,1.0,70.9,2.0,1.0,159.7,2.0,1.0,93.5,2.0,1.0,311.9,2.0,1.0,427.2
3.0,4.0,26.2,3.0,4.0,106.9,2.0,4.0,302.4,2.0,3.0,325.7,2.0,3.0,654.1,2.0,3.0,1246.0
3.0,5.0,45.2,3.0,5.0,215.9,2.0,5.0,461.4,2.0,5.0,209.1,2.0,4.0,486.0,2.0,4.0,1147.0
3.0,6.0,46.9,3.0,6.0,210.1,2.0,6.0,318.8,2.0,6.0,153.1,2.0,6.0,419.9,2.0,5.0,1471.0
4.0,2.0,14.1,4.0,1.0,55.3,4.0,1.0,419.9,3.0,1.0,507.8,3.0,1.0,753.3,3.0,1.0,1432.0
4.0,3.0,32.3,4.0,3.0,139.8,4.0,2.0,522.8,3.0,2.0,714.3,3.0,2.0,1324.0,3.0,2.0,1718.0
4.0,5.0,39.7,4.0,5.0,149.6,4.0,5.0,821.4,3.0,5.0,1096.0,3.0,4.0,1589.0,3.0,4.0,2177.0
4.0,6.0,36.9,4.0,6.0,134.5,4.0,6.0,686.6,3.0,6.0,830.0,3.0,6.0,1347.0,3.0,5.0,2943.0
5.0,2.0,46.0,5.0,1.0,149.1,5.0,1.0,545.2,5.0,1.0,149.3,4.0,1.0,382.5,4.0,1.0,1292.0
5.0,3.0,84.1,5.0,3.0,367.5,5.0,2.0,767.8,5.0,2.0,195.0,4.0,2.0,516.9,4.0,2.0,1388.0
5.0,4.0,76.1,5.0,4.0,275.2,5.0,4.0,1066.0,5.0,3.0,552.8,4.0,3.0,1181.0,4.0,3.0,2483.0
5.0,6.0,83.7,5.0,6.0,283.5,5.0,6.0,880.6,5.0,6.0,183.2,4.0,6.0,462.0,4.0,5.0,1727.0
6.0,2.0,55.8,6.0,1.0,122.7,6.0,1.0,722.5,6.0,1.0,262.0,6.0,1.0,622.1,5.0,1.0,1543.0
6.0,3.0,112.1,6.0,3.0,352.4,6.0,2.0,854.5,6.0,2.0,310.4,6.0,2.0,692.6,5.0,2.0,1581.0
6.0,4.0,103.4,6.0,4.0,257.8,6.0,4.0,1302.0,6.0,3.0,786.8,6.0,3.0,1319.0,5.0,3.0,2426.0
6.0,5.0,143.0,6.0,5.0,361.2,6.0,5.0,1406.0,6.0,5.0,333.5,6.0,4.0,742.7,5.0,4.0,1796.0
