1,白水 勝也,白水 勝也.1,2,内堀 学,内堀 学.1,3,松江 秀徳,松江 秀徳.1,4,岡田 憲行,岡田 憲行.1,5,都築 正治,都築 正治.1,6,中島 真二,中島 真二.1
2.0,3.0,14.5,1.0,3.0,138.8,1.0,2.0,94.9,1.0,2.0,104.3,1.0,2.0,241.7,1.0,2.0,1245.0
2.0,4.0,14.2,1.0,4.0,125.3,1.0,4.0,31.7,1.0,3.0,56.8,1.0,3.0,130.6,1.0,3.0,1157.0
2.0,5.0,26.4,1.0,5.0,204.7,1.0,5.0,50.5,1.0,5.0,64.7,1.0,4.0,118.9,1.0,4.0,1138.0
2.0,6.0,61.9,1.0,6.0,363.5,1.0,6.0,118.6,1.0,6.0,117.2,1.0,6.0,248.5,1.0,5.0,1332.0
3.0,2.0,16.4,3.0,1.0,323.1,2.0,1.0,276.6,2.0,1.0,285.9,2.0,1.0,572.3,2.0,1.0,2403.0
3.0,4.0,6.7,3.0,4.0,572.8,2.0,4.0,390.7,2.0,3.0,585.0,2.0,3.0,1049.0,2.0,3.0,3656.0
3.0,5.0,9.3,3.0,5.0,763.7,2.0,5.0,593.0,2.0,5.0,610.4,2.0,4.0,874.5,2.0,4.0,2912.0
3.0,6.0,34.4,3.0,6.0,1316.0,2.0,6.0,813.4,2.0,6.0,736.7,2.0,6.0,1197.0,2.0,5.0,3675.0
4.0,2.0,14.4,4.0,1.0,343.5,4.0,1.0,79.7,3.0,1.0,114.0,3.0,1.0,292.0,3.0,1.0,2004.0
4.0,3.0,8.9,4.0,3.0,683.3,4.0,2.0,326.7,3.0,2.0,426.9,3.0,2.0,915.3,3.0,2.0,3756.0
4.0,5.0,11.9,4.0,5.0,903.2,4.0,5.0,118.3,3.0,5.0,204.0,3.0,4.0,382.9,3.0,4.0,2828.0
4.0,6.0,30.0,4.0,6.0,1358.0,4.0,6.0,267.3,3.0,6.0,371.7,3.0,6.0,772.3,3.0,5.0,2975.0
5.0,2.0,38.6,5.0,1.0,628.9,5.0,1.0,155.5,5.0,1.0,108.6,4.0,1.0,203.5,4.0,1.0,1790.0
5.0,3.0,22.2,5.0,3.0,1163.0,5.0,2.0,507.6,5.0,2.0,344.3,4.0,2.0,661.5,4.0,2.0,2950.0
5.0,4.0,24.6,5.0,4.0,1245.0,5.0,4.0,184.4,5.0,3.0,199.4,4.0,3.0,344.0,4.0,3.0,3055.0
5.0,6.0,59.0,5.0,6.0,1697.0,5.0,6.0,411.1,5.0,6.0,203.7,4.0,6.0,436.9,4.0,5.0,1672.0
6.0,2.0,161.3,6.0,1.0,1372.0,6.0,1.0,545.5,6.0,1.0,405.7,6.0,1.0,728.9,5.0,1.0,2189.0
6.0,3.0,117.0,6.0,3.0,2706.0,6.0,2.0,1319.0,6.0,2.0,942.9,6.0,2.0,1429.0,5.0,2.0,3715.0
6.0,4.0,121.2,6.0,4.0,2268.0,6.0,4.0,774.0,6.0,3.0,725.1,6.0,3.0,1117.0,5.0,3.0,3028.0
6.0,5.0,153.8,6.0,5.0,2298.0,6.0,5.0,898.5,6.0,5.0,528.3,6.0,4.0,806.8,5.0,4.0,1625.0
