1,高濱 芳久,高濱 芳久.1,2,三原 司,三原 司.1,3,堀本 翔太,堀本 翔太.1,4,岸本 隆,岸本 隆.1,5,荻野 裕介,荻野 裕介.1,6,河野 真也,河野 真也.1
2.0,3.0,35.6,1.0,3.0,117.0,1.0,2.0,257.9,1.0,2.0,53.7,1.0,2.0,246.0,1.0,2.0,117.4
2.0,4.0,18.1,1.0,4.0,44.8,1.0,4.0,185.5,1.0,3.0,129.8,1.0,3.0,449.7,1.0,3.0,173.9
2.0,5.0,33.1,1.0,5.0,58.0,1.0,5.0,278.7,1.0,5.0,34.7,1.0,4.0,180.1,1.0,4.0,65.3
2.0,6.0,24.5,1.0,6.0,51.0,1.0,6.0,192.8,1.0,6.0,26.4,1.0,6.0,148.9,1.0,5.0,98.4
3.0,2.0,43.4,3.0,1.0,352.2,2.0,1.0,609.2,2.0,1.0,84.7,2.0,1.0,391.1,2.0,1.0,214.1
3.0,4.0,33.1,3.0,4.0,502.3,2.0,4.0,655.7,2.0,3.0,286.2,2.0,3.0,1099.0,2.0,3.0,518.2
3.0,5.0,66.3,3.0,5.0,574.3,2.0,5.0,897.1,2.0,5.0,75.8,2.0,4.0,492.7,2.0,4.0,181.4
3.0,6.0,42.2,3.0,6.0,478.3,2.0,6.0,777.3,2.0,6.0,68.6,2.0,6.0,473.3,2.0,5.0,278.2
4.0,2.0,19.5,4.0,1.0,104.4,4.0,1.0,337.7,3.0,1.0,306.1,3.0,1.0,790.9,3.0,1.0,407.9
4.0,3.0,33.3,4.0,3.0,399.8,4.0,2.0,553.1,3.0,2.0,528.8,3.0,2.0,1261.0,3.0,2.0,589.3
4.0,5.0,25.1,4.0,5.0,117.8,4.0,5.0,382.0,3.0,5.0,283.9,3.0,4.0,1073.0,3.0,4.0,332.7
4.0,6.0,14.5,4.0,6.0,96.9,4.0,6.0,331.4,3.0,6.0,258.7,3.0,6.0,875.4,3.0,5.0,611.3
5.0,2.0,65.5,5.0,1.0,235.4,5.0,1.0,670.3,5.0,1.0,48.8,4.0,1.0,180.1,4.0,1.0,59.8
5.0,3.0,97.3,5.0,3.0,724.2,5.0,2.0,1036.0,5.0,2.0,71.8,4.0,2.0,297.5,4.0,2.0,100.8
5.0,4.0,54.1,5.0,4.0,231.4,5.0,4.0,712.7,5.0,3.0,172.5,4.0,3.0,628.3,4.0,3.0,212.1
5.0,6.0,51.3,5.0,6.0,216.4,5.0,6.0,565.3,5.0,6.0,30.3,4.0,6.0,106.6,4.0,5.0,58.5
6.0,2.0,42.4,6.0,1.0,137.7,6.0,1.0,455.3,6.0,1.0,24.2,6.0,1.0,207.0,5.0,1.0,149.5
6.0,3.0,59.7,6.0,3.0,558.3,6.0,2.0,838.7,6.0,2.0,43.5,6.0,2.0,354.9,5.0,2.0,251.8
6.0,4.0,25.3,6.0,4.0,139.6,6.0,4.0,450.8,6.0,3.0,107.0,6.0,3.0,639.4,5.0,3.0,444.1
6.0,5.0,43.5,6.0,5.0,181.6,6.0,5.0,595.1,6.0,5.0,22.7,6.0,4.0,140.3,5.0,4.0,102.6
