1,木村 仁紀,木村 仁紀.1,2,清水 攻二,清水 攻二.1,3,岩崎 正哉,岩崎 正哉.1,4,泉 啓文,泉 啓文.1,5,堀本 翔太,堀本 翔太.1,6,関 裕也,関 裕也.1
2.0,3.0,6.3,1.0,3.0,61.9,1.0,2.0,49.4,1.0,2.0,314.3,1.0,2.0,137.4,1.0,2.0,80.5
2.0,4.0,21.4,1.0,4.0,188.2,1.0,4.0,125.4,1.0,3.0,380.3,1.0,3.0,133.1,1.0,3.0,60.2
2.0,5.0,41.0,1.0,5.0,250.9,1.0,5.0,163.7,1.0,5.0,437.4,1.0,4.0,252.2,1.0,4.0,197.7
2.0,6.0,11.6,1.0,6.0,100.5,1.0,6.0,45.8,1.0,6.0,381.6,1.0,6.0,152.8,1.0,5.0,178.3
3.0,2.0,7.0,3.0,1.0,115.5,2.0,1.0,108.8,2.0,1.0,568.8,2.0,1.0,197.9,2.0,1.0,170.5
3.0,4.0,17.1,3.0,4.0,510.1,2.0,4.0,442.5,2.0,3.0,849.5,2.0,3.0,257.9,2.0,3.0,207.0
3.0,5.0,34.3,3.0,5.0,487.6,2.0,5.0,471.9,2.0,5.0,969.1,2.0,4.0,471.5,2.0,4.0,613.4
3.0,6.0,7.4,3.0,6.0,177.0,2.0,6.0,176.1,2.0,6.0,793.2,2.0,6.0,298.0,2.0,5.0,598.0
4.0,2.0,52.3,4.0,1.0,643.8,4.0,1.0,541.7,3.0,1.0,757.5,3.0,1.0,225.2,3.0,1.0,116.8
4.0,3.0,52.7,4.0,3.0,892.9,4.0,2.0,716.9,3.0,2.0,1016.0,3.0,2.0,308.1,3.0,2.0,203.1
4.0,5.0,109.4,4.0,5.0,1105.0,4.0,5.0,960.9,3.0,5.0,1235.0,3.0,4.0,568.1,3.0,4.0,466.1
4.0,6.0,72.2,4.0,6.0,943.0,4.0,6.0,536.6,3.0,6.0,960.9,3.0,6.0,305.8,3.0,5.0,410.9
5.0,2.0,85.1,5.0,1.0,545.0,5.0,1.0,459.5,5.0,1.0,526.6,4.0,1.0,470.5,4.0,1.0,408.3
5.0,3.0,79.4,5.0,3.0,814.5,5.0,2.0,639.2,5.0,2.0,726.0,4.0,2.0,602.8,4.0,2.0,554.9
5.0,4.0,143.2,5.0,4.0,1100.0,5.0,4.0,943.0,5.0,3.0,841.7,4.0,3.0,729.5,4.0,3.0,672.3
5.0,6.0,96.2,5.0,6.0,816.0,5.0,6.0,541.7,5.0,6.0,667.4,4.0,6.0,657.7,4.0,5.0,720.3
6.0,2.0,16.3,6.0,1.0,224.4,6.0,1.0,95.5,6.0,1.0,634.8,6.0,1.0,266.2,5.0,1.0,389.1
6.0,3.0,12.5,6.0,3.0,250.9,6.0,2.0,169.0,6.0,2.0,1021.0,6.0,2.0,403.6,5.0,2.0,697.1
6.0,4.0,42.1,6.0,4.0,746.3,6.0,4.0,351.2,6.0,3.0,1026.0,6.0,3.0,375.6,5.0,3.0,583.4
6.0,5.0,56.9,6.0,5.0,724.9,6.0,5.0,388.4,6.0,5.0,950.9,6.0,4.0,624.3,5.0,4.0,756.2
