1,林 恵祐,林 恵祐.1,2,岸本 隆,岸本 隆.1,3,倉田 茂将,倉田 茂将.1,4,水野 望美,水野 望美.1,5,内堀 学,内堀 学.1,6,仲 航太,仲 航太.1
2.0,3.0,9.8,1.0,3.0,16.0,1.0,2.0,41.9,1.0,2.0,128.8,1.0,2.0,117.7,1.0,2.0,438.7
2.0,4.0,15.5,1.0,4.0,26.8,1.0,4.0,63.1,1.0,3.0,212.2,1.0,3.0,180.3,1.0,3.0,627.8
2.0,5.0,17.6,1.0,5.0,28.9,1.0,5.0,58.6,1.0,5.0,154.6,1.0,4.0,212.7,1.0,4.0,779.0
2.0,6.0,38.3,1.0,6.0,43.1,1.0,6.0,84.8,1.0,6.0,212.2,1.0,6.0,170.2,1.0,5.0,649.1
3.0,2.0,13.8,3.0,1.0,41.3,2.0,1.0,58.3,2.0,1.0,148.7,2.0,1.0,136.3,2.0,1.0,504.9
3.0,4.0,23.3,3.0,4.0,54.2,2.0,4.0,78.2,2.0,3.0,155.4,2.0,3.0,169.3,2.0,3.0,429.8
3.0,5.0,27.8,3.0,5.0,49.1,2.0,5.0,69.1,2.0,5.0,128.4,2.0,4.0,196.9,2.0,4.0,537.6
3.0,6.0,49.3,3.0,6.0,76.6,2.0,6.0,94.6,2.0,6.0,161.3,2.0,6.0,165.3,2.0,5.0,458.7
4.0,2.0,36.3,4.0,1.0,73.4,4.0,1.0,120.4,3.0,1.0,268.4,3.0,1.0,242.5,3.0,1.0,829.8
4.0,3.0,50.0,4.0,3.0,84.0,4.0,2.0,107.5,3.0,2.0,194.3,3.0,2.0,197.7,3.0,2.0,571.4
4.0,5.0,66.4,4.0,5.0,82.9,4.0,5.0,120.0,3.0,5.0,279.8,3.0,4.0,405.2,3.0,4.0,879.5
4.0,6.0,121.1,4.0,6.0,120.4,4.0,6.0,185.6,3.0,6.0,352.7,3.0,6.0,333.0,3.0,5.0,855.8
5.0,2.0,42.8,5.0,1.0,81.7,5.0,1.0,131.6,5.0,1.0,162.2,4.0,1.0,248.5,4.0,1.0,900.2
5.0,3.0,58.2,5.0,3.0,85.6,5.0,2.0,106.8,5.0,2.0,151.7,4.0,2.0,232.7,4.0,2.0,587.2
5.0,4.0,83.7,5.0,4.0,120.1,5.0,4.0,177.3,5.0,3.0,276.6,4.0,3.0,436.7,4.0,3.0,875.4
5.0,6.0,103.1,5.0,6.0,119.5,5.0,6.0,191.8,5.0,6.0,164.3,4.0,6.0,254.1,4.0,5.0,676.7
6.0,2.0,130.9,6.0,1.0,193.1,6.0,1.0,286.5,6.0,1.0,364.2,6.0,1.0,292.2,5.0,1.0,655.8
6.0,3.0,142.7,6.0,3.0,195.1,6.0,2.0,239.7,6.0,2.0,285.2,6.0,2.0,255.4,5.0,2.0,536.1
6.0,4.0,256.8,6.0,4.0,262.5,6.0,4.0,374.9,6.0,3.0,445.9,6.0,3.0,400.1,5.0,3.0,731.2
6.0,5.0,213.9,6.0,5.0,223.7,6.0,5.0,327.3,6.0,5.0,269.1,6.0,4.0,365.6,5.0,4.0,691.5
