1,岡田 憲行,岡田 憲行.1,2,三原 司,三原 司.1,3,北村 寧々,北村 寧々.1,4,荻野 裕介,荻野 裕介.1,5,村松 修二,村松 修二.1,6,澤田 尚也,澤田 尚也.1
2.0,3.0,33.9,1.0,3.0,113.4,1.0,2.0,379.8,1.0,2.0,421.5,1.0,2.0,22.6,1.0,2.0,156.7
2.0,4.0,29.3,1.0,4.0,103.8,1.0,4.0,415.0,1.0,3.0,792.5,1.0,3.0,62.9,1.0,3.0,359.4
2.0,5.0,10.4,1.0,5.0,43.0,1.0,5.0,246.9,1.0,5.0,234.0,1.0,4.0,32.1,1.0,4.0,152.9
2.0,6.0,22.0,1.0,6.0,71.9,1.0,6.0,421.1,1.0,6.0,337.1,1.0,6.0,17.1,1.0,5.0,93.3
3.0,2.0,61.2,3.0,1.0,410.9,2.0,1.0,542.0,2.0,1.0,681.0,2.0,1.0,50.1,2.0,1.0,333.1
3.0,4.0,82.2,3.0,4.0,1056.0,2.0,4.0,1382.0,2.0,3.0,1557.0,2.0,3.0,145.2,2.0,3.0,887.2
3.0,5.0,37.0,3.0,5.0,431.5,2.0,5.0,555.4,2.0,5.0,771.0,2.0,4.0,110.7,2.0,4.0,579.7
3.0,6.0,69.5,3.0,6.0,668.4,2.0,6.0,815.1,2.0,6.0,843.0,2.0,6.0,54.2,2.0,5.0,290.8
4.0,2.0,69.3,4.0,1.0,460.5,4.0,1.0,1071.0,3.0,1.0,1303.0,3.0,1.0,225.3,3.0,1.0,832.6
4.0,3.0,116.8,4.0,3.0,1293.0,4.0,2.0,2367.0,3.0,2.0,2007.0,3.0,2.0,300.6,3.0,2.0,1269.0
4.0,5.0,42.4,4.0,5.0,507.0,4.0,5.0,1331.0,3.0,5.0,1522.0,3.0,4.0,451.7,3.0,4.0,1278.0
4.0,6.0,63.2,4.0,6.0,701.2,4.0,6.0,1473.0,3.0,6.0,1694.0,3.0,6.0,238.3,3.0,5.0,821.3
5.0,2.0,9.5,5.0,1.0,78.8,5.0,1.0,343.7,5.0,1.0,286.2,4.0,1.0,91.9,4.0,1.0,416.3
5.0,3.0,27.0,5.0,3.0,239.0,5.0,2.0,560.5,5.0,2.0,557.1,4.0,2.0,167.1,4.0,2.0,787.9
5.0,4.0,19.0,5.0,4.0,223.4,5.0,4.0,770.0,5.0,3.0,1017.0,4.0,3.0,360.9,4.0,3.0,1173.0
5.0,6.0,10.4,5.0,6.0,114.1,5.0,6.0,497.7,5.0,6.0,257.6,4.0,6.0,80.9,4.0,5.0,295.0
6.0,2.0,36.9,6.0,1.0,256.0,6.0,1.0,793.6,6.0,1.0,590.5,6.0,1.0,22.7,5.0,1.0,88.9
6.0,3.0,85.5,6.0,3.0,703.0,6.0,2.0,1290.0,6.0,2.0,1079.0,6.0,2.0,39.1,5.0,2.0,163.7
6.0,4.0,52.5,6.0,4.0,552.0,6.0,4.0,1348.0,6.0,3.0,1557.0,6.0,3.0,102.1,5.0,3.0,372.0
6.0,5.0,25.1,6.0,5.0,222.6,6.0,5.0,763.4,6.0,5.0,352.2,6.0,4.0,36.1,5.0,4.0,134.7
