1,仲 航太,仲 航太.1,2,松尾 怜実,松尾 怜実.1,3,内堀 学,内堀 学.1,4,堀本 翔太,堀本 翔太.1,5,浦田 晃嗣,浦田 晃嗣.1,6,泉 啓文,泉 啓文.1
2.0,3.0,22.0,1.0,3.0,85.9,1.0,2.0,45.8,1.0,2.0,188.1,1.0,2.0,93.9,1.0,2.0,906.5
2.0,4.0,36.2,1.0,4.0,130.3,1.0,4.0,31.6,1.0,3.0,137.8,1.0,3.0,52.8,1.0,3.0,596.5
2.0,5.0,36.9,1.0,5.0,108.3,1.0,5.0,18.1,1.0,5.0,125.0,1.0,4.0,112.5,1.0,4.0,1197.0
2.0,6.0,85.9,1.0,6.0,263.4,1.0,6.0,58.4,1.0,6.0,247.6,1.0,6.0,88.0,1.0,5.0,764.1
3.0,2.0,16.2,3.0,1.0,127.5,2.0,1.0,115.6,2.0,1.0,271.0,2.0,1.0,159.1,2.0,1.0,1887.0
3.0,4.0,12.0,3.0,4.0,137.1,2.0,4.0,128.9,2.0,3.0,321.5,2.0,3.0,211.9,2.0,3.0,1782.0
3.0,5.0,8.4,3.0,5.0,143.7,2.0,5.0,96.6,2.0,5.0,334.9,2.0,4.0,307.9,2.0,4.0,2198.0
3.0,6.0,27.1,3.0,6.0,309.1,2.0,6.0,228.2,2.0,6.0,519.2,2.0,6.0,312.1,2.0,5.0,1707.0
4.0,2.0,48.3,4.0,1.0,253.8,4.0,1.0,57.6,3.0,1.0,155.3,3.0,1.0,67.9,3.0,1.0,703.7
4.0,3.0,25.4,4.0,3.0,254.7,4.0,2.0,114.9,3.0,2.0,269.2,3.0,2.0,176.7,3.0,2.0,1573.0
4.0,5.0,33.0,4.0,5.0,294.4,4.0,5.0,46.4,3.0,5.0,135.9,3.0,4.0,121.3,3.0,4.0,587.7
4.0,6.0,82.7,4.0,6.0,631.7,4.0,6.0,91.5,3.0,6.0,200.0,3.0,6.0,106.1,3.0,5.0,545.7
5.0,2.0,38.5,5.0,1.0,231.8,5.0,1.0,34.3,5.0,1.0,152.0,4.0,1.0,189.0,4.0,1.0,1620.0
5.0,3.0,15.8,5.0,3.0,251.5,5.0,2.0,78.1,5.0,2.0,279.0,4.0,2.0,351.1,4.0,2.0,2168.0
5.0,4.0,36.8,5.0,4.0,360.5,5.0,4.0,47.9,5.0,3.0,153.4,4.0,3.0,187.2,4.0,3.0,694.6
5.0,6.0,45.4,5.0,6.0,519.2,5.0,6.0,60.8,5.0,6.0,192.8,4.0,6.0,221.9,4.0,5.0,978.4
6.0,2.0,214.2,6.0,1.0,911.7,6.0,1.0,165.2,6.0,1.0,644.4,6.0,1.0,195.4,5.0,1.0,844.5
6.0,3.0,104.1,6.0,3.0,922.1,6.0,2.0,430.1,6.0,2.0,891.4,6.0,2.0,314.0,5.0,2.0,1499.0
6.0,4.0,199.0,6.0,4.0,1263.0,6.0,4.0,172.1,6.0,3.0,321.5,6.0,3.0,184.6,5.0,3.0,607.8
6.0,5.0,136.5,6.0,5.0,911.7,6.0,5.0,133.4,6.0,5.0,345.8,6.0,4.0,304.4,5.0,4.0,901.4
