1,谷村 一哉,谷村 一哉.1,2,岩崎 正哉,岩崎 正哉.1,3,高橋 直哉,高橋 直哉.1,4,澤田 尚也,澤田 尚也.1,5,奥村　明日香,奥村　明日香.1,6,北村 寧々,北村 寧々.1
2.0,3.0,6.2,1.0,3.0,56.1,1.0,2.0,148.4,1.0,2.0,37.3,1.0,2.0,614.2,1.0,2.0,826.4
2.0,4.0,3.8,1.0,4.0,38.0,1.0,4.0,140.1,1.0,3.0,77.2,1.0,3.0,875.4,1.0,3.0,1235.0
2.0,5.0,25.2,1.0,5.0,189.6,1.0,5.0,400.5,1.0,5.0,137.6,1.0,4.0,663.4,1.0,4.0,967.7
2.0,6.0,28.5,1.0,6.0,186.9,1.0,6.0,473.1,1.0,6.0,144.3,1.0,6.0,830.5,1.0,5.0,1433.0
3.0,2.0,12.2,3.0,1.0,195.8,2.0,1.0,278.4,2.0,1.0,85.6,2.0,1.0,946.2,2.0,1.0,1337.0
3.0,4.0,10.5,3.0,4.0,390.8,2.0,4.0,477.7,2.0,3.0,215.5,2.0,3.0,1657.0,2.0,3.0,2928.0
3.0,5.0,43.4,3.0,5.0,962.2,2.0,5.0,1106.0,2.0,5.0,387.7,2.0,4.0,1326.0,2.0,4.0,2249.0
3.0,6.0,51.2,3.0,6.0,1020.0,2.0,6.0,1347.0,2.0,6.0,377.4,2.0,6.0,1963.0,2.0,5.0,3174.0
4.0,2.0,6.2,4.0,1.0,103.2,4.0,1.0,284.4,3.0,1.0,289.5,3.0,1.0,1609.0,3.0,1.0,2535.0
4.0,3.0,11.1,4.0,3.0,289.0,4.0,2.0,455.9,3.0,2.0,466.6,3.0,2.0,2674.0,3.0,2.0,3996.0
4.0,5.0,29.2,4.0,5.0,709.1,4.0,5.0,836.6,3.0,5.0,1088.0,3.0,4.0,2375.0,3.0,4.0,3431.0
4.0,6.0,31.8,4.0,6.0,653.2,4.0,6.0,1099.0,3.0,6.0,1143.0,3.0,6.0,4043.0,3.0,5.0,5307.0
5.0,2.0,96.1,5.0,1.0,896.2,5.0,1.0,1496.0,5.0,1.0,337.3,4.0,1.0,1102.0,4.0,1.0,1673.0
5.0,3.0,124.6,5.0,3.0,1681.0,5.0,2.0,1941.0,5.0,2.0,521.7,4.0,2.0,1787.0,4.0,2.0,3145.0
5.0,4.0,113.7,5.0,4.0,1594.0,5.0,4.0,2034.0,5.0,3.0,976.1,4.0,3.0,2310.0,4.0,3.0,3949.0
5.0,6.0,143.1,5.0,6.0,1963.0,5.0,6.0,3006.0,5.0,6.0,547.8,4.0,6.0,2096.0,4.0,5.0,3204.0
6.0,2.0,139.6,6.0,1.0,1035.0,6.0,1.0,1496.0,6.0,1.0,497.3,6.0,1.0,1690.0,5.0,1.0,2264.0
6.0,3.0,178.3,6.0,3.0,2264.0,6.0,2.0,2854.0,6.0,2.0,768.5,6.0,2.0,2761.0,5.0,2.0,3174.0
6.0,4.0,134.1,6.0,4.0,1866.0,6.0,4.0,2426.0,6.0,3.0,1698.0,6.0,3.0,4092.0,5.0,3.0,4299.0
6.0,5.0,189.9,6.0,5.0,2149.0,6.0,5.0,2928.0,6.0,5.0,857.8,6.0,4.0,2375.0,5.0,4.0,2342.0
