1,西澤　日花里,西澤　日花里.1,2,奥村　明日香,奥村　明日香.1,3,北村 寧々,北村 寧々.1,4,松尾 怜実,松尾 怜実.1,5,水野 望美,水野 望美.1,6,松本 怜,松本 怜.1
2.0,3.0,14.1,1.0,3.0,28.7,1.0,2.0,43.7,1.0,2.0,275.6,1.0,2.0,98.4,1.0,2.0,403.2
2.0,4.0,28.6,1.0,4.0,52.7,1.0,4.0,53.7,1.0,3.0,203.5,1.0,3.0,55.8,1.0,3.0,356.4
2.0,5.0,18.7,1.0,5.0,36.0,1.0,5.0,31.1,1.0,5.0,194.2,1.0,4.0,133.8,1.0,4.0,712.4
2.0,6.0,48.7,1.0,6.0,73.8,1.0,6.0,70.4,1.0,6.0,316.4,1.0,6.0,78.0,1.0,5.0,282.5
3.0,2.0,16.2,3.0,1.0,47.5,2.0,1.0,60.8,2.0,1.0,375.2,2.0,1.0,175.1,2.0,1.0,554.2
3.0,4.0,19.6,3.0,4.0,71.8,2.0,4.0,102.1,2.0,3.0,428.8,2.0,3.0,200.9,2.0,3.0,491.8
3.0,5.0,12.8,3.0,5.0,51.4,2.0,5.0,68.1,2.0,5.0,411.8,2.0,4.0,384.7,2.0,4.0,805.1
3.0,6.0,34.9,3.0,6.0,89.3,2.0,6.0,113.6,2.0,6.0,478.2,2.0,6.0,241.5,2.0,5.0,496.9
4.0,2.0,60.5,4.0,1.0,172.8,4.0,1.0,110.1,3.0,1.0,266.3,3.0,1.0,82.6,3.0,1.0,430.9
4.0,3.0,48.6,4.0,3.0,167.2,4.0,2.0,172.0,3.0,2.0,476.0,3.0,2.0,169.7,3.0,2.0,494.1
4.0,5.0,47.8,4.0,5.0,162.5,4.0,5.0,103.6,3.0,5.0,316.2,3.0,4.0,171.2,3.0,4.0,719.3
4.0,6.0,89.3,4.0,6.0,234.2,4.0,6.0,172.9,3.0,6.0,529.4,3.0,6.0,121.6,3.0,5.0,349.4
5.0,2.0,31.5,5.0,1.0,98.5,5.0,1.0,49.3,5.0,1.0,222.9,4.0,1.0,226.4,4.0,1.0,1016.0
5.0,3.0,20.6,5.0,3.0,95.9,5.0,2.0,84.2,5.0,2.0,357.9,4.0,2.0,427.8,4.0,2.0,959.9
5.0,4.0,47.5,5.0,4.0,181.5,5.0,4.0,94.8,5.0,3.0,294.9,4.0,3.0,278.0,4.0,3.0,901.6
5.0,6.0,37.7,5.0,6.0,148.1,5.0,6.0,71.0,5.0,6.0,258.5,4.0,6.0,300.7,4.0,5.0,673.6
6.0,2.0,129.8,6.0,1.0,261.3,6.0,1.0,184.4,6.0,1.0,566.3,6.0,1.0,138.9,5.0,1.0,331.0
6.0,3.0,112.3,6.0,3.0,244.1,6.0,2.0,231.5,6.0,2.0,689.7,6.0,2.0,234.5,5.0,2.0,457.9
6.0,4.0,196.3,6.0,4.0,394.0,6.0,4.0,309.8,6.0,3.0,719.3,6.0,3.0,160.4,5.0,3.0,342.8
6.0,5.0,94.8,6.0,5.0,252.9,6.0,5.0,153.3,6.0,5.0,426.3,6.0,4.0,305.8,5.0,4.0,557.8
