1,柴田 光,柴田 光.1,2,亀山 雅幸,亀山 雅幸.1,3,抹香 雄三,抹香 雄三.1,4,渡邉 睦広,渡邉 睦広.1,5,内田 圭,内田 圭.1,6,岡部 大輝,岡部 大輝.1
2.0,3.0,5.9,1.0,3.0,33.5,1.0,2.0,89.9,1.0,2.0,59.1,1.0,2.0,697.8,1.0,2.0,458.6
2.0,4.0,5.2,1.0,4.0,24.3,1.0,4.0,75.2,1.0,3.0,126.8,1.0,3.0,828.5,1.0,3.0,781.9
2.0,5.0,39.8,1.0,5.0,181.4,1.0,5.0,201.0,1.0,5.0,194.2,1.0,4.0,804.5,1.0,4.0,446.0
2.0,6.0,17.1,1.0,6.0,47.7,1.0,6.0,141.5,1.0,6.0,90.5,1.0,6.0,1038.0,1.0,5.0,1492.0
3.0,2.0,12.1,3.0,1.0,171.0,2.0,1.0,205.8,2.0,1.0,99.7,2.0,1.0,1165.0,2.0,1.0,654.4
3.0,4.0,13.7,3.0,4.0,97.2,2.0,4.0,267.0,2.0,3.0,327.7,2.0,3.0,2093.0,2.0,3.0,1347.0
3.0,5.0,51.9,3.0,5.0,683.1,2.0,5.0,685.5,2.0,5.0,474.3,2.0,4.0,1845.0,2.0,4.0,746.0
3.0,6.0,30.0,3.0,6.0,449.1,2.0,6.0,450.1,2.0,6.0,162.5,2.0,6.0,1997.0,2.0,5.0,2277.0
4.0,2.0,10.0,4.0,1.0,49.0,4.0,1.0,188.9,3.0,1.0,283.4,3.0,1.0,1416.0,3.0,1.0,1503.0
4.0,3.0,16.8,4.0,3.0,213.4,4.0,2.0,312.0,3.0,2.0,457.6,3.0,2.0,2264.0,3.0,2.0,1908.0
4.0,5.0,54.0,4.0,5.0,78.9,4.0,5.0,517.8,3.0,5.0,769.6,3.0,4.0,2317.0,3.0,4.0,1802.0
4.0,6.0,21.8,4.0,6.0,65.3,4.0,6.0,326.6,3.0,6.0,499.8,3.0,6.0,2139.0,3.0,5.0,2631.0
5.0,2.0,117.2,5.0,1.0,711.9,5.0,1.0,608.4,5.0,1.0,308.8,4.0,1.0,1145.0,4.0,1.0,589.1
5.0,3.0,144.2,5.0,3.0,1244.0,5.0,2.0,1069.0,5.0,2.0,473.1,4.0,2.0,1602.0,4.0,2.0,879.0
5.0,4.0,140.3,5.0,4.0,1115.0,5.0,4.0,927.1,5.0,3.0,744.5,4.0,3.0,2139.0,4.0,3.0,1390.0
5.0,6.0,161.9,5.0,6.0,1119.0,5.0,6.0,1027.0,5.0,6.0,368.0,4.0,6.0,1385.0,4.0,5.0,1715.0
6.0,2.0,63.1,6.0,1.0,400.6,6.0,1.0,642.6,6.0,1.0,155.0,6.0,1.0,1986.0,5.0,1.0,2200.0
6.0,3.0,86.7,6.0,3.0,743.1,6.0,2.0,891.1,6.0,2.0,221.8,6.0,2.0,2225.0,5.0,2.0,3446.0
6.0,4.0,66.5,6.0,4.0,448.6,6.0,4.0,738.9,6.0,3.0,422.3,6.0,3.0,2781.0,5.0,3.0,3218.0
6.0,5.0,195.5,6.0,5.0,1162.0,6.0,5.0,1306.0,6.0,5.0,416.4,6.0,4.0,2082.0,5.0,4.0,2418.0
