1,高橋 勲,高橋 勲.1,2,奈須 啓太,奈須 啓太.1,3,渡邉 睦広,渡邉 睦広.1,4,菊池 宏志,菊池 宏志.1,5,山本　景士郎,山本　景士郎.1,6,後藤 陽介,後藤 陽介.1
2.0,3.0,6.4,1.0,3.0,8.5,1.0,2.0,50.4,1.0,2.0,441.9,1.0,2.0,69.4,1.0,2.0,1645.0
2.0,4.0,31.7,1.0,4.0,35.9,1.0,4.0,165.3,1.0,3.0,794.9,1.0,3.0,109.8,1.0,3.0,2213.0
2.0,5.0,10.0,1.0,5.0,11.4,1.0,5.0,64.9,1.0,5.0,597.1,1.0,4.0,311.9,1.0,4.0,3616.0
2.0,6.0,75.8,1.0,6.0,82.0,1.0,6.0,311.9,1.0,6.0,1199.0,1.0,6.0,244.7,1.0,5.0,2492.0
3.0,2.0,13.9,3.0,1.0,20.9,2.0,1.0,61.1,2.0,1.0,438.1,2.0,1.0,64.0,2.0,1.0,1945.0
3.0,4.0,53.4,3.0,4.0,57.7,2.0,4.0,144.9,2.0,3.0,556.9,2.0,3.0,63.8,2.0,3.0,1758.0
3.0,5.0,21.7,3.0,5.0,16.9,2.0,5.0,50.6,2.0,5.0,324.2,2.0,4.0,193.6,2.0,4.0,2517.0
3.0,6.0,125.8,3.0,6.0,123.5,2.0,6.0,277.5,2.0,6.0,861.6,2.0,6.0,176.4,2.0,5.0,1199.0
4.0,2.0,112.7,4.0,1.0,129.3,4.0,1.0,518.7,3.0,1.0,1240.0,3.0,1.0,171.0,3.0,1.0,3334.0
4.0,3.0,164.3,4.0,3.0,134.2,4.0,2.0,328.7,3.0,2.0,907.3,3.0,2.0,102.0,3.0,2.0,2517.0
4.0,5.0,179.0,4.0,5.0,95.4,4.0,5.0,392.6,3.0,5.0,937.1,3.0,4.0,512.5,3.0,4.0,3890.0
4.0,6.0,396.2,4.0,6.0,312.7,4.0,6.0,1003.0,3.0,6.0,2021.0,3.0,6.0,555.7,3.0,5.0,3056.0
5.0,2.0,27.6,5.0,1.0,27.1,5.0,1.0,118.1,5.0,1.0,645.1,4.0,1.0,559.4,4.0,1.0,5349.0
5.0,3.0,39.2,5.0,3.0,26.8,5.0,2.0,81.6,5.0,2.0,382.1,4.0,2.0,344.1,4.0,2.0,4075.0
5.0,4.0,134.6,5.0,4.0,73.3,5.0,4.0,302.7,5.0,3.0,833.6,4.0,3.0,690.2,4.0,3.0,4352.0
5.0,6.0,176.5,5.0,6.0,91.4,5.0,6.0,405.0,5.0,6.0,1083.0,4.0,6.0,987.5,4.0,5.0,4279.0
6.0,2.0,330.8,6.0,1.0,383.8,6.0,1.0,1252.0,6.0,1.0,2791.0,6.0,1.0,641.9,5.0,1.0,2647.0
6.0,3.0,498.5,6.0,3.0,506.4,6.0,2.0,983.8,6.0,2.0,2292.0,6.0,2.0,407.5,5.0,2.0,1252.0
6.0,4.0,771.0,6.0,4.0,645.1,6.0,4.0,1585.0,6.0,3.0,3721.0,6.0,3.0,575.7,5.0,3.0,3131.0
6.0,5.0,474.6,6.0,5.0,345.1,6.0,5.0,1048.0,6.0,5.0,2272.0,6.0,4.0,1031.0,5.0,4.0,3056.0
