1,大西 賢,大西 賢.1,2,檀 将太,檀 将太.1,3,下河 誉史,下河 誉史.1,4,堤 昇,堤 昇.1,5,高橋 勲,高橋 勲.1,6,今村 暢孝,今村 暢孝.1
2.0,3.0,287.7,1.0,3.0,353.1,1.0,2.0,332.1,1.0,2.0,90.4,1.0,2.0,543.8,1.0,2.0,253.2
2.0,4.0,264.3,1.0,4.0,489.9,1.0,4.0,116.3,1.0,3.0,56.9,1.0,3.0,138.1,1.0,3.0,59.2
2.0,5.0,534.5,1.0,5.0,609.4,1.0,5.0,199.4,1.0,5.0,51.2,1.0,4.0,143.6,1.0,4.0,52.8
2.0,6.0,366.8,1.0,6.0,704.0,1.0,6.0,122.8,1.0,6.0,34.8,1.0,6.0,131.4,1.0,5.0,68.4
3.0,2.0,305.9,3.0,1.0,519.2,2.0,1.0,497.8,2.0,1.0,155.9,2.0,1.0,732.5,2.0,1.0,492.2
3.0,4.0,103.1,3.0,4.0,261.4,2.0,4.0,228.2,2.0,3.0,95.1,2.0,3.0,405.1,2.0,3.0,261.8
3.0,5.0,175.8,3.0,5.0,486.7,2.0,5.0,385.0,2.0,5.0,136.7,2.0,4.0,397.7,2.0,4.0,246.1
3.0,6.0,113.4,3.0,6.0,353.7,2.0,6.0,271.2,2.0,6.0,78.7,2.0,6.0,406.6,2.0,5.0,341.5
4.0,2.0,118.4,4.0,1.0,453.2,4.0,1.0,76.8,3.0,1.0,69.0,3.0,1.0,167.6,3.0,1.0,83.6
4.0,3.0,102.1,4.0,3.0,193.2,4.0,2.0,108.3,3.0,2.0,81.8,3.0,2.0,259.9,3.0,2.0,181.9
4.0,5.0,97.0,4.0,5.0,376.3,4.0,5.0,45.0,3.0,5.0,41.2,3.0,4.0,71.2,3.0,4.0,28.5
4.0,6.0,58.5,4.0,6.0,219.5,4.0,6.0,28.8,3.0,6.0,23.2,3.0,6.0,73.8,3.0,5.0,42.9
5.0,2.0,399.9,5.0,1.0,902.7,5.0,1.0,192.3,5.0,1.0,78.6,4.0,1.0,117.8,4.0,1.0,55.2
5.0,3.0,136.2,5.0,3.0,501.2,5.0,2.0,272.9,5.0,2.0,126.1,4.0,2.0,225.6,4.0,2.0,128.5
5.0,4.0,99.7,5.0,4.0,466.8,5.0,4.0,71.0,5.0,3.0,46.5,4.0,3.0,63.6,4.0,3.0,27.6
5.0,6.0,95.5,5.0,6.0,575.5,5.0,6.0,73.3,5.0,6.0,32.9,4.0,6.0,52.6,4.0,5.0,30.0
6.0,2.0,250.6,6.0,1.0,632.4,6.0,1.0,96.0,6.0,1.0,33.6,6.0,1.0,98.8,5.0,1.0,77.0
6.0,3.0,57.4,6.0,3.0,293.6,6.0,2.0,164.4,6.0,2.0,59.4,6.0,2.0,228.5,5.0,2.0,214.9
6.0,4.0,51.3,6.0,4.0,298.8,6.0,4.0,35.9,6.0,3.0,20.8,6.0,3.0,52.1,5.0,3.0,42.2
6.0,5.0,62.4,6.0,5.0,493.3,6.0,5.0,57.6,6.0,5.0,23.0,6.0,4.0,49.4,5.0,4.0,36.9
