1,奈須 啓太,奈須 啓太.1,2,横田 貴満,横田 貴満.1,3,中山 将,中山 将.1,4,梶山 涼斗,梶山 涼斗.1,5,後藤 陽介,後藤 陽介.1,6,抹香 雄三,抹香 雄三.1
2.0,3.0,7.1,1.0,3.0,63.1,1.0,2.0,33.3,1.0,2.0,150.0,1.0,2.0,383.8,1.0,2.0,873.2
2.0,4.0,13.7,1.0,4.0,126.6,1.0,4.0,30.0,1.0,3.0,115.4,1.0,3.0,309.7,1.0,3.0,805.0
2.0,5.0,24.6,1.0,5.0,200.2,1.0,5.0,44.8,1.0,5.0,154.8,1.0,4.0,423.9,1.0,4.0,1191.0
2.0,6.0,31.1,1.0,6.0,195.0,1.0,6.0,66.9,1.0,6.0,228.7,1.0,6.0,538.6,1.0,5.0,1694.0
3.0,2.0,5.9,3.0,1.0,134.8,2.0,1.0,94.2,2.0,1.0,321.5,2.0,1.0,821.0,2.0,1.0,1319.0
3.0,4.0,5.9,3.0,4.0,377.7,2.0,4.0,222.6,2.0,3.0,613.6,2.0,3.0,1149.0,2.0,3.0,1441.0
3.0,5.0,12.6,3.0,5.0,576.9,2.0,5.0,329.0,2.0,5.0,669.7,2.0,4.0,1523.0,2.0,4.0,2009.0
3.0,6.0,21.4,3.0,6.0,607.8,2.0,6.0,321.1,2.0,6.0,735.9,2.0,6.0,1823.0,2.0,5.0,3314.0
4.0,2.0,20.7,4.0,1.0,350.0,4.0,1.0,99.9,3.0,1.0,216.1,3.0,1.0,536.0,3.0,1.0,871.5
4.0,3.0,15.3,4.0,3.0,613.6,4.0,2.0,235.0,3.0,2.0,571.8,3.0,2.0,1173.0,3.0,2.0,1227.0
4.0,5.0,31.4,4.0,5.0,1000.0,4.0,5.0,198.1,3.0,5.0,466.6,3.0,4.0,1132.0,3.0,4.0,1739.0
4.0,6.0,44.3,4.0,6.0,900.9,4.0,6.0,268.6,3.0,6.0,621.1,3.0,6.0,1164.0,3.0,5.0,2565.0
5.0,2.0,53.4,5.0,1.0,776.1,5.0,1.0,204.3,5.0,1.0,266.4,4.0,1.0,628.0,4.0,1.0,1948.0
5.0,3.0,45.6,5.0,3.0,1075.0,5.0,2.0,454.5,5.0,2.0,484.0,4.0,2.0,1312.0,4.0,2.0,2948.0
5.0,4.0,65.2,5.0,4.0,1534.0,5.0,4.0,349.0,5.0,3.0,461.9,4.0,3.0,1164.0,4.0,3.0,2481.0
5.0,6.0,102.3,5.0,6.0,1915.0,5.0,6.0,414.6,5.0,6.0,374.9,4.0,6.0,1070.0,4.0,5.0,3914.0
6.0,2.0,109.2,6.0,1.0,821.0,6.0,1.0,353.6,6.0,1.0,631.5,6.0,1.0,1129.0,5.0,1.0,3110.0
6.0,3.0,101.3,6.0,3.0,1088.0,6.0,2.0,615.2,6.0,2.0,1070.0,6.0,2.0,2281.0,5.0,2.0,4090.0
6.0,4.0,150.2,6.0,4.0,1759.0,6.0,4.0,751.7,6.0,3.0,978.5,6.0,3.0,1816.0,5.0,3.0,3492.0
6.0,5.0,214.6,6.0,5.0,2316.0,6.0,5.0,836.2,6.0,5.0,944.0,6.0,4.0,2214.0,5.0,4.0,3914.0
