1,岡村 将也,岡村 将也.1,2,榎 幸司,榎 幸司.1,3,内田 圭,内田 圭.1,4,杉山 勝匡,杉山 勝匡.1,5,田中 孝明,田中 孝明.1,6,中山 将,中山 将.1
2.0,3.0,7.4,1.0,3.0,14.7,1.0,2.0,151.6,1.0,2.0,103.5,1.0,2.0,776.7,1.0,2.0,33.0
2.0,4.0,10.5,1.0,4.0,19.6,1.0,4.0,448.8,1.0,3.0,366.0,1.0,3.0,1698.0,1.0,3.0,104.6
2.0,5.0,32.4,1.0,5.0,53.6,1.0,5.0,715.6,1.0,5.0,285.8,1.0,4.0,1406.0,1.0,4.0,99.2
2.0,6.0,6.2,1.0,6.0,9.9,1.0,6.0,315.5,1.0,6.0,121.6,1.0,6.0,1098.0,1.0,5.0,291.6
3.0,2.0,25.3,3.0,1.0,75.4,2.0,1.0,181.5,2.0,1.0,111.6,2.0,1.0,898.6,2.0,1.0,39.2
3.0,4.0,59.4,3.0,4.0,156.1,2.0,4.0,429.1,2.0,3.0,364.6,2.0,3.0,2520.0,2.0,3.0,115.0
3.0,5.0,144.5,3.0,5.0,288.5,2.0,5.0,691.0,2.0,5.0,320.6,2.0,4.0,2003.0,2.0,4.0,110.9
3.0,6.0,45.3,3.0,6.0,95.1,2.0,6.0,275.0,2.0,6.0,117.8,2.0,6.0,1382.0,2.0,5.0,253.6
4.0,2.0,33.8,4.0,1.0,86.0,4.0,1.0,790.5,3.0,1.0,705.6,3.0,1.0,2619.0,3.0,1.0,387.9
4.0,3.0,98.6,4.0,3.0,188.6,4.0,2.0,612.8,3.0,2.0,639.2,3.0,2.0,3232.0,3.0,2.0,312.8
4.0,5.0,165.3,4.0,5.0,286.2,4.0,5.0,1609.0,3.0,5.0,1426.0,3.0,4.0,3676.0,3.0,4.0,679.3
4.0,6.0,51.6,4.0,6.0,96.3,4.0,6.0,876.9,3.0,6.0,558.9,3.0,6.0,3339.0,3.0,5.0,1225.0
5.0,2.0,181.1,5.0,1.0,337.9,5.0,1.0,1495.0,5.0,1.0,434.2,4.0,1.0,1391.0,4.0,1.0,221.3
5.0,3.0,358.8,5.0,3.0,661.3,5.0,2.0,1478.0,5.0,2.0,461.7,4.0,2.0,1705.0,4.0,2.0,187.5
5.0,4.0,366.0,5.0,4.0,591.1,5.0,4.0,2343.0,5.0,3.0,1327.0,4.0,3.0,3396.0,4.0,3.0,580.8
5.0,6.0,291.0,5.0,6.0,434.6,5.0,6.0,1789.0,5.0,6.0,344.0,4.0,6.0,1229.0,4.0,5.0,636.1
6.0,2.0,15.4,6.0,1.0,28.1,6.0,1.0,509.9,6.0,1.0,125.4,6.0,1.0,1541.0,5.0,1.0,829.7
6.0,3.0,48.3,6.0,3.0,77.9,6.0,2.0,439.4,6.0,2.0,111.3,6.0,2.0,1506.0,5.0,2.0,699.4
6.0,4.0,51.0,6.0,4.0,78.9,6.0,4.0,1168.0,6.0,3.0,390.6,6.0,3.0,3367.0,5.0,3.0,1663.0
6.0,5.0,159.1,6.0,5.0,206.6,6.0,5.0,1411.0,6.0,5.0,278.5,6.0,4.0,1830.0,5.0,4.0,1092.0
