1,前川 守嗣,前川 守嗣.1,2,和合 俊介,和合 俊介.1,3,大西 隆洋,大西 隆洋.1,4,井川 大作,井川 大作.1,5,岸本 隆,岸本 隆.1,6,長尾　京志郎,長尾　京志郎.1
2.0,3.0,9.6,1.0,3.0,44.8,1.0,2.0,106.3,1.0,2.0,89.4,1.0,2.0,119.4,1.0,2.0,215.5
2.0,4.0,8.5,1.0,4.0,42.0,1.0,4.0,123.0,1.0,3.0,179.2,1.0,3.0,223.0,1.0,3.0,489.4
2.0,5.0,12.6,1.0,5.0,54.2,1.0,5.0,156.6,1.0,5.0,95.7,1.0,4.0,149.6,1.0,4.0,429.1
2.0,6.0,15.7,1.0,6.0,57.0,1.0,6.0,144.4,1.0,6.0,87.0,1.0,6.0,110.9,1.0,5.0,300.8
3.0,2.0,16.8,3.0,1.0,133.3,2.0,1.0,159.9,2.0,1.0,148.9,2.0,1.0,213.0,2.0,1.0,299.8
3.0,4.0,24.0,3.0,4.0,246.0,2.0,4.0,336.5,2.0,3.0,407.8,2.0,3.0,584.1,2.0,3.0,642.1
3.0,5.0,26.8,3.0,5.0,303.8,2.0,5.0,334.1,2.0,5.0,238.8,2.0,4.0,431.1,2.0,4.0,607.6
3.0,6.0,28.9,3.0,6.0,273.5,2.0,6.0,313.2,2.0,6.0,179.2,2.0,6.0,312.2,2.0,5.0,584.1
4.0,2.0,17.7,4.0,1.0,104.3,4.0,1.0,248.0,3.0,1.0,341.6,3.0,1.0,520.3,3.0,1.0,862.3
4.0,3.0,31.1,4.0,3.0,304.8,4.0,2.0,383.6,3.0,2.0,497.4,3.0,2.0,587.9,3.0,2.0,787.3
4.0,5.0,23.9,4.0,5.0,233.3,4.0,5.0,404.2,3.0,5.0,484.1,3.0,4.0,701.8,3.0,4.0,660.8
4.0,6.0,25.3,4.0,6.0,210.5,4.0,6.0,339.1,3.0,6.0,423.0,3.0,6.0,545.4,3.0,5.0,1117.0
5.0,2.0,24.7,5.0,1.0,166.7,5.0,1.0,336.5,5.0,1.0,131.0,4.0,1.0,224.1,4.0,1.0,620.1
5.0,3.0,39.7,5.0,3.0,423.0,5.0,2.0,505.8,5.0,2.0,222.4,4.0,2.0,402.4,4.0,2.0,815.6
5.0,4.0,31.9,5.0,4.0,336.5,5.0,4.0,562.3,5.0,3.0,385.2,4.0,3.0,675.6,4.0,3.0,754.5
5.0,6.0,35.9,5.0,6.0,346.9,5.0,6.0,492.0,5.0,6.0,192.6,4.0,6.0,269.4,4.0,5.0,914.5
6.0,2.0,48.7,6.0,1.0,179.6,6.0,1.0,415.3,6.0,1.0,196.4,6.0,1.0,239.5,5.0,1.0,407.8
6.0,3.0,68.2,6.0,3.0,382.0,6.0,2.0,492.0,6.0,2.0,337.8,6.0,2.0,415.3,5.0,2.0,718.5
6.0,4.0,51.7,6.0,4.0,331.6,6.0,4.0,474.0,6.0,3.0,413.4,6.0,3.0,555.4,5.0,3.0,1052.0
6.0,5.0,71.4,6.0,5.0,383.6,6.0,5.0,680.7,6.0,5.0,293.9,6.0,4.0,362.1,5.0,4.0,854.1
