1,松山 裕基,松山 裕基.1,2,新田 洋一,新田 洋一.1,3,小畑 実成,小畑 実成.1,4,岡本 大,岡本 大.1,5,花田 凱成,花田 凱成.1,6,守田 俊介,守田 俊介.1
2.0,3.0,36.2,1.0,3.0,67.4,1.0,2.0,139.7,1.0,2.0,218.5,1.0,2.0,971.1,1.0,2.0,12.7
2.0,4.0,102.2,1.0,4.0,146.1,1.0,4.0,167.7,1.0,3.0,212.5,1.0,3.0,996.0,1.0,3.0,12.7
2.0,5.0,237.2,1.0,5.0,372.6,1.0,5.0,461.0,1.0,5.0,288.8,1.0,4.0,947.4,1.0,4.0,23.9
2.0,6.0,22.6,1.0,6.0,41.2,1.0,6.0,60.6,1.0,6.0,93.3,1.0,6.0,616.5,1.0,5.0,93.0
3.0,2.0,48.9,3.0,1.0,124.1,2.0,1.0,181.5,2.0,1.0,279.9,2.0,1.0,1168.0,2.0,1.0,21.7
3.0,4.0,81.9,3.0,4.0,210.8,2.0,4.0,247.0,2.0,3.0,330.5,2.0,3.0,1707.0,2.0,3.0,26.6
3.0,5.0,254.7,3.0,5.0,658.3,2.0,5.0,537.6,2.0,5.0,523.1,2.0,4.0,1569.0,2.0,4.0,48.4
3.0,6.0,22.9,3.0,6.0,67.0,2.0,6.0,87.0,2.0,6.0,180.6,2.0,6.0,839.8,2.0,5.0,155.6
4.0,2.0,170.9,4.0,1.0,259.3,4.0,1.0,235.4,3.0,1.0,293.7,3.0,1.0,1652.0,3.0,1.0,24.1
4.0,3.0,142.4,4.0,3.0,298.2,4.0,2.0,336.3,3.0,2.0,401.4,3.0,2.0,1942.0,3.0,2.0,30.3
4.0,5.0,363.0,4.0,5.0,699.8,4.0,5.0,498.0,3.0,5.0,545.1,3.0,4.0,1670.0,3.0,4.0,40.5
4.0,6.0,72.0,4.0,6.0,162.6,4.0,6.0,131.8,3.0,6.0,173.9,3.0,6.0,1253.0,3.0,5.0,165.1
5.0,2.0,490.1,5.0,1.0,835.3,5.0,1.0,1465.0,5.0,1.0,342.9,4.0,1.0,690.5,4.0,1.0,33.7
5.0,3.0,519.6,5.0,3.0,1305.0,5.0,2.0,669.7,5.0,2.0,476.6,4.0,2.0,1142.0,4.0,2.0,48.1
5.0,4.0,556.9,5.0,4.0,1223.0,5.0,4.0,747.0,5.0,3.0,456.9,4.0,3.0,1316.0,4.0,3.0,44.1
5.0,6.0,325.0,5.0,6.0,743.4,5.0,6.0,604.5,5.0,6.0,296.5,4.0,6.0,634.1,4.0,5.0,86.6
6.0,2.0,13.8,6.0,1.0,38.4,6.0,1.0,47.1,6.0,1.0,84.5,6.0,1.0,699.8,5.0,1.0,208.2
6.0,3.0,13.6,6.0,3.0,39.0,6.0,2.0,61.9,6.0,2.0,141.7,6.0,2.0,858.4,5.0,2.0,254.7
6.0,4.0,28.2,6.0,4.0,76.9,6.0,4.0,70.9,6.0,3.0,108.3,6.0,3.0,849.0,5.0,3.0,292.0
6.0,5.0,107.1,6.0,5.0,268.8,6.0,5.0,234.7,6.0,5.0,216.1,6.0,4.0,712.7,5.0,4.0,201.7
