1,小野寺　智洋,小野寺　智洋.1,2,篠崎 仁志,篠崎 仁志.1,3,岸本 隆,岸本 隆.1,4,岡本 慎治,岡本 慎治.1,5,松山 裕基,松山 裕基.1,6,山田 佑樹,山田 佑樹.1
2.0,3.0,6.4,1.0,3.0,12.3,1.0,2.0,77.0,1.0,2.0,125.4,1.0,2.0,226.2,1.0,2.0,175.5
2.0,4.0,7.2,1.0,4.0,11.4,1.0,4.0,167.4,1.0,3.0,304.6,1.0,3.0,507.2,1.0,3.0,473.4
2.0,5.0,17.5,1.0,5.0,24.2,1.0,5.0,235.8,1.0,5.0,259.4,1.0,4.0,401.0,1.0,4.0,457.2
2.0,6.0,10.8,1.0,6.0,13.7,1.0,6.0,188.2,1.0,6.0,208.7,1.0,6.0,326.2,1.0,5.0,561.9
3.0,2.0,20.6,3.0,1.0,51.4,2.0,1.0,104.3,2.0,1.0,139.4,2.0,1.0,296.3,2.0,1.0,190.4
3.0,4.0,45.3,3.0,4.0,110.4,2.0,4.0,254.3,2.0,3.0,423.2,2.0,3.0,670.4,2.0,3.0,509.0
3.0,5.0,79.1,3.0,5.0,179.2,2.0,5.0,365.3,2.0,5.0,264.9,2.0,4.0,537.1,2.0,4.0,467.2
3.0,6.0,63.9,3.0,6.0,93.5,2.0,6.0,227.4,2.0,6.0,214.6,2.0,6.0,401.0,2.0,5.0,541.2
4.0,2.0,28.4,4.0,1.0,51.6,4.0,1.0,351.7,3.0,1.0,478.7,3.0,1.0,816.5,3.0,1.0,1078.0
4.0,3.0,71.0,4.0,3.0,146.6,4.0,2.0,343.3,3.0,2.0,541.9,3.0,2.0,864.5,3.0,2.0,878.7
4.0,5.0,98.1,4.0,5.0,149.5,4.0,5.0,517.6,3.0,5.0,850.7,3.0,4.0,1144.0,3.0,4.0,1400.0
4.0,6.0,70.6,4.0,6.0,88.3,4.0,6.0,565.6,3.0,6.0,692.1,3.0,6.0,1115.0,3.0,5.0,1599.0
5.0,2.0,63.9,5.0,1.0,119.4,5.0,1.0,601.5,5.0,1.0,346.9,4.0,1.0,479.8,4.0,1.0,830.8
5.0,3.0,144.6,5.0,3.0,293.7,5.0,2.0,665.2,5.0,2.0,357.0,4.0,2.0,574.7,4.0,2.0,725.0
5.0,4.0,153.3,5.0,4.0,225.8,5.0,4.0,868.0,5.0,3.0,822.8,4.0,3.0,1132.0,4.0,3.0,1404.0
5.0,6.0,144.0,5.0,6.0,183.4,5.0,6.0,804.2,5.0,6.0,367.2,4.0,6.0,606.6,4.0,5.0,884.2
6.0,2.0,39.4,6.0,1.0,56.3,6.0,1.0,505.4,6.0,1.0,339.7,6.0,1.0,474.5,5.0,1.0,837.3
6.0,3.0,132.7,6.0,3.0,168.8,6.0,2.0,525.9,6.0,2.0,312.1,6.0,2.0,482.0,5.0,2.0,762.6
6.0,4.0,121.1,6.0,4.0,124.8,6.0,4.0,875.1,6.0,3.0,746.6,6.0,3.0,886.0,5.0,3.0,1298.0
6.0,5.0,166.6,6.0,5.0,185.2,6.0,5.0,891.5,6.0,5.0,425.7,6.0,4.0,659.0,5.0,4.0,824.4
