1,冨田 秀幸,冨田 秀幸.1,2,川島 圭司,川島 圭司.1,3,原村 拓也,原村 拓也.1,4,和合 俊介,和合 俊介.1,5,井川 大作,井川 大作.1,6,高倉 和士,高倉 和士.1
2.0,3.0,38.3,1.0,3.0,34.7,1.0,2.0,103.5,1.0,2.0,341.0,1.0,2.0,271.3,1.0,2.0,46.2
2.0,4.0,70.5,1.0,4.0,33.5,1.0,4.0,237.6,1.0,3.0,547.2,1.0,3.0,362.1,1.0,3.0,100.6
2.0,5.0,70.9,1.0,5.0,52.0,1.0,5.0,193.7,1.0,5.0,342.2,1.0,4.0,565.8,1.0,4.0,165.9
2.0,6.0,23.6,1.0,6.0,15.8,1.0,6.0,79.2,1.0,6.0,201.6,1.0,6.0,136.2,1.0,5.0,98.2
3.0,2.0,52.1,3.0,1.0,65.3,2.0,1.0,105.8,2.0,1.0,224.3,2.0,1.0,238.2,2.0,1.0,30.9
3.0,4.0,108.3,3.0,4.0,100.8,2.0,4.0,162.4,2.0,3.0,303.6,2.0,3.0,277.4,2.0,3.0,37.3
3.0,5.0,131.7,3.0,5.0,77.9,2.0,5.0,133.1,2.0,5.0,180.0,2.0,4.0,384.5,2.0,4.0,38.1
3.0,6.0,47.2,3.0,6.0,30.9,2.0,6.0,47.0,2.0,6.0,85.6,2.0,6.0,64.1,2.0,5.0,31.0
4.0,2.0,139.4,4.0,1.0,131.7,4.0,1.0,420.2,3.0,1.0,622.4,3.0,1.0,524.1,3.0,1.0,169.0
4.0,3.0,196.4,4.0,3.0,165.4,4.0,2.0,316.1,3.0,2.0,454.7,3.0,2.0,427.4,3.0,2.0,88.9
4.0,5.0,269.1,4.0,5.0,111.1,4.0,5.0,448.6,3.0,5.0,490.5,3.0,4.0,823.0,3.0,4.0,260.0
4.0,6.0,132.2,4.0,6.0,50.0,4.0,6.0,207.0,3.0,6.0,262.0,3.0,6.0,181.4,3.0,5.0,147.1
5.0,2.0,149.9,5.0,1.0,118.1,5.0,1.0,276.6,5.0,1.0,324.4,4.0,1.0,556.3,4.0,1.0,235.9
5.0,3.0,210.9,5.0,3.0,113.6,5.0,2.0,228.4,5.0,2.0,210.1,4.0,2.0,461.0,4.0,2.0,86.3
5.0,4.0,315.1,5.0,4.0,144.5,5.0,4.0,490.5,5.0,3.0,469.7,4.0,3.0,726.9,4.0,3.0,288.6
5.0,6.0,103.5,5.0,6.0,37.7,5.0,6.0,106.0,5.0,6.0,150.6,4.0,6.0,224.3,4.0,5.0,163.2
6.0,2.0,33.9,6.0,1.0,21.2,6.0,1.0,97.3,6.0,1.0,165.1,6.0,1.0,104.0,5.0,1.0,107.8
6.0,3.0,63.6,6.0,3.0,29.8,6.0,2.0,63.5,6.0,2.0,82.8,6.0,2.0,59.3,5.0,2.0,54.8
6.0,4.0,126.3,6.0,4.0,27.7,6.0,4.0,173.8,6.0,3.0,205.3,6.0,3.0,127.6,5.0,3.0,130.6
6.0,5.0,86.9,6.0,5.0,26.6,6.0,5.0,91.2,6.0,5.0,130.6,6.0,4.0,162.2,5.0,4.0,142.8
