1,木場　雄二郎,木場　雄二郎.1,2,岸本 隆,岸本 隆.1,3,佐藤 大騎,佐藤 大騎.1,4,松山 裕基,松山 裕基.1,5,村越 篤,村越 篤.1,6,石丸 海渡,石丸 海渡.1
2.0,3.0,24.9,1.0,3.0,90.4,1.0,2.0,144.2,1.0,2.0,268.9,1.0,2.0,94.3,1.0,2.0,103.7
2.0,4.0,37.1,1.0,4.0,107.8,1.0,4.0,165.9,1.0,3.0,289.6,1.0,3.0,149.7,1.0,3.0,167.7
2.0,5.0,20.4,1.0,5.0,60.2,1.0,5.0,105.4,1.0,5.0,109.6,1.0,4.0,106.5,1.0,4.0,155.7
2.0,6.0,14.9,1.0,6.0,45.9,1.0,6.0,87.1,1.0,6.0,103.3,1.0,6.0,33.7,1.0,5.0,62.3
3.0,2.0,36.6,3.0,1.0,227.7,2.0,1.0,229.8,2.0,1.0,371.7,2.0,1.0,168.2,2.0,1.0,159.9
3.0,4.0,66.0,3.0,4.0,463.0,2.0,4.0,376.2,2.0,3.0,647.1,2.0,3.0,378.1,2.0,3.0,278.6
3.0,5.0,41.9,3.0,5.0,272.2,2.0,5.0,252.2,2.0,5.0,309.3,2.0,4.0,268.9,2.0,4.0,279.1
3.0,6.0,31.7,3.0,6.0,208.7,2.0,6.0,179.8,2.0,6.0,216.0,2.0,6.0,81.9,2.0,5.0,113.2
4.0,2.0,77.2,4.0,1.0,351.4,4.0,1.0,283.7,3.0,1.0,352.2,3.0,1.0,263.9,3.0,1.0,250.2
4.0,3.0,102.6,4.0,3.0,636.4,4.0,2.0,560.3,3.0,2.0,687.3,3.0,2.0,384.7,3.0,2.0,326.9
4.0,5.0,61.3,4.0,5.0,291.8,4.0,5.0,298.5,3.0,5.0,321.5,3.0,4.0,351.4,3.0,4.0,342.1
4.0,6.0,48.5,4.0,6.0,244.7,4.0,6.0,206.7,3.0,6.0,239.7,3.0,6.0,141.6,3.0,5.0,192.8
5.0,2.0,35.0,5.0,1.0,162.4,5.0,1.0,193.8,5.0,1.0,85.5,4.0,1.0,118.0,4.0,1.0,182.8
5.0,3.0,54.9,5.0,3.0,363.0,5.0,2.0,326.2,5.0,2.0,189.0,4.0,2.0,206.2,4.0,2.0,262.1
5.0,4.0,64.2,5.0,4.0,303.8,5.0,4.0,288.5,5.0,3.0,206.7,4.0,3.0,276.6,4.0,3.0,356.3
5.0,6.0,18.3,5.0,6.0,87.1,5.0,6.0,111.1,5.0,6.0,41.4,4.0,6.0,49.1,4.0,5.0,92.0
6.0,2.0,30.3,6.0,1.0,126.1,6.0,1.0,150.5,6.0,1.0,95.2,6.0,1.0,30.1,5.0,1.0,52.5
6.0,3.0,48.6,6.0,3.0,233.2,6.0,2.0,246.6,6.0,2.0,176.7,6.0,2.0,46.2,5.0,2.0,76.8
6.0,4.0,57.2,6.0,4.0,207.0,6.0,4.0,194.0,6.0,3.0,191.6,6.0,3.0,76.9,5.0,3.0,120.2
6.0,5.0,24.3,6.0,5.0,89.4,6.0,5.0,121.2,6.0,5.0,50.3,6.0,4.0,39.7,5.0,4.0,64.2
