1,富永 修一,富永 修一.1,2,前原 大道,前原 大道.1,3,古澤 信二,古澤 信二.1,4,籾山 佳岳,籾山 佳岳.1,5,横田 茂,横田 茂.1,6,篠崎 仁志,篠崎 仁志.1
2.0,3.0,25.8,1.0,3.0,73.5,1.0,2.0,322.3,1.0,2.0,162.3,1.0,2.0,166.7,1.0,2.0,30.0
2.0,4.0,19.5,1.0,4.0,50.8,1.0,4.0,511.0,1.0,3.0,507.0,1.0,3.0,577.7,1.0,3.0,140.4
2.0,5.0,17.2,1.0,5.0,41.2,1.0,5.0,620.2,1.0,5.0,196.2,1.0,4.0,389.9,1.0,4.0,94.0
2.0,6.0,6.4,1.0,6.0,16.8,1.0,6.0,220.6,1.0,6.0,93.8,1.0,6.0,87.4,1.0,5.0,57.5
3.0,2.0,55.6,3.0,1.0,285.7,2.0,1.0,516.2,2.0,1.0,260.6,2.0,1.0,240.5,2.0,1.0,41.5
3.0,4.0,112.0,3.0,4.0,586.6,2.0,4.0,990.9,2.0,3.0,961.7,2.0,3.0,1062.0,2.0,3.0,229.0
3.0,5.0,136.2,3.0,5.0,741.2,2.0,5.0,1162.0,2.0,5.0,396.7,2.0,4.0,605.3,2.0,4.0,153.4
3.0,6.0,45.0,3.0,6.0,236.5,2.0,6.0,419.7,2.0,6.0,178.9,2.0,6.0,100.4,2.0,5.0,73.7
4.0,2.0,41.4,4.0,1.0,172.2,4.0,1.0,1085.0,3.0,1.0,1368.0,3.0,1.0,1381.0,3.0,1.0,390.6
4.0,3.0,137.8,4.0,3.0,650.2,4.0,2.0,1287.0,3.0,2.0,1456.0,3.0,2.0,1582.0,3.0,2.0,495.4
4.0,5.0,83.1,4.0,5.0,292.5,4.0,5.0,1669.0,3.0,5.0,1794.0,3.0,4.0,2017.0,3.0,4.0,852.0
4.0,6.0,29.9,4.0,6.0,132.3,4.0,6.0,844.1,3.0,6.0,880.0,3.0,6.0,672.3,3.0,5.0,583.6
5.0,2.0,37.2,5.0,1.0,133.4,5.0,1.0,1228.0,5.0,1.0,228.3,4.0,1.0,427.6,4.0,1.0,174.7
5.0,3.0,200.4,5.0,3.0,679.3,5.0,2.0,1555.0,5.0,2.0,315.2,4.0,2.0,545.9,4.0,2.0,199.9
5.0,4.0,85.9,5.0,4.0,365.5,5.0,4.0,2044.0,5.0,3.0,886.8,4.0,3.0,1406.0,4.0,3.0,595.1
5.0,6.0,26.4,5.0,6.0,79.4,5.0,6.0,677.3,5.0,6.0,136.5,4.0,6.0,237.0,4.0,5.0,234.4
6.0,2.0,9.9,6.0,1.0,32.1,6.0,1.0,428.4,6.0,1.0,100.3,6.0,1.0,74.8,5.0,1.0,85.2
6.0,3.0,44.0,6.0,3.0,189.2,6.0,2.0,500.9,6.0,2.0,130.5,6.0,2.0,79.3,5.0,2.0,87.8
6.0,4.0,31.4,6.0,4.0,102.1,6.0,4.0,831.8,6.0,3.0,483.9,6.0,3.0,388.6,5.0,3.0,360.0
6.0,5.0,18.0,6.0,5.0,54.6,6.0,5.0,634.0,6.0,5.0,110.2,6.0,4.0,200.9,5.0,4.0,205.8
