1,米田 隆弘,米田 隆弘.1,2,冨田 秀幸,冨田 秀幸.1,3,中島 浩哉,中島 浩哉.1,4,守田 俊介,守田 俊介.1,5,小畑 実成,小畑 実成.1,6,三好 勇人,三好 勇人.1
2.0,3.0,34.6,1.0,3.0,241.5,1.0,2.0,107.2,1.0,2.0,36.9,1.0,2.0,941.1,1.0,2.0,712.5
2.0,4.0,25.2,1.0,4.0,197.8,1.0,4.0,30.3,1.0,3.0,22.1,1.0,3.0,628.8,1.0,3.0,508.5
2.0,5.0,90.6,1.0,5.0,491.0,1.0,5.0,73.6,1.0,5.0,28.1,1.0,4.0,356.2,1.0,4.0,251.6
2.0,6.0,79.0,1.0,6.0,504.4,1.0,6.0,63.4,1.0,6.0,19.1,1.0,6.0,545.5,1.0,5.0,771.5
3.0,2.0,24.8,3.0,1.0,463.4,2.0,1.0,341.7,2.0,1.0,149.9,2.0,1.0,2001.0,2.0,1.0,1476.0
3.0,4.0,7.3,3.0,4.0,421.4,2.0,4.0,429.5,2.0,3.0,311.2,2.0,3.0,2253.0,2.0,3.0,2533.0
3.0,5.0,27.8,3.0,5.0,1282.0,2.0,5.0,738.3,2.0,5.0,326.6,2.0,4.0,1937.0,2.0,4.0,1456.0
3.0,6.0,22.4,3.0,6.0,1456.0,2.0,6.0,770.2,2.0,6.0,200.8,2.0,6.0,1903.0,2.0,5.0,3058.0
4.0,2.0,15.3,4.0,1.0,326.3,4.0,1.0,45.4,3.0,1.0,46.2,3.0,1.0,1029.0,3.0,1.0,739.6
4.0,3.0,7.2,4.0,3.0,563.4,4.0,2.0,217.4,3.0,2.0,181.9,3.0,2.0,2693.0,3.0,2.0,2340.0
4.0,5.0,17.9,4.0,5.0,1135.0,4.0,5.0,110.2,3.0,5.0,109.5,3.0,4.0,1141.0,3.0,4.0,738.3
4.0,6.0,11.5,4.0,6.0,551.8,4.0,6.0,81.6,3.0,6.0,84.2,3.0,6.0,1186.0,3.0,5.0,1920.0
5.0,2.0,178.8,5.0,1.0,1653.0,5.0,1.0,306.9,5.0,1.0,58.9,4.0,1.0,314.6,4.0,1.0,270.6
5.0,3.0,89.4,5.0,3.0,2207.0,5.0,2.0,707.8,5.0,2.0,164.9,4.0,2.0,1289.0,4.0,2.0,975.4
5.0,4.0,58.9,5.0,4.0,1955.0,5.0,4.0,330.6,5.0,3.0,160.9,4.0,3.0,847.9,4.0,3.0,601.4
5.0,6.0,113.7,5.0,6.0,1982.0,5.0,6.0,421.9,5.0,6.0,62.0,4.0,6.0,390.7,4.0,5.0,747.3
6.0,2.0,164.0,6.0,1.0,1317.0,6.0,1.0,237.3,6.0,1.0,47.3,6.0,1.0,955.8,5.0,1.0,1321.0
6.0,3.0,93.3,6.0,3.0,2109.0,6.0,2.0,712.5,6.0,2.0,148.4,6.0,2.0,1911.0,5.0,2.0,1762.0
6.0,4.0,49.4,6.0,4.0,1293.0,6.0,4.0,228.5,6.0,3.0,92.5,6.0,3.0,1148.0,5.0,3.0,1946.0
6.0,5.0,153.9,6.0,5.0,2549.0,6.0,5.0,442.8,6.0,5.0,72.1,6.0,4.0,766.0,5.0,4.0,993.5
