1,山田 佑樹,山田 佑樹.1,2,西尾 亮輔,西尾 亮輔.1,3,高倉 和士,高倉 和士.1,4,金田 大輔,金田 大輔.1,5,岡本 大,岡本 大.1,6,中田 元泰,中田 元泰.1
2.0,3.0,22.6,1.0,3.0,70.8,1.0,2.0,20.3,1.0,2.0,360.1,1.0,2.0,1378.0,1.0,2.0,247.9
2.0,4.0,76.7,1.0,4.0,213.8,1.0,4.0,14.7,1.0,3.0,144.9,1.0,3.0,743.9,1.0,3.0,74.4
2.0,5.0,156.4,1.0,5.0,421.2,1.0,5.0,35.8,1.0,5.0,458.5,1.0,4.0,1490.0,1.0,4.0,245.0
2.0,6.0,51.2,1.0,6.0,136.0,1.0,6.0,7.8,1.0,6.0,168.2,1.0,6.0,1059.0,1.0,5.0,467.9
3.0,2.0,12.2,3.0,1.0,86.2,2.0,1.0,54.0,2.0,1.0,581.5,2.0,1.0,2055.0,2.0,1.0,489.6
3.0,4.0,13.1,3.0,4.0,178.2,2.0,4.0,88.6,2.0,3.0,477.3,2.0,3.0,1806.0,2.0,3.0,323.5
3.0,5.0,36.5,3.0,5.0,371.4,2.0,5.0,151.1,2.0,5.0,1045.0,2.0,4.0,2509.0,2.0,4.0,826.4
3.0,6.0,8.0,3.0,6.0,94.7,2.0,6.0,46.1,2.0,6.0,474.9,2.0,6.0,1786.0,2.0,5.0,1423.0
4.0,2.0,112.4,4.0,1.0,485.6,4.0,1.0,40.9,3.0,1.0,170.6,3.0,1.0,802.8,3.0,1.0,65.8
4.0,3.0,54.5,4.0,3.0,410.3,4.0,2.0,90.8,3.0,2.0,296.7,3.0,2.0,1332.0,3.0,2.0,167.4
4.0,5.0,203.2,4.0,5.0,993.5,4.0,5.0,105.9,3.0,5.0,405.5,3.0,4.0,1410.0,3.0,4.0,134.2
4.0,6.0,82.7,4.0,6.0,570.4,4.0,6.0,28.0,3.0,6.0,101.7,3.0,6.0,708.5,3.0,5.0,259.8
5.0,2.0,313.1,5.0,1.0,1045.0,5.0,1.0,133.8,5.0,1.0,628.3,4.0,1.0,1622.0,4.0,1.0,391.8
5.0,3.0,174.7,5.0,3.0,1114.0,5.0,2.0,224.4,5.0,2.0,845.5,4.0,2.0,2187.0,4.0,2.0,742.8
5.0,4.0,403.7,5.0,4.0,1703.0,5.0,4.0,216.3,5.0,3.0,652.3,4.0,3.0,1715.0,4.0,3.0,246.9
5.0,6.0,223.8,5.0,6.0,1354.0,5.0,6.0,81.1,5.0,6.0,445.6,4.0,6.0,1310.0,4.0,5.0,981.2
6.0,2.0,79.2,6.0,1.0,315.6,6.0,1.0,16.3,6.0,1.0,225.0,6.0,1.0,1339.0,5.0,1.0,825.0
6.0,3.0,27.0,6.0,3.0,248.7,6.0,2.0,42.7,6.0,2.0,439.5,6.0,2.0,1709.0,5.0,2.0,1288.0
6.0,4.0,98.3,6.0,4.0,668.8,6.0,4.0,29.9,6.0,3.0,154.9,6.0,3.0,741.6,5.0,3.0,537.0
6.0,5.0,174.6,6.0,5.0,1086.0,6.0,5.0,56.6,6.0,5.0,395.4,6.0,4.0,1622.0,5.0,4.0,1235.0
