1,和田 拓也,和田 拓也.1,2,新田 洋一,新田 洋一.1,3,青木　幸太郎,青木　幸太郎.1,4,小野寺　智洋,小野寺　智洋.1,5,中島 浩哉,中島 浩哉.1,6,中田 元泰,中田 元泰.1
2.0,3.0,25.7,1.0,3.0,328.6,1.0,2.0,179.8,1.0,2.0,51.8,1.0,2.0,841.3,1.0,2.0,376.5
2.0,4.0,21.6,1.0,4.0,276.8,1.0,4.0,57.7,1.0,3.0,38.4,1.0,3.0,514.6,1.0,3.0,146.3
2.0,5.0,65.4,1.0,5.0,673.5,1.0,5.0,159.0,1.0,5.0,45.0,1.0,4.0,494.2,1.0,4.0,127.8
2.0,6.0,26.4,1.0,6.0,282.7,1.0,6.0,59.2,1.0,6.0,30.3,1.0,6.0,399.3,1.0,5.0,449.7
3.0,2.0,19.1,3.0,1.0,638.1,2.0,1.0,441.3,2.0,1.0,518.7,2.0,1.0,1502.0,2.0,1.0,722.3
3.0,4.0,7.3,3.0,4.0,1117.0,2.0,4.0,602.2,2.0,3.0,884.4,2.0,3.0,2441.0,2.0,3.0,1497.0
3.0,5.0,32.7,3.0,5.0,1833.0,2.0,5.0,978.8,2.0,5.0,1049.0,2.0,4.0,2202.0,2.0,4.0,1163.0
3.0,6.0,8.7,3.0,6.0,966.1,2.0,6.0,501.9,2.0,6.0,505.9,2.0,6.0,1444.0,2.0,5.0,2269.0
4.0,2.0,23.3,4.0,1.0,606.3,4.0,1.0,103.2,3.0,1.0,43.8,3.0,1.0,827.3,3.0,1.0,231.7
4.0,3.0,10.3,4.0,3.0,1185.0,4.0,2.0,450.1,3.0,2.0,657.7,3.0,2.0,2292.0,3.0,2.0,1276.0
4.0,5.0,33.8,4.0,5.0,1598.0,4.0,5.0,221.9,3.0,5.0,368.5,3.0,4.0,1587.0,3.0,4.0,307.3
4.0,6.0,9.3,4.0,6.0,652.0,4.0,6.0,97.9,3.0,6.0,146.0,3.0,6.0,1131.0,3.0,5.0,980.9
5.0,2.0,122.4,5.0,1.0,1517.0,5.0,1.0,409.9,5.0,1.0,216.3,4.0,1.0,598.2,4.0,1.0,155.6
5.0,3.0,81.4,5.0,3.0,2139.0,5.0,2.0,996.1,5.0,2.0,713.1,4.0,2.0,1487.0,4.0,2.0,726.9
5.0,4.0,73.7,5.0,4.0,2339.0,5.0,4.0,444.3,5.0,3.0,471.4,4.0,3.0,1329.0,4.0,3.0,262.4
5.0,6.0,63.4,5.0,6.0,1676.0,5.0,6.0,368.8,5.0,6.0,207.5,4.0,6.0,574.5,4.0,5.0,567.9
6.0,2.0,41.3,6.0,1.0,654.9,6.0,1.0,122.6,6.0,1.0,82.2,6.0,1.0,647.3,5.0,1.0,728.1
6.0,3.0,19.4,6.0,3.0,1224.0,6.0,2.0,486.2,6.0,2.0,341.3,6.0,2.0,1639.0,5.0,2.0,1936.0
6.0,4.0,17.2,6.0,4.0,894.9,6.0,4.0,143.2,6.0,3.0,152.1,6.0,3.0,1052.0,5.0,3.0,1201.0
6.0,5.0,59.3,6.0,5.0,1604.0,6.0,5.0,307.7,6.0,5.0,194.0,6.0,4.0,672.5,5.0,4.0,839.7
