1,青木　幸太郎,青木　幸太郎.1,2,佐藤 大騎,佐藤 大騎.1,3,岡本 慎治,岡本 慎治.1,4,梅原 祥平,梅原 祥平.1,5,和合 俊介,和合 俊介.1,6,冨田 秀幸,冨田 秀幸.1
2.0,3.0,5.7,1.0,3.0,41.9,1.0,2.0,59.7,1.0,2.0,208.3,1.0,2.0,98.5,1.0,2.0,323.8
2.0,4.0,31.1,1.0,4.0,144.2,1.0,4.0,139.8,1.0,3.0,253.2,1.0,3.0,95.2,1.0,3.0,344.9
2.0,5.0,9.8,1.0,5.0,65.9,1.0,5.0,50.2,1.0,5.0,292.9,1.0,4.0,206.9,1.0,4.0,743.8
2.0,6.0,18.3,1.0,6.0,102.2,1.0,6.0,83.3,1.0,6.0,327.2,1.0,6.0,116.8,1.0,5.0,347.5
3.0,2.0,7.9,3.0,1.0,114.4,2.0,1.0,123.3,2.0,1.0,315.2,2.0,1.0,176.0,2.0,1.0,580.5
3.0,4.0,33.7,3.0,4.0,413.9,2.0,4.0,387.0,2.0,3.0,835.2,2.0,3.0,270.5,2.0,3.0,971.5
3.0,5.0,9.7,3.0,5.0,187.8,2.0,5.0,173.4,2.0,5.0,1012.0,2.0,4.0,639.0,2.0,4.0,1613.0
3.0,6.0,15.7,3.0,6.0,272.8,2.0,6.0,222.4,2.0,6.0,715.9,2.0,6.0,329.4,2.0,5.0,1012.0
4.0,2.0,63.7,4.0,1.0,346.2,4.0,1.0,396.7,3.0,1.0,453.4,3.0,1.0,176.3,3.0,1.0,622.3
4.0,3.0,60.4,4.0,3.0,695.0,4.0,2.0,715.9,3.0,2.0,915.5,3.0,2.0,272.0,3.0,2.0,971.5
4.0,5.0,85.0,4.0,5.0,820.8,4.0,5.0,476.0,3.0,5.0,743.8,3.0,4.0,523.1,3.0,4.0,1421.0
4.0,6.0,101.7,4.0,6.0,881.6,4.0,6.0,531.9,3.0,6.0,786.9,3.0,6.0,289.4,3.0,5.0,726.8
5.0,2.0,19.4,5.0,1.0,176.9,5.0,1.0,98.9,5.0,1.0,410.4,4.0,1.0,385.4,4.0,1.0,1269.0
5.0,3.0,20.2,5.0,3.0,247.9,5.0,2.0,172.4,5.0,2.0,700.1,4.0,2.0,721.3,4.0,2.0,1866.0
5.0,4.0,76.0,5.0,4.0,602.6,5.0,4.0,296.6,5.0,3.0,675.2,4.0,3.0,587.7,4.0,3.0,1421.0
5.0,6.0,31.2,5.0,6.0,374.8,5.0,6.0,156.0,5.0,6.0,647.7,4.0,6.0,573.5,4.0,5.0,1586.0
6.0,2.0,48.5,6.0,1.0,360.6,6.0,1.0,234.5,6.0,1.0,547.2,6.0,1.0,145.5,5.0,1.0,393.4
6.0,3.0,47.1,6.0,3.0,634.7,6.0,2.0,380.8,6.0,2.0,971.5,6.0,2.0,251.8,5.0,2.0,670.5
6.0,4.0,127.4,6.0,4.0,1069.0,6.0,4.0,537.9,6.0,3.0,952.1,6.0,3.0,251.2,5.0,3.0,526.0
6.0,5.0,60.4,6.0,5.0,547.2,6.0,5.0,277.5,6.0,5.0,915.5,6.0,4.0,356.6,5.0,4.0,981.6
