1,籾山 佳岳,籾山 佳岳.1,2,原村 拓也,原村 拓也.1,3,井川 大作,井川 大作.1,4,和田 拓也,和田 拓也.1,5,大西 隆洋,大西 隆洋.1,6,米田 隆弘,米田 隆弘.1
2.0,3.0,57.4,1.0,3.0,108.6,1.0,2.0,116.7,1.0,2.0,40.6,1.0,2.0,1757.0,1.0,2.0,361.9
2.0,4.0,42.2,1.0,4.0,77.0,1.0,4.0,39.1,1.0,3.0,26.8,1.0,3.0,935.0,1.0,3.0,261.4
2.0,5.0,221.0,1.0,5.0,350.6,1.0,5.0,321.2,1.0,5.0,94.1,1.0,4.0,1268.0,1.0,4.0,145.7
2.0,6.0,67.1,1.0,6.0,117.8,1.0,6.0,60.2,1.0,6.0,18.6,1.0,6.0,828.8,1.0,5.0,1012.0
3.0,2.0,52.1,3.0,1.0,179.8,2.0,1.0,173.0,2.0,1.0,62.9,2.0,1.0,2054.0,2.0,1.0,588.1
3.0,4.0,24.1,3.0,4.0,115.5,2.0,4.0,101.2,2.0,3.0,71.2,2.0,3.0,858.0,2.0,3.0,479.8
3.0,5.0,204.2,3.0,5.0,548.3,2.0,5.0,420.3,2.0,5.0,162.2,2.0,4.0,1846.0,2.0,4.0,205.1
3.0,6.0,44.9,3.0,6.0,178.9,2.0,6.0,143.5,2.0,6.0,37.8,2.0,6.0,1350.0,2.0,5.0,1130.0
4.0,2.0,31.8,4.0,1.0,92.3,4.0,1.0,33.0,3.0,1.0,29.4,3.0,1.0,1894.0,3.0,1.0,251.4
4.0,3.0,24.3,4.0,3.0,103.6,4.0,2.0,52.6,3.0,2.0,51.5,3.0,2.0,801.4,3.0,2.0,410.8
4.0,5.0,152.5,4.0,5.0,342.4,4.0,5.0,109.2,3.0,5.0,109.0,3.0,4.0,1416.0,3.0,4.0,72.9
4.0,6.0,24.2,4.0,6.0,76.6,4.0,6.0,16.0,3.0,6.0,14.3,3.0,6.0,1020.0,3.0,5.0,884.0
5.0,2.0,439.3,5.0,1.0,1122.0,5.0,1.0,574.2,5.0,1.0,124.6,4.0,1.0,1139.0,4.0,1.0,101.0
5.0,3.0,528.5,5.0,3.0,1246.0,5.0,2.0,576.5,5.0,2.0,175.5,4.0,2.0,992.3,4.0,2.0,125.9
5.0,4.0,460.1,5.0,4.0,941.0,5.0,4.0,357.5,5.0,3.0,185.1,4.0,3.0,1157.0,4.0,3.0,61.5
5.0,6.0,394.2,5.0,6.0,843.1,5.0,6.0,338.4,5.0,6.0,78.8,4.0,6.0,492.8,4.0,5.0,261.4
6.0,2.0,159.4,6.0,1.0,322.7,6.0,1.0,74.9,6.0,1.0,16.3,6.0,1.0,923.2,5.0,1.0,1268.0
6.0,3.0,96.0,6.0,3.0,305.8,6.0,2.0,134.9,6.0,2.0,26.1,6.0,2.0,1113.0,5.0,2.0,1338.0
6.0,4.0,63.3,6.0,4.0,158.0,6.0,4.0,32.0,6.0,3.0,14.8,6.0,3.0,972.4,5.0,3.0,1302.0
6.0,5.0,396.3,6.0,5.0,645.4,6.0,5.0,291.7,6.0,5.0,46.6,6.0,4.0,610.3,5.0,4.0,694.6
