1,中田 元泰,中田 元泰.1,2,篠崎 仁志,篠崎 仁志.1,3,眞鳥 章太,眞鳥 章太.1,4,中村 有裕,中村 有裕.1,5,青木　幸太郎,青木　幸太郎.1,6,西尾 亮輔,西尾 亮輔.1
2.0,3.0,6.0,1.0,3.0,26.4,1.0,2.0,261.9,1.0,2.0,57.4,1.0,2.0,94.2,1.0,2.0,515.2
2.0,4.0,4.5,1.0,4.0,14.3,1.0,4.0,440.6,1.0,3.0,269.7,1.0,3.0,440.6,1.0,3.0,1974.0
2.0,5.0,6.7,1.0,5.0,17.8,1.0,5.0,621.6,1.0,5.0,79.4,1.0,4.0,178.6,1.0,4.0,833.7
2.0,6.0,24.0,1.0,6.0,62.5,1.0,6.0,1003.0,1.0,6.0,178.9,1.0,6.0,240.2,1.0,5.0,967.7
3.0,2.0,21.4,3.0,1.0,174.4,2.0,1.0,383.2,2.0,1.0,82.6,2.0,1.0,146.5,2.0,1.0,598.9
3.0,4.0,47.4,3.0,4.0,292.7,2.0,4.0,593.2,2.0,3.0,360.2,2.0,3.0,707.1,2.0,3.0,2022.0
3.0,5.0,71.6,3.0,5.0,315.9,2.0,5.0,828.1,2.0,5.0,121.2,2.0,4.0,269.7,2.0,4.0,1561.0
3.0,6.0,134.1,3.0,6.0,649.4,2.0,6.0,1333.0,2.0,6.0,263.6,2.0,6.0,333.0,2.0,5.0,1265.0
4.0,2.0,16.3,4.0,1.0,53.3,4.0,1.0,931.2,3.0,1.0,865.9,3.0,1.0,1054.0,3.0,1.0,3290.0
4.0,3.0,53.4,4.0,3.0,247.5,4.0,2.0,850.9,3.0,2.0,803.8,3.0,2.0,1298.0,3.0,2.0,3576.0
4.0,5.0,45.6,4.0,5.0,98.8,4.0,5.0,1477.0,3.0,5.0,1068.0,3.0,4.0,2006.0,3.0,4.0,4045.0
4.0,6.0,102.0,4.0,6.0,282.3,4.0,6.0,2145.0,3.0,6.0,1272.0,3.0,6.0,1495.0,3.0,5.0,4570.0
5.0,2.0,25.7,5.0,1.0,91.4,5.0,1.0,1410.0,5.0,1.0,94.5,4.0,1.0,234.8,4.0,1.0,833.7
5.0,3.0,91.1,5.0,3.0,429.1,5.0,2.0,1523.0,5.0,2.0,104.1,4.0,2.0,233.6,4.0,2.0,1762.0
5.0,4.0,63.3,5.0,4.0,174.7,5.0,4.0,2022.0,5.0,3.0,436.7,4.0,3.0,1003.0,4.0,3.0,3290.0
5.0,6.0,89.2,5.0,6.0,298.4,5.0,6.0,2006.0,5.0,6.0,145.6,4.0,6.0,297.6,4.0,5.0,1003.0
6.0,2.0,134.5,6.0,1.0,337.1,6.0,1.0,2022.0,6.0,1.0,328.1,6.0,1.0,451.9,5.0,1.0,1111.0
6.0,3.0,372.2,6.0,3.0,1121.0,6.0,2.0,2073.0,6.0,2.0,408.5,6.0,2.0,559.6,5.0,2.0,1394.0
6.0,4.0,263.6,6.0,4.0,697.1,6.0,4.0,2937.0,6.0,3.0,1015.0,6.0,3.0,1623.0,5.0,3.0,3739.0
6.0,5.0,221.3,6.0,5.0,521.7,6.0,5.0,2653.0,6.0,5.0,305.4,6.0,4.0,612.3,5.0,4.0,1116.0
