1,石丸 海渡,石丸 海渡.1,2,青木　幸太郎,青木　幸太郎.1,3,長尾　京志郎,長尾　京志郎.1,4,三好 勇人,三好 勇人.1,5,前原 大道,前原 大道.1,6,長岡 良也,長岡 良也.1
2.0,3.0,8.8,1.0,3.0,77.3,1.0,2.0,190.0,1.0,2.0,246.2,1.0,2.0,177.6,1.0,2.0,407.3
2.0,4.0,12.9,1.0,4.0,109.8,1.0,4.0,187.8,1.0,3.0,298.8,1.0,3.0,199.8,1.0,3.0,578.2
2.0,5.0,9.9,1.0,5.0,76.3,1.0,5.0,146.8,1.0,5.0,209.2,1.0,4.0,251.6,1.0,4.0,546.2
2.0,6.0,16.1,1.0,6.0,96.3,1.0,6.0,212.1,1.0,6.0,220.7,1.0,6.0,136.3,1.0,5.0,364.4
3.0,2.0,12.2,3.0,1.0,254.5,2.0,1.0,343.2,2.0,1.0,489.1,2.0,1.0,377.6,2.0,1.0,719.1
3.0,4.0,15.6,3.0,4.0,580.7,2.0,4.0,874.3,2.0,3.0,1150.0,2.0,3.0,766.9,2.0,3.0,2011.0
3.0,5.0,10.2,3.0,5.0,361.7,2.0,5.0,551.2,2.0,5.0,828.9,2.0,4.0,1001.0,2.0,4.0,1878.0
3.0,6.0,18.4,3.0,6.0,404.0,2.0,6.0,635.8,2.0,6.0,739.7,2.0,6.0,526.1,2.0,5.0,1385.0
4.0,2.0,20.6,4.0,1.0,363.6,4.0,1.0,473.4,3.0,1.0,631.3,3.0,1.0,532.3,3.0,1.0,1044.0
4.0,3.0,22.5,4.0,3.0,720.1,4.0,2.0,1044.0,3.0,2.0,1425.0,3.0,2.0,980.1,3.0,2.0,2300.0
4.0,5.0,21.7,4.0,5.0,615.6,4.0,5.0,775.7,3.0,5.0,1026.0,3.0,4.0,1225.0,3.0,4.0,2784.0
4.0,6.0,25.1,4.0,6.0,587.6,4.0,6.0,861.8,3.0,6.0,999.9,3.0,6.0,665.4,3.0,5.0,2003.0
5.0,2.0,18.4,5.0,1.0,265.6,5.0,1.0,384.8,5.0,1.0,367.8,4.0,1.0,490.5,4.0,1.0,941.0
5.0,3.0,18.0,5.0,3.0,497.2,5.0,2.0,841.8,5.0,2.0,695.2,4.0,2.0,1001.0,4.0,2.0,2026.0
5.0,4.0,28.9,5.0,4.0,725.9,5.0,4.0,973.1,5.0,3.0,832.8,4.0,3.0,1110.0,4.0,3.0,2919.0
5.0,6.0,22.2,5.0,6.0,384.2,5.0,6.0,581.9,5.0,6.0,331.2,4.0,6.0,484.3,4.0,5.0,1152.0
6.0,2.0,46.5,6.0,1.0,419.9,6.0,1.0,594.7,6.0,1.0,443.9,6.0,1.0,336.0,5.0,1.0,510.3
6.0,3.0,51.1,6.0,3.0,901.9,6.0,2.0,1242.0,6.0,2.0,859.1,6.0,2.0,625.5,5.0,2.0,1347.0
6.0,4.0,58.1,6.0,4.0,1085.0,6.0,4.0,1259.0,6.0,3.0,1157.0,6.0,3.0,769.1,5.0,3.0,1620.0
6.0,5.0,43.2,6.0,5.0,706.1,6.0,5.0,959.3,6.0,5.0,555.7,6.0,4.0,687.3,5.0,4.0,1042.0
