1,上野 秀和,上野 秀和.1,2,川原 正明,川原 正明.1,3,笠 雅雄,笠 雅雄.1,4,村上 彰一,村上 彰一.1,5,西原 明生,西原 明生.1,6,川村 正輝,川村 正輝.1
2.0,3.0,7.8,1.0,3.0,13.9,1.0,2.0,74.7,1.0,2.0,81.9,1.0,2.0,195.4,1.0,2.0,602.4
2.0,4.0,8.5,1.0,4.0,14.3,1.0,4.0,127.3,1.0,3.0,195.7,1.0,3.0,405.0,1.0,3.0,1076.0
2.0,5.0,14.7,1.0,5.0,20.8,1.0,5.0,142.9,1.0,5.0,79.6,1.0,4.0,291.6,1.0,4.0,989.3
2.0,6.0,34.4,1.0,6.0,41.5,1.0,6.0,210.5,1.0,6.0,166.6,1.0,6.0,368.5,1.0,5.0,846.1
3.0,2.0,17.7,3.0,1.0,41.1,2.0,1.0,86.3,2.0,1.0,96.1,2.0,1.0,243.1,2.0,1.0,654.5
3.0,4.0,32.8,3.0,4.0,59.5,2.0,4.0,148.9,2.0,3.0,205.9,2.0,3.0,474.6,2.0,3.0,993.1
3.0,5.0,46.6,3.0,5.0,78.0,2.0,5.0,179.8,2.0,5.0,106.4,2.0,4.0,285.1,2.0,4.0,676.9
3.0,6.0,72.9,3.0,6.0,118.8,2.0,6.0,237.5,2.0,6.0,149.5,2.0,6.0,368.0,2.0,5.0,949.2
4.0,2.0,20.8,4.0,1.0,38.4,4.0,1.0,247.3,3.0,1.0,379.9,3.0,1.0,789.0,3.0,1.0,1811.0
4.0,3.0,47.6,4.0,3.0,64.2,4.0,2.0,275.7,3.0,2.0,344.3,3.0,2.0,840.6,3.0,2.0,1319.0
4.0,5.0,38.3,4.0,5.0,45.2,4.0,5.0,405.0,3.0,5.0,476.3,3.0,4.0,1138.0,3.0,4.0,1850.0
4.0,6.0,71.4,4.0,6.0,74.9,4.0,6.0,479.9,3.0,6.0,526.0,3.0,6.0,1099.0,3.0,5.0,2426.0
5.0,2.0,44.8,5.0,1.0,66.9,5.0,1.0,412.2,5.0,1.0,108.2,4.0,1.0,328.1,4.0,1.0,1319.0
5.0,3.0,88.8,5.0,3.0,110.3,5.0,2.0,459.3,5.0,2.0,128.2,4.0,2.0,299.8,4.0,2.0,784.2
5.0,4.0,68.9,5.0,4.0,77.8,5.0,4.0,636.7,5.0,3.0,325.2,4.0,3.0,843.3,4.0,3.0,1963.0
5.0,6.0,119.8,5.0,6.0,104.6,5.0,6.0,743.4,5.0,6.0,159.1,4.0,6.0,423.0,4.0,5.0,1405.0
6.0,2.0,122.0,6.0,1.0,153.6,6.0,1.0,722.5,6.0,1.0,341.1,6.0,1.0,700.9,5.0,1.0,1445.0
6.0,3.0,229.0,6.0,3.0,285.5,6.0,2.0,654.5,6.0,2.0,271.3,6.0,2.0,599.6,5.0,2.0,1248.0
6.0,4.0,202.7,6.0,4.0,200.4,6.0,4.0,1113.0,6.0,3.0,615.3,6.0,3.0,1207.0,5.0,3.0,2041.0
6.0,5.0,227.2,6.0,5.0,217.4,6.0,5.0,1236.0,6.0,5.0,327.6,6.0,4.0,747.7,5.0,4.0,1478.0
