1,宇野 弥生,宇野 弥生.1,2,中北 涼,中北 涼.1,3,武井　莉里佳,武井　莉里佳.1,4,冨名腰　桃奈,冨名腰　桃奈.1,5,山田 理央,山田 理央.1,6,羽田 妃希,羽田 妃希.1
2.0,3.0,8.0,1.0,3.0,71.1,1.0,2.0,66.5,1.0,2.0,106.5,1.0,2.0,122.8,1.0,2.0,1866.0
2.0,4.0,8.6,1.0,4.0,73.7,1.0,4.0,56.9,1.0,3.0,151.8,1.0,3.0,120.0,1.0,3.0,2036.0
2.0,5.0,12.4,1.0,5.0,89.6,1.0,5.0,55.4,1.0,5.0,111.4,1.0,4.0,143.2,1.0,4.0,2226.0
2.0,6.0,130.6,1.0,6.0,404.4,1.0,6.0,247.1,1.0,6.0,580.0,1.0,6.0,397.8,1.0,5.0,2092.0
3.0,2.0,8.1,3.0,1.0,163.8,2.0,1.0,177.0,2.0,1.0,253.5,2.0,1.0,282.0,2.0,1.0,2739.0
3.0,4.0,8.3,3.0,4.0,323.2,2.0,4.0,379.2,2.0,3.0,622.1,2.0,3.0,662.2,2.0,3.0,4326.0
3.0,5.0,9.8,3.0,5.0,344.4,2.0,5.0,367.7,2.0,5.0,468.3,2.0,4.0,734.3,2.0,4.0,3678.0
3.0,6.0,111.8,3.0,6.0,1131.0,2.0,6.0,1033.0,2.0,6.0,1292.0,2.0,6.0,1544.0,2.0,5.0,4326.0
4.0,2.0,13.3,4.0,1.0,213.2,4.0,1.0,161.2,3.0,1.0,295.9,3.0,1.0,289.3,3.0,1.0,3159.0
4.0,3.0,14.6,4.0,3.0,451.1,4.0,2.0,390.7,3.0,2.0,675.1,3.0,2.0,575.1,3.0,2.0,4427.0
4.0,5.0,16.5,4.0,5.0,438.9,4.0,5.0,258.8,3.0,5.0,491.3,3.0,4.0,629.8,3.0,4.0,4533.0
4.0,6.0,154.0,4.0,6.0,1326.0,4.0,6.0,885.5,3.0,6.0,1677.0,3.0,6.0,1616.0,3.0,5.0,5145.0
5.0,2.0,18.9,5.0,1.0,256.7,5.0,1.0,151.0,5.0,1.0,174.7,4.0,1.0,295.1,4.0,1.0,3415.0
5.0,3.0,18.3,5.0,3.0,527.3,5.0,2.0,400.8,5.0,2.0,367.7,4.0,2.0,642.6,4.0,2.0,4881.0
5.0,4.0,26.2,5.0,4.0,578.2,5.0,4.0,330.1,5.0,3.0,441.9,4.0,3.0,695.4,4.0,3.0,5180.0
5.0,6.0,130.2,5.0,6.0,1520.0,5.0,6.0,905.5,5.0,6.0,751.0,4.0,6.0,1226.0,4.0,5.0,4672.0
6.0,2.0,415.6,6.0,1.0,1329.0,6.0,1.0,1284.0,6.0,1.0,1343.0,6.0,1.0,1367.0,5.0,1.0,3159.0
6.0,3.0,436.4,6.0,3.0,2538.0,6.0,2.0,1972.0,6.0,2.0,2201.0,6.0,2.0,2365.0,5.0,2.0,5363.0
6.0,4.0,490.0,6.0,4.0,2496.0,6.0,4.0,2273.0,6.0,3.0,2940.0,6.0,3.0,2662.0,5.0,3.0,4913.0
6.0,5.0,394.1,6.0,5.0,2820.0,6.0,5.0,2133.0,6.0,5.0,1673.0,6.0,4.0,2464.0,5.0,4.0,4759.0
