1,眞鳥 康太,眞鳥 康太.1,2,山田 理央,山田 理央.1,3,村上 彰一,村上 彰一.1,4,芝田 浩治,芝田 浩治.1,5,竹田 辰也,竹田 辰也.1,6,横井 光弘,横井 光弘.1
2.0,3.0,103.4,1.0,3.0,189.0,1.0,2.0,251.0,1.0,2.0,49.8,1.0,2.0,66.7,1.0,2.0,1979.0
2.0,4.0,42.0,1.0,4.0,70.5,1.0,4.0,184.1,1.0,3.0,96.4,1.0,3.0,115.8,1.0,3.0,2566.0
2.0,5.0,45.7,1.0,5.0,81.1,1.0,5.0,155.9,1.0,5.0,17.4,1.0,4.0,31.5,1.0,4.0,1338.0
2.0,6.0,217.3,1.0,6.0,317.4,1.0,6.0,565.6,1.0,6.0,62.0,1.0,6.0,87.8,1.0,5.0,1210.0
3.0,2.0,103.8,3.0,1.0,428.3,2.0,1.0,699.8,2.0,1.0,81.7,2.0,1.0,104.1,2.0,1.0,2431.0
3.0,4.0,59.8,3.0,4.0,351.7,2.0,4.0,585.9,2.0,3.0,221.7,2.0,3.0,291.7,2.0,3.0,2857.0
3.0,5.0,64.8,3.0,5.0,369.5,2.0,5.0,517.0,2.0,5.0,35.7,2.0,4.0,64.9,2.0,4.0,1295.0
3.0,6.0,251.7,3.0,6.0,965.6,2.0,6.0,1065.0,2.0,6.0,110.5,2.0,6.0,191.9,2.0,5.0,1823.0
4.0,2.0,31.0,4.0,1.0,85.4,4.0,1.0,242.0,3.0,1.0,194.7,3.0,1.0,214.3,3.0,1.0,3849.0
4.0,3.0,59.5,4.0,3.0,253.3,4.0,2.0,433.0,3.0,2.0,299.2,3.0,2.0,343.8,3.0,2.0,3796.0
4.0,5.0,14.9,4.0,5.0,53.5,4.0,5.0,143.4,3.0,5.0,92.5,3.0,4.0,175.8,3.0,4.0,2052.0
4.0,6.0,70.0,4.0,6.0,201.5,4.0,6.0,458.8,3.0,6.0,247.0,3.0,6.0,400.4,3.0,5.0,2566.0
5.0,2.0,35.3,5.0,1.0,100.9,5.0,1.0,219.7,5.0,1.0,10.0,4.0,1.0,17.7,4.0,1.0,1220.0
5.0,3.0,61.9,5.0,3.0,269.3,5.0,2.0,416.7,5.0,2.0,14.0,4.0,2.0,24.9,4.0,2.0,1199.0
5.0,4.0,18.5,5.0,4.0,66.0,5.0,4.0,181.1,5.0,3.0,36.9,4.0,3.0,63.6,4.0,3.0,1951.0
5.0,6.0,76.7,5.0,6.0,223.5,5.0,6.0,452.1,5.0,6.0,13.0,4.0,6.0,21.9,4.0,5.0,381.7
6.0,2.0,341.3,6.0,1.0,926.9,6.0,1.0,1592.0,6.0,1.0,149.5,6.0,1.0,203.0,5.0,1.0,759.3
6.0,3.0,824.8,6.0,3.0,1458.0,6.0,2.0,1522.0,6.0,2.0,168.9,6.0,2.0,233.2,5.0,2.0,1435.0
6.0,4.0,324.5,6.0,4.0,558.7,6.0,4.0,1126.0,6.0,3.0,356.6,6.0,3.0,417.3,5.0,3.0,1951.0
6.0,5.0,242.6,6.0,5.0,671.0,6.0,5.0,1231.0,6.0,5.0,64.9,6.0,4.0,109.7,5.0,4.0,388.1
