1,北村 征嗣,北村 征嗣.1,2,嶋 義信,嶋 義信.1,3,黒柳 浩孝,黒柳 浩孝.1,4,西舘 健,西舘 健.1,5,川村 正輝,川村 正輝.1,6,村上 彰一,村上 彰一.1
2.0,3.0,3.8,1.0,3.0,17.5,1.0,2.0,38.0,1.0,2.0,142.7,1.0,2.0,491.7,1.0,2.0,1097.0
2.0,4.0,9.1,1.0,4.0,34.7,1.0,4.0,72.1,1.0,3.0,219.3,1.0,3.0,400.7,1.0,3.0,1508.0
2.0,5.0,16.0,1.0,5.0,62.5,1.0,5.0,85.1,1.0,5.0,228.3,1.0,4.0,691.7,1.0,4.0,1770.0
2.0,6.0,49.3,1.0,6.0,105.9,1.0,6.0,206.9,1.0,6.0,365.4,1.0,6.0,874.6,1.0,5.0,2188.0
3.0,2.0,5.7,3.0,1.0,47.8,2.0,1.0,67.5,2.0,1.0,205.9,2.0,1.0,704.3,2.0,1.0,1363.0
3.0,4.0,10.6,3.0,4.0,132.5,2.0,4.0,181.0,2.0,3.0,473.1,2.0,3.0,994.8,2.0,3.0,2634.0
3.0,5.0,16.8,3.0,5.0,191.0,2.0,5.0,225.4,2.0,5.0,425.1,2.0,4.0,1313.0,2.0,4.0,1985.0
3.0,6.0,65.4,3.0,6.0,350.4,2.0,6.0,387.3,2.0,6.0,504.5,2.0,6.0,1598.0,2.0,5.0,3027.0
4.0,2.0,23.0,4.0,1.0,113.5,4.0,1.0,224.0,3.0,1.0,426.8,3.0,1.0,697.3,3.0,1.0,1931.0
4.0,3.0,27.2,4.0,3.0,211.6,4.0,2.0,340.9,3.0,2.0,636.0,3.0,2.0,1114.0,3.0,2.0,2586.0
4.0,5.0,58.2,4.0,5.0,298.4,4.0,5.0,452.6,3.0,5.0,880.0,3.0,4.0,1823.0,3.0,4.0,3647.0
4.0,6.0,126.5,4.0,6.0,325.0,4.0,6.0,756.7,3.0,6.0,1102.0,3.0,6.0,2144.0,3.0,5.0,4589.0
5.0,2.0,49.2,5.0,1.0,303.1,5.0,1.0,321.8,5.0,1.0,370.8,4.0,1.0,830.3,4.0,1.0,2222.0
5.0,3.0,50.0,5.0,3.0,425.5,5.0,2.0,449.2,5.0,2.0,502.1,4.0,2.0,1169.0,4.0,2.0,1888.0
5.0,4.0,104.6,5.0,4.0,626.7,5.0,4.0,706.6,5.0,3.0,712.5,4.0,3.0,1778.0,4.0,3.0,3233.0
5.0,6.0,208.3,5.0,6.0,902.3,5.0,6.0,974.4,5.0,6.0,660.6,4.0,6.0,1518.0,4.0,5.0,3387.0
6.0,2.0,234.7,6.0,1.0,327.3,6.0,1.0,676.3,6.0,1.0,802.2,6.0,1.0,1896.0,5.0,1.0,3334.0
6.0,3.0,253.9,6.0,3.0,904.2,6.0,2.0,823.9,6.0,2.0,891.0,6.0,2.0,2864.0,5.0,2.0,3951.0
6.0,4.0,317.0,6.0,4.0,840.1,6.0,4.0,1329.0,6.0,3.0,1427.0,6.0,3.0,3138.0,5.0,3.0,4795.0
6.0,5.0,364.1,6.0,5.0,1394.0,6.0,5.0,1403.0,6.0,5.0,1274.0,6.0,4.0,3283.0,5.0,4.0,4400.0
