1,横井 光弘,横井 光弘.1,2,石川 諒,石川 諒.1,3,志道 吉和,志道 吉和.1,4,田山 和広,田山 和広.1,5,村田 敦,村田 敦.1,6,山田 理央,山田 理央.1
2.0,3.0,7.4,1.0,3.0,13.3,1.0,2.0,51.3,1.0,2.0,209.9,1.0,2.0,102.2,1.0,2.0,124.3
2.0,4.0,23.0,1.0,4.0,35.0,1.0,4.0,94.9,1.0,3.0,230.8,1.0,3.0,183.8,1.0,3.0,205.6
2.0,5.0,13.9,1.0,5.0,21.1,1.0,5.0,77.9,1.0,5.0,325.4,1.0,4.0,340.5,1.0,4.0,424.9
2.0,6.0,21.1,1.0,6.0,24.8,1.0,6.0,86.0,1.0,6.0,318.6,1.0,6.0,162.8,1.0,5.0,219.1
3.0,2.0,11.0,3.0,1.0,34.3,2.0,1.0,66.7,2.0,1.0,250.1,2.0,1.0,131.1,2.0,1.0,165.3
3.0,4.0,26.1,3.0,4.0,86.6,2.0,4.0,160.7,2.0,3.0,350.8,2.0,3.0,220.7,2.0,3.0,295.8
3.0,5.0,21.7,3.0,5.0,48.0,2.0,5.0,102.7,2.0,5.0,367.0,2.0,4.0,434.1,2.0,4.0,451.6
3.0,6.0,38.9,3.0,6.0,77.8,2.0,6.0,135.5,2.0,6.0,403.9,2.0,6.0,182.5,2.0,5.0,292.6
4.0,2.0,55.1,4.0,1.0,120.8,4.0,1.0,176.0,3.0,1.0,275.0,3.0,1.0,279.6,3.0,1.0,396.9
4.0,3.0,67.0,4.0,3.0,166.5,4.0,2.0,267.4,3.0,2.0,450.9,3.0,2.0,274.7,3.0,2.0,448.9
4.0,5.0,107.9,4.0,5.0,189.0,4.0,5.0,329.3,3.0,5.0,550.5,3.0,4.0,708.2,3.0,4.0,833.4
4.0,6.0,110.9,4.0,6.0,173.2,4.0,6.0,326.8,3.0,6.0,609.5,3.0,6.0,410.4,3.0,5.0,822.1
5.0,2.0,37.3,5.0,1.0,58.6,5.0,1.0,168.1,5.0,1.0,353.2,4.0,1.0,498.7,4.0,1.0,781.6
5.0,3.0,50.9,5.0,3.0,85.2,5.0,2.0,170.1,5.0,2.0,374.3,4.0,2.0,568.2,4.0,2.0,734.1
5.0,4.0,132.1,5.0,4.0,191.0,5.0,4.0,348.8,5.0,3.0,524.7,4.0,3.0,831.1,4.0,3.0,1015.0
5.0,6.0,90.9,5.0,6.0,105.9,5.0,6.0,267.7,5.0,6.0,463.4,4.0,6.0,563.9,4.0,5.0,1346.0
6.0,2.0,60.6,6.0,1.0,95.2,6.0,1.0,251.4,6.0,1.0,491.3,6.0,1.0,276.2,5.0,1.0,419.0
6.0,3.0,89.2,6.0,3.0,163.0,6.0,2.0,273.2,6.0,2.0,508.7,6.0,2.0,266.2,5.0,2.0,410.4
6.0,4.0,167.7,6.0,4.0,250.3,6.0,4.0,521.0,6.0,3.0,748.6,6.0,3.0,436.0,5.0,3.0,592.7
6.0,5.0,132.9,6.0,5.0,190.7,6.0,5.0,411.6,6.0,5.0,698.4,6.0,4.0,793.9,5.0,4.0,1156.0
