1,西原 明生,西原 明生.1,2,齊藤 優,齊藤 優.1,3,江本 真治,江本 真治.1,4,盛本 真輔,盛本 真輔.1,5,海野　ゆかり,海野　ゆかり.1,6,日高 逸子,日高 逸子.1
2.0,3.0,26.5,1.0,3.0,51.9,1.0,2.0,54.0,1.0,2.0,89.3,1.0,2.0,181.6,1.0,2.0,923.6
2.0,4.0,42.8,1.0,4.0,70.4,1.0,4.0,40.9,1.0,3.0,75.1,1.0,3.0,128.4,1.0,3.0,634.8
2.0,5.0,49.1,1.0,5.0,81.9,1.0,5.0,32.6,1.0,5.0,51.4,1.0,4.0,160.0,1.0,4.0,796.6
2.0,6.0,76.4,1.0,6.0,124.4,1.0,6.0,65.4,1.0,6.0,71.2,1.0,6.0,141.5,1.0,5.0,532.0
3.0,2.0,24.4,3.0,1.0,84.3,2.0,1.0,101.8,2.0,1.0,120.6,2.0,1.0,286.5,2.0,1.0,1069.0
3.0,4.0,24.8,3.0,4.0,95.8,2.0,4.0,71.8,2.0,3.0,114.0,2.0,3.0,203.1,2.0,3.0,819.2
3.0,5.0,22.1,3.0,5.0,81.5,2.0,5.0,64.3,2.0,5.0,84.3,2.0,4.0,275.9,2.0,4.0,877.8
3.0,6.0,44.6,3.0,6.0,129.0,2.0,6.0,96.6,2.0,6.0,98.8,2.0,6.0,213.3,2.0,5.0,654.3
4.0,2.0,52.3,4.0,1.0,135.4,4.0,1.0,65.1,3.0,1.0,93.1,3.0,1.0,141.8,3.0,1.0,519.0
4.0,3.0,37.8,4.0,3.0,132.2,4.0,2.0,61.4,3.0,2.0,88.7,3.0,2.0,197.0,3.0,2.0,720.9
4.0,5.0,56.5,4.0,5.0,151.8,4.0,5.0,31.7,3.0,5.0,55.5,3.0,4.0,172.9,3.0,4.0,535.5
4.0,6.0,77.2,4.0,6.0,201.5,4.0,6.0,51.1,3.0,6.0,72.6,3.0,6.0,88.7,3.0,5.0,206.2
5.0,2.0,89.6,5.0,1.0,217.3,5.0,1.0,70.2,5.0,1.0,46.5,4.0,1.0,128.0,4.0,1.0,655.7
5.0,3.0,64.2,5.0,3.0,150.1,5.0,2.0,77.4,5.0,2.0,51.4,4.0,2.0,128.7,4.0,2.0,716.1
5.0,4.0,96.8,5.0,4.0,241.7,5.0,4.0,60.9,5.0,3.0,52.7,4.0,3.0,139.0,4.0,3.0,584.7
5.0,6.0,96.3,5.0,6.0,222.2,5.0,6.0,32.3,5.0,6.0,28.8,4.0,6.0,80.9,4.0,5.0,321.8
6.0,2.0,251.9,6.0,1.0,560.0,6.0,1.0,173.4,6.0,1.0,95.3,6.0,1.0,185.9,5.0,1.0,450.1
6.0,3.0,163.9,6.0,3.0,436.5,6.0,2.0,187.3,6.0,2.0,90.7,6.0,2.0,241.6,5.0,2.0,517.3
6.0,4.0,244.0,6.0,4.0,453.3,6.0,4.0,135.2,6.0,3.0,111.7,6.0,3.0,93.3,5.0,3.0,200.8
6.0,5.0,191.7,6.0,5.0,422.0,6.0,5.0,75.9,6.0,5.0,53.2,6.0,4.0,168.2,5.0,4.0,340.4
