1,嶋 義信,嶋 義信.1,2,眞鳥 康太,眞鳥 康太.1,3,三苫 晃幸,三苫 晃幸.1,4,冨名腰　桃奈,冨名腰　桃奈.1,5,平池 仁志,平池 仁志.1,6,竹田 辰也,竹田 辰也.1
2.0,3.0,8.3,1.0,3.0,61.7,1.0,2.0,26.8,1.0,2.0,625.6,1.0,2.0,592.4,1.0,2.0,71.3
2.0,4.0,52.5,1.0,4.0,272.3,1.0,4.0,72.0,1.0,3.0,453.1,1.0,3.0,486.4,1.0,3.0,43.6
2.0,5.0,38.3,1.0,5.0,193.5,1.0,5.0,48.1,1.0,5.0,679.7,1.0,4.0,999.7,1.0,4.0,172.8
2.0,6.0,10.2,1.0,6.0,60.7,1.0,6.0,18.4,1.0,6.0,417.9,1.0,6.0,459.5,1.0,5.0,139.9
3.0,2.0,7.5,3.0,1.0,107.1,2.0,1.0,80.9,2.0,1.0,917.7,2.0,1.0,884.2,2.0,1.0,169.8
3.0,4.0,28.4,3.0,4.0,637.9,2.0,4.0,322.8,2.0,3.0,1304.0,2.0,3.0,996.2,2.0,3.0,191.3
3.0,5.0,22.3,3.0,5.0,395.2,2.0,5.0,239.8,2.0,5.0,1359.0,2.0,4.0,1784.0,2.0,4.0,659.6
3.0,6.0,7.1,3.0,6.0,168.5,2.0,6.0,101.2,2.0,6.0,903.4,2.0,6.0,1227.0,2.0,5.0,652.2
4.0,2.0,118.5,4.0,1.0,886.9,4.0,1.0,259.9,3.0,1.0,642.1,3.0,1.0,598.5,3.0,1.0,57.8
4.0,3.0,99.1,4.0,3.0,1217.0,4.0,2.0,540.7,3.0,2.0,1721.0,3.0,2.0,953.8,3.0,2.0,130.8
4.0,5.0,176.8,4.0,5.0,1547.0,4.0,5.0,518.5,3.0,5.0,1182.0,3.0,4.0,1298.0,3.0,4.0,270.1
4.0,6.0,84.1,4.0,6.0,812.6,4.0,6.0,256.0,3.0,6.0,878.9,3.0,6.0,782.0,3.0,5.0,204.2
5.0,2.0,107.9,5.0,1.0,704.3,5.0,1.0,228.1,5.0,1.0,1136.0,4.0,1.0,1555.0,4.0,1.0,514.8
5.0,3.0,87.9,5.0,3.0,720.0,5.0,2.0,469.2,5.0,2.0,1952.0,4.0,2.0,2718.0,4.0,2.0,929.4
5.0,4.0,267.6,5.0,4.0,1841.0,5.0,4.0,590.0,5.0,3.0,1310.0,4.0,3.0,1634.0,4.0,3.0,673.4
5.0,6.0,76.6,5.0,6.0,950.7,5.0,6.0,223.9,5.0,6.0,1217.0,4.0,6.0,2020.0,4.0,5.0,1046.0
6.0,2.0,15.6,6.0,1.0,175.8,6.0,1.0,37.5,6.0,1.0,602.3,6.0,1.0,603.5,5.0,1.0,345.5
6.0,3.0,14.7,6.0,3.0,240.2,6.0,2.0,56.4,6.0,2.0,1106.0,6.0,2.0,1378.0,5.0,2.0,797.0
6.0,4.0,68.3,6.0,4.0,773.7,6.0,4.0,173.0,6.0,3.0,833.5,6.0,3.0,649.3,5.0,3.0,458.8
6.0,5.0,49.9,6.0,5.0,676.5,6.0,5.0,98.5,6.0,5.0,1140.0,6.0,4.0,1607.0,5.0,4.0,1093.0
