1,田村 隆信,田村 隆信.1,2,村上 彰一,村上 彰一.1,3,石川 諒,石川 諒.1,4,大崎 翔,大崎 翔.1,5,島田 賢人,島田 賢人.1,6,立間 充宏,立間 充宏.1
2.0,3.0,27.1,1.0,3.0,151.1,1.0,2.0,230.1,1.0,2.0,396.4,1.0,2.0,66.1,1.0,2.0,231.2
2.0,4.0,29.9,1.0,4.0,210.7,1.0,4.0,352.3,1.0,3.0,492.9,1.0,3.0,71.7,1.0,3.0,294.0
2.0,5.0,11.7,1.0,5.0,108.9,1.0,5.0,134.0,1.0,5.0,139.7,1.0,4.0,71.0,1.0,4.0,320.6
2.0,6.0,24.1,1.0,6.0,144.9,1.0,6.0,221.6,1.0,6.0,168.8,1.0,6.0,28.7,1.0,5.0,66.2
3.0,2.0,31.9,3.0,1.0,301.9,2.0,1.0,353.0,2.0,1.0,724.5,2.0,1.0,201.5,2.0,1.0,588.6
3.0,4.0,35.2,3.0,4.0,1138.0,2.0,4.0,1285.0,2.0,3.0,1598.0,2.0,3.0,585.7,2.0,3.0,1464.0
3.0,5.0,12.4,3.0,5.0,610.3,2.0,5.0,690.0,2.0,5.0,1056.0,2.0,4.0,706.8,2.0,4.0,1555.0
3.0,6.0,24.4,3.0,6.0,1127.0,2.0,6.0,1281.0,2.0,6.0,1024.0,2.0,6.0,256.0,2.0,5.0,588.6
4.0,2.0,44.0,4.0,1.0,600.8,4.0,1.0,749.4,3.0,1.0,1056.0,3.0,1.0,243.5,3.0,1.0,645.3
4.0,3.0,45.1,4.0,3.0,1361.0,4.0,2.0,1181.0,3.0,2.0,1620.0,3.0,2.0,650.1,3.0,2.0,1535.0
4.0,5.0,17.5,4.0,5.0,1001.0,4.0,5.0,790.2,3.0,5.0,1109.0,3.0,4.0,715.6,3.0,4.0,1576.0
4.0,6.0,27.3,4.0,6.0,1113.0,4.0,6.0,1021.0,3.0,6.0,1345.0,3.0,6.0,308.9,3.0,5.0,653.8
5.0,2.0,14.1,5.0,1.0,229.8,5.0,1.0,255.1,5.0,1.0,168.6,4.0,1.0,175.2,4.0,1.0,624.5
5.0,3.0,13.2,5.0,3.0,480.0,5.0,2.0,674.0,5.0,2.0,667.6,4.0,2.0,658.7,4.0,2.0,1796.0
5.0,4.0,17.4,5.0,4.0,765.9,5.0,4.0,709.7,5.0,3.0,751.0,4.0,3.0,668.9,4.0,3.0,1796.0
5.0,6.0,8.3,5.0,6.0,300.6,5.0,6.0,426.0,5.0,6.0,208.9,4.0,6.0,191.9,4.0,5.0,527.2
6.0,2.0,38.0,6.0,1.0,422.9,6.0,1.0,516.2,6.0,1.0,298.1,6.0,1.0,42.5,5.0,1.0,72.9
6.0,3.0,44.2,6.0,3.0,1335.0,6.0,2.0,1377.0,6.0,2.0,995.7,6.0,2.0,143.2,5.0,2.0,305.4
6.0,4.0,52.9,6.0,4.0,1116.0,6.0,4.0,1325.0,6.0,3.0,1193.0,6.0,3.0,150.4,5.0,3.0,351.6
6.0,5.0,16.6,6.0,5.0,442.8,6.0,5.0,520.9,6.0,5.0,347.8,6.0,4.0,143.0,5.0,4.0,305.9
