1,川原 正明,川原 正明.1,2,海野　ゆかり,海野　ゆかり.1,3,三苫 晃幸,三苫 晃幸.1,4,嶋 義信,嶋 義信.1,5,大賀 広幸,大賀 広幸.1,6,江本 真治,江本 真治.1
2.0,3.0,9.6,1.0,3.0,36.7,1.0,2.0,44.7,1.0,2.0,63.6,1.0,2.0,381.7,1.0,2.0,1143.0
2.0,4.0,10.2,1.0,4.0,43.6,1.0,4.0,36.2,1.0,3.0,74.8,1.0,3.0,423.9,1.0,3.0,1199.0
2.0,5.0,26.1,1.0,5.0,82.1,1.0,5.0,64.9,1.0,5.0,76.1,1.0,4.0,358.3,1.0,4.0,1132.0
2.0,6.0,51.0,1.0,6.0,140.2,1.0,6.0,113.0,1.0,6.0,116.7,1.0,6.0,543.5,1.0,5.0,1577.0
3.0,2.0,10.2,3.0,1.0,70.9,2.0,1.0,94.3,2.0,1.0,125.8,2.0,1.0,580.0,2.0,1.0,1518.0
3.0,4.0,8.4,3.0,4.0,73.1,2.0,4.0,102.5,2.0,3.0,168.3,2.0,3.0,638.3,2.0,3.0,1407.0
3.0,5.0,21.0,3.0,5.0,125.4,2.0,5.0,168.3,2.0,5.0,196.1,2.0,4.0,659.3,2.0,4.0,1400.0
3.0,6.0,39.4,3.0,6.0,193.7,2.0,6.0,241.2,2.0,6.0,279.6,2.0,6.0,1059.0,2.0,5.0,2423.0
4.0,2.0,13.0,4.0,1.0,100.8,4.0,1.0,90.4,3.0,1.0,146.1,3.0,1.0,729.0,3.0,1.0,1542.0
4.0,3.0,12.6,4.0,3.0,110.5,4.0,2.0,125.8,3.0,2.0,198.9,3.0,2.0,756.6,3.0,2.0,1679.0
4.0,5.0,25.6,4.0,5.0,173.5,4.0,5.0,144.2,3.0,5.0,236.9,3.0,4.0,835.1,3.0,4.0,1666.0
4.0,6.0,40.3,4.0,6.0,244.7,4.0,6.0,207.4,3.0,6.0,323.1,3.0,6.0,1340.0,3.0,5.0,2576.0
5.0,2.0,55.4,5.0,1.0,271.7,5.0,1.0,257.7,5.0,1.0,130.4,4.0,1.0,479.4,4.0,1.0,1430.0
5.0,3.0,51.8,5.0,3.0,247.6,5.0,2.0,343.9,5.0,2.0,199.4,4.0,2.0,630.7,4.0,2.0,1514.0
5.0,4.0,58.3,5.0,4.0,291.6,5.0,4.0,309.3,5.0,3.0,234.4,4.0,3.0,711.4,4.0,3.0,1666.0
5.0,6.0,116.4,5.0,6.0,479.2,5.0,6.0,468.8,5.0,6.0,178.0,4.0,6.0,673.5,4.0,5.0,1661.0
6.0,2.0,179.1,6.0,1.0,611.1,6.0,1.0,498.3,6.0,1.0,279.7,6.0,1.0,1020.0,5.0,1.0,2462.0
6.0,3.0,174.7,6.0,3.0,495.8,6.0,2.0,582.6,6.0,2.0,393.4,6.0,2.0,1426.0,5.0,2.0,2608.0
6.0,4.0,159.7,6.0,4.0,561.9,6.0,4.0,533.1,6.0,3.0,444.1,6.0,3.0,1579.0,5.0,3.0,2589.0
6.0,5.0,222.2,6.0,5.0,891.2,6.0,5.0,767.5,6.0,5.0,333.6,6.0,4.0,1119.0,5.0,4.0,1820.0
