1,石川 諒,石川 諒.1,2,金子 貴志,金子 貴志.1,3,北村 征嗣,北村 征嗣.1,4,川原 正明,川原 正明.1,5,西舘 健,西舘 健.1,6,海野　ゆかり,海野　ゆかり.1
2.0,3.0,18.5,1.0,3.0,35.5,1.0,2.0,28.0,1.0,2.0,144.6,1.0,2.0,691.3,1.0,2.0,408.7
2.0,4.0,40.1,1.0,4.0,59.6,1.0,4.0,16.1,1.0,3.0,81.2,1.0,3.0,394.5,1.0,3.0,191.9
2.0,5.0,103.4,1.0,5.0,151.9,1.0,5.0,36.0,1.0,5.0,156.8,1.0,4.0,672.9,1.0,4.0,406.7
2.0,6.0,73.6,1.0,6.0,119.5,1.0,6.0,20.8,1.0,6.0,132.9,1.0,6.0,924.3,1.0,5.0,689.8
3.0,2.0,13.4,3.0,1.0,61.7,2.0,1.0,62.7,2.0,1.0,214.2,2.0,1.0,948.3,2.0,1.0,555.8
3.0,4.0,10.7,3.0,4.0,73.6,2.0,4.0,58.8,2.0,3.0,156.8,2.0,3.0,687.0,2.0,3.0,331.0
3.0,5.0,31.4,3.0,5.0,159.5,2.0,5.0,119.6,2.0,5.0,348.5,2.0,4.0,916.6,2.0,4.0,455.1
3.0,6.0,18.4,3.0,6.0,86.8,2.0,6.0,63.6,2.0,6.0,204.6,2.0,6.0,1051.0,2.0,5.0,1041.0
4.0,2.0,53.0,4.0,1.0,144.5,4.0,1.0,28.7,3.0,1.0,82.3,3.0,1.0,410.8,3.0,1.0,149.4
4.0,3.0,27.7,4.0,3.0,104.9,4.0,2.0,50.0,3.0,2.0,112.4,3.0,2.0,666.1,3.0,2.0,244.4
4.0,5.0,102.2,4.0,5.0,254.5,4.0,5.0,46.7,3.0,5.0,95.7,3.0,4.0,337.8,3.0,4.0,136.2
4.0,6.0,62.6,4.0,6.0,151.1,4.0,6.0,24.8,3.0,6.0,67.5,3.0,6.0,470.1,3.0,5.0,366.0
5.0,2.0,178.7,5.0,1.0,409.8,5.0,1.0,105.2,5.0,1.0,168.6,4.0,1.0,664.7,4.0,1.0,373.0
5.0,3.0,90.3,5.0,3.0,293.0,5.0,2.0,174.2,5.0,2.0,240.7,4.0,2.0,759.9,4.0,2.0,342.4
5.0,4.0,197.1,5.0,4.0,409.2,5.0,4.0,100.6,5.0,3.0,141.7,4.0,3.0,431.8,4.0,3.0,174.3
5.0,6.0,231.4,5.0,6.0,525.6,5.0,6.0,106.1,5.0,6.0,145.6,4.0,6.0,547.5,4.0,5.0,522.3
6.0,2.0,177.3,6.0,1.0,341.7,6.0,1.0,54.1,6.0,1.0,140.8,6.0,1.0,1275.0,5.0,1.0,879.8
6.0,3.0,71.5,6.0,3.0,201.5,6.0,2.0,88.9,6.0,2.0,143.3,6.0,2.0,1265.0,5.0,2.0,1107.0
6.0,4.0,167.6,6.0,4.0,326.7,6.0,4.0,49.4,6.0,3.0,91.9,6.0,3.0,599.4,5.0,3.0,421.8
6.0,5.0,275.6,6.0,5.0,630.4,6.0,5.0,111.1,6.0,5.0,152.3,6.0,4.0,716.9,5.0,4.0,688.4
