1,江本 真治,江本 真治.1,2,田山 和広,田山 和広.1,3,村上 純,村上 純.1,4,川村 正輝,川村 正輝.1,5,三苫 晃幸,三苫 晃幸.1,6,田村 隆信,田村 隆信.1
2.0,3.0,60.8,1.0,3.0,208.4,1.0,2.0,259.2,1.0,2.0,190.9,1.0,2.0,106.5,1.0,2.0,203.3
2.0,4.0,49.2,1.0,4.0,163.4,1.0,4.0,174.4,1.0,3.0,270.2,1.0,3.0,108.0,1.0,3.0,181.3
2.0,5.0,35.5,1.0,5.0,124.2,1.0,5.0,121.6,1.0,5.0,66.3,1.0,4.0,81.9,1.0,4.0,126.4
2.0,6.0,31.9,1.0,6.0,139.3,1.0,6.0,103.3,1.0,6.0,56.8,1.0,6.0,33.0,1.0,5.0,55.3
3.0,2.0,55.1,3.0,1.0,450.9,2.0,1.0,526.3,2.0,1.0,281.1,2.0,1.0,204.2,2.0,1.0,350.5
3.0,4.0,37.8,3.0,4.0,608.4,2.0,4.0,646.0,2.0,3.0,770.1,2.0,3.0,457.2,2.0,3.0,724.4
3.0,5.0,23.4,3.0,5.0,438.7,2.0,5.0,614.8,2.0,5.0,275.3,2.0,4.0,356.4,2.0,4.0,580.6
3.0,6.0,23.4,3.0,6.0,521.6,2.0,6.0,574.9,2.0,6.0,291.7,2.0,6.0,162.2,2.0,5.0,316.0
4.0,2.0,43.6,4.0,1.0,243.4,4.0,1.0,450.9,3.0,1.0,526.3,3.0,1.0,244.0,3.0,1.0,375.7
4.0,3.0,43.4,4.0,3.0,555.3,4.0,2.0,795.3,3.0,2.0,1009.0,3.0,2.0,626.7,3.0,2.0,758.2
4.0,5.0,17.5,4.0,5.0,236.2,4.0,5.0,513.4,3.0,5.0,520.7,3.0,4.0,522.6,3.0,4.0,651.8
4.0,6.0,16.0,4.0,6.0,291.7,4.0,6.0,429.7,3.0,6.0,438.1,3.0,6.0,213.3,3.0,5.0,380.5
5.0,2.0,33.1,5.0,1.0,197.0,5.0,1.0,258.7,5.0,1.0,64.7,4.0,1.0,92.0,4.0,1.0,157.0
5.0,3.0,27.3,5.0,3.0,373.7,5.0,2.0,604.6,5.0,2.0,204.3,4.0,2.0,256.7,4.0,2.0,472.0
5.0,4.0,23.2,5.0,4.0,263.6,5.0,4.0,467.5,5.0,3.0,328.4,4.0,3.0,373.3,4.0,3.0,558.5
5.0,6.0,12.3,5.0,6.0,158.4,5.0,6.0,249.9,5.0,6.0,42.1,4.0,6.0,53.1,4.0,5.0,108.8
6.0,2.0,38.9,6.0,1.0,246.1,6.0,1.0,287.4,6.0,1.0,67.6,6.0,1.0,31.4,5.0,1.0,54.6
6.0,3.0,40.1,6.0,3.0,506.3,6.0,2.0,724.4,6.0,2.0,227.4,6.0,2.0,91.5,5.0,2.0,182.5
6.0,4.0,26.5,6.0,4.0,377.1,6.0,4.0,522.6,6.0,3.0,341.1,6.0,3.0,111.8,5.0,3.0,204.6
6.0,5.0,16.4,6.0,5.0,212.5,6.0,5.0,305.8,6.0,5.0,50.7,6.0,4.0,50.4,5.0,4.0,91.0
