1,川村 正輝,川村 正輝.1,2,横井 光弘,横井 光弘.1,3,水原 慎,水原 慎.1,4,西舘 健,西舘 健.1,5,宮迫 暢彦,宮迫 暢彦.1,6,村上 彰一,村上 彰一.1
2.0,3.0,12.0,1.0,3.0,67.0,1.0,2.0,54.3,1.0,2.0,124.5,1.0,2.0,144.0,1.0,2.0,1089.0
2.0,4.0,18.8,1.0,4.0,82.4,1.0,4.0,39.5,1.0,3.0,77.4,1.0,3.0,102.6,1.0,3.0,1719.0
2.0,5.0,21.7,1.0,5.0,83.5,1.0,5.0,39.3,1.0,5.0,62.6,1.0,4.0,117.8,1.0,4.0,1065.0
2.0,6.0,75.2,1.0,6.0,202.1,1.0,6.0,126.3,1.0,6.0,171.9,1.0,6.0,206.0,1.0,5.0,1539.0
3.0,2.0,11.6,3.0,1.0,145.5,2.0,1.0,151.9,2.0,1.0,263.0,2.0,1.0,273.0,2.0,1.0,1427.0
3.0,4.0,7.7,3.0,4.0,261.1,2.0,4.0,239.4,2.0,3.0,381.4,2.0,3.0,433.1,2.0,3.0,2162.0
3.0,5.0,10.1,3.0,5.0,241.0,2.0,5.0,258.6,2.0,5.0,361.3,2.0,4.0,409.0,2.0,4.0,1607.0
3.0,6.0,44.5,3.0,6.0,487.7,2.0,6.0,530.8,2.0,6.0,540.6,2.0,6.0,523.3,2.0,5.0,1750.0
4.0,2.0,22.3,4.0,1.0,199.7,4.0,1.0,74.6,3.0,1.0,119.9,3.0,1.0,241.6,3.0,1.0,2535.0
4.0,3.0,11.1,4.0,3.0,296.7,4.0,2.0,180.7,3.0,2.0,306.3,3.0,2.0,443.5,3.0,2.0,2855.0
4.0,5.0,15.0,4.0,5.0,276.9,4.0,5.0,95.6,3.0,5.0,172.4,3.0,4.0,417.1,3.0,4.0,2352.0
4.0,6.0,57.6,4.0,6.0,528.0,4.0,6.0,216.2,3.0,6.0,360.4,3.0,6.0,695.2,3.0,5.0,3001.0
5.0,2.0,36.1,5.0,1.0,208.4,5.0,1.0,89.8,5.0,1.0,86.8,4.0,1.0,176.2,4.0,1.0,1256.0
5.0,3.0,22.5,5.0,3.0,318.6,5.0,2.0,224.6,5.0,2.0,215.9,4.0,2.0,353.4,4.0,2.0,1947.0
5.0,4.0,27.2,5.0,4.0,333.0,5.0,4.0,153.1,5.0,3.0,191.7,4.0,3.0,387.4,4.0,3.0,2883.0
5.0,6.0,65.8,5.0,6.0,535.7,5.0,6.0,238.9,5.0,6.0,175.6,4.0,6.0,374.1,4.0,5.0,1556.0
6.0,2.0,189.8,6.0,1.0,679.2,6.0,1.0,668.4,6.0,1.0,538.6,6.0,1.0,536.6,5.0,1.0,1922.0
6.0,3.0,200.2,6.0,3.0,957.9,6.0,2.0,1007.0,6.0,2.0,740.8,6.0,2.0,623.0,5.0,2.0,1909.0
6.0,4.0,179.6,6.0,4.0,913.3,6.0,4.0,852.4,6.0,3.0,771.9,6.0,3.0,924.8,5.0,3.0,2748.0
6.0,5.0,246.9,6.0,5.0,814.6,6.0,5.0,840.2,6.0,5.0,501.8,6.0,4.0,750.2,5.0,4.0,1477.0
