1,大場 広孝,大場 広孝.1,2,安藤 裕貴,安藤 裕貴.1,3,近藤　雄一郎,近藤　雄一郎.1,4,吉永 浩則,吉永 浩則.1,5,藤田 美代,藤田 美代.1,6,佐藤 旭,佐藤 旭.1
2.0,3.0,9.6,1.0,3.0,31.7,1.0,2.0,55.3,1.0,2.0,157.8,1.0,2.0,223.3,1.0,2.0,176.0
2.0,4.0,17.0,1.0,4.0,45.9,1.0,4.0,62.7,1.0,3.0,186.9,1.0,3.0,269.9,1.0,3.0,161.9
2.0,5.0,27.9,1.0,5.0,56.9,1.0,5.0,59.4,1.0,5.0,258.7,1.0,4.0,575.8,1.0,4.0,263.5
2.0,6.0,10.8,1.0,6.0,23.5,1.0,6.0,48.0,1.0,6.0,118.0,1.0,6.0,163.0,1.0,5.0,252.2
3.0,2.0,9.9,3.0,1.0,100.7,2.0,1.0,124.9,2.0,1.0,232.2,2.0,1.0,285.4,2.0,1.0,279.8
3.0,4.0,14.7,3.0,4.0,213.3,2.0,4.0,178.2,2.0,3.0,582.6,2.0,3.0,749.0,2.0,3.0,579.2
3.0,5.0,19.6,3.0,5.0,243.5,2.0,5.0,226.9,2.0,5.0,614.9,2.0,4.0,1145.0,2.0,4.0,760.4
3.0,6.0,14.0,3.0,6.0,151.1,2.0,6.0,170.5,2.0,6.0,313.2,2.0,6.0,478.9,2.0,5.0,691.8
4.0,2.0,29.3,4.0,1.0,183.8,4.0,1.0,131.6,3.0,1.0,295.6,3.0,1.0,353.2,3.0,1.0,241.8
4.0,3.0,31.5,4.0,3.0,366.2,4.0,2.0,255.4,3.0,2.0,659.7,3.0,2.0,711.6,3.0,2.0,575.8
4.0,5.0,48.2,4.0,5.0,516.1,4.0,5.0,238.3,3.0,5.0,809.9,3.0,4.0,986.3,3.0,4.0,732.5
4.0,6.0,38.2,4.0,6.0,309.3,4.0,6.0,174.4,3.0,6.0,389.1,3.0,6.0,527.1,3.0,5.0,579.2
5.0,2.0,69.7,5.0,1.0,249.0,5.0,1.0,152.7,5.0,1.0,436.9,4.0,1.0,796.9,4.0,1.0,500.6
5.0,3.0,66.1,5.0,3.0,483.6,5.0,2.0,289.6,5.0,2.0,837.1,4.0,2.0,1328.0,4.0,2.0,844.2
5.0,4.0,130.9,5.0,4.0,790.6,5.0,4.0,328.7,5.0,3.0,816.5,4.0,3.0,1328.0,4.0,3.0,948.8
5.0,6.0,72.9,5.0,6.0,390.6,5.0,6.0,176.6,5.0,6.0,442.7,4.0,6.0,939.8,4.0,5.0,1145.0
6.0,2.0,26.5,6.0,1.0,124.6,6.0,1.0,113.4,6.0,1.0,256.7,6.0,1.0,322.4,5.0,1.0,390.6
6.0,3.0,37.6,6.0,3.0,276.7,6.0,2.0,213.3,6.0,2.0,456.9,6.0,2.0,559.6,5.0,2.0,691.8
6.0,4.0,47.6,6.0,4.0,395.3,6.0,4.0,243.5,6.0,3.0,538.5,6.0,3.0,541.4,5.0,3.0,711.6
6.0,5.0,60.1,6.0,5.0,452.8,6.0,5.0,220.4,6.0,5.0,556.5,6.0,4.0,760.4,5.0,4.0,1037.0
