1,佐藤 旭,佐藤 旭.1,2,松本 真広,松本 真広.1,3,幸野 史明,幸野 史明.1,4,玄馬 徹,玄馬 徹.1,5,水摩 敦,水摩 敦.1,6,西村 歩,西村 歩.1
2.0,3.0,31.2,1.0,3.0,221.9,1.0,2.0,155.1,1.0,2.0,361.1,1.0,2.0,47.3,1.0,2.0,462.3
2.0,4.0,43.2,1.0,4.0,309.6,1.0,4.0,100.0,1.0,3.0,308.8,1.0,3.0,25.1,1.0,3.0,444.7
2.0,5.0,23.8,1.0,5.0,207.2,1.0,5.0,36.8,1.0,5.0,128.8,1.0,4.0,49.9,1.0,4.0,628.4
2.0,6.0,65.9,1.0,6.0,472.5,1.0,6.0,127.4,1.0,6.0,362.2,1.0,6.0,21.2,1.0,5.0,159.1
3.0,2.0,24.9,3.0,1.0,401.3,2.0,1.0,396.6,2.0,1.0,591.9,2.0,1.0,129.0,2.0,1.0,1070.0
3.0,4.0,17.6,3.0,4.0,1214.0,2.0,4.0,551.5,2.0,3.0,1474.0,2.0,3.0,232.3,2.0,3.0,1845.0
3.0,5.0,7.5,3.0,5.0,693.5,2.0,5.0,400.6,2.0,5.0,583.0,2.0,4.0,350.9,2.0,4.0,2130.0
3.0,6.0,24.1,3.0,6.0,1723.0,2.0,6.0,984.8,2.0,6.0,1143.0,2.0,6.0,152.7,2.0,5.0,816.7
4.0,2.0,53.9,4.0,1.0,633.5,4.0,1.0,326.4,3.0,1.0,552.8,3.0,1.0,62.8,3.0,1.0,808.2
4.0,3.0,36.0,4.0,3.0,1412.0,4.0,2.0,846.2,3.0,2.0,1522.0,3.0,2.0,237.0,3.0,2.0,1493.0
4.0,5.0,22.2,4.0,5.0,968.6,4.0,5.0,280.7,3.0,5.0,517.4,3.0,4.0,197.3,3.0,4.0,1686.0
4.0,6.0,54.3,4.0,6.0,1698.0,4.0,6.0,763.5,3.0,6.0,1502.0,3.0,6.0,100.3,3.0,5.0,654.7
5.0,2.0,21.8,5.0,1.0,351.9,5.0,1.0,77.7,5.0,1.0,163.9,4.0,1.0,126.7,4.0,1.0,1202.0
5.0,3.0,8.2,5.0,3.0,635.2,5.0,2.0,285.1,5.0,2.0,394.6,4.0,2.0,379.9,4.0,2.0,2344.0
5.0,4.0,16.9,5.0,4.0,825.3,5.0,4.0,207.8,5.0,3.0,369.1,4.0,3.0,240.6,4.0,3.0,3084.0
5.0,6.0,13.3,5.0,6.0,703.9,5.0,6.0,184.7,5.0,6.0,249.6,4.0,6.0,195.0,4.0,5.0,667.8
6.0,2.0,121.2,6.0,1.0,1023.0,6.0,1.0,407.6,6.0,1.0,699.7,6.0,1.0,35.5,5.0,1.0,160.9
6.0,3.0,70.2,6.0,3.0,1762.0,6.0,2.0,941.3,6.0,2.0,1246.0,6.0,2.0,95.0,5.0,2.0,504.0
6.0,4.0,124.8,6.0,4.0,2111.0,6.0,4.0,816.7,6.0,3.0,1627.0,6.0,3.0,66.6,5.0,3.0,402.0
6.0,5.0,41.3,6.0,5.0,1001.0,6.0,5.0,353.5,6.0,5.0,413.4,6.0,4.0,109.6,5.0,4.0,397.9
