1,前野 竜一,前野 竜一.1,2,岡本　翔太郎,岡本　翔太郎.1,3,安藤 裕貴,安藤 裕貴.1,4,川崎 公靖,川崎 公靖.1,5,池永 太,池永 太.1,6,高橋 淳美,高橋 淳美.1
2.0,3.0,24.8,1.0,3.0,55.0,1.0,2.0,129.0,1.0,2.0,354.9,1.0,2.0,11.6,1.0,2.0,1565.0
2.0,4.0,40.8,1.0,4.0,93.7,1.0,4.0,209.6,1.0,3.0,506.8,1.0,3.0,16.1,1.0,3.0,2935.0
2.0,5.0,10.2,1.0,5.0,25.1,1.0,5.0,48.6,1.0,5.0,184.4,1.0,4.0,35.3,1.0,4.0,2516.0
2.0,6.0,204.7,1.0,6.0,313.8,1.0,6.0,541.9,1.0,6.0,933.0,1.0,6.0,56.0,1.0,5.0,1051.0
3.0,2.0,32.9,3.0,1.0,131.6,2.0,1.0,204.7,2.0,1.0,579.8,2.0,1.0,21.2,2.0,1.0,2935.0
3.0,4.0,61.2,3.0,4.0,241.6,2.0,4.0,291.7,2.0,3.0,1059.0,2.0,3.0,33.7,2.0,3.0,3436.0
3.0,5.0,15.9,3.0,5.0,65.0,2.0,5.0,125.4,2.0,5.0,351.3,2.0,4.0,65.7,2.0,4.0,5218.0
3.0,6.0,230.2,3.0,6.0,487.5,2.0,6.0,649.2,2.0,6.0,1280.0,2.0,6.0,91.9,2.0,5.0,3063.0
4.0,2.0,67.7,4.0,1.0,292.9,4.0,1.0,445.8,3.0,1.0,985.3,3.0,1.0,53.5,3.0,1.0,5419.0
4.0,3.0,95.6,4.0,3.0,418.0,4.0,2.0,602.1,3.0,2.0,1214.0,3.0,2.0,70.9,3.0,2.0,2762.0
4.0,5.0,43.4,4.0,5.0,135.7,4.0,5.0,302.3,3.0,5.0,609.9,3.0,4.0,138.9,3.0,4.0,6404.0
4.0,6.0,291.7,4.0,6.0,828.8,4.0,6.0,1051.0,3.0,6.0,2201.0,3.0,6.0,215.4,3.0,5.0,2388.0
5.0,2.0,7.9,5.0,1.0,31.2,5.0,1.0,75.2,5.0,1.0,173.3,4.0,1.0,90.4,4.0,1.0,4144.0
5.0,3.0,10.5,5.0,3.0,46.8,5.0,2.0,115.4,5.0,2.0,238.0,4.0,2.0,122.6,4.0,2.0,4025.0
5.0,4.0,26.1,5.0,4.0,75.3,5.0,4.0,195.6,5.0,3.0,357.6,4.0,3.0,172.8,4.0,3.0,8288.0
5.0,6.0,57.8,5.0,6.0,184.6,5.0,6.0,386.0,5.0,6.0,469.6,4.0,6.0,276.2,4.0,5.0,4403.0
6.0,2.0,604.7,6.0,1.0,819.1,6.0,1.0,1583.0,6.0,1.0,2167.0,6.0,1.0,157.0,5.0,1.0,1109.0
6.0,3.0,546.1,6.0,3.0,1109.0,6.0,2.0,1316.0,6.0,2.0,2102.0,6.0,2.0,232.5,5.0,2.0,2709.0
6.0,4.0,700.9,6.0,4.0,1531.0,6.0,4.0,2609.0,6.0,3.0,2609.0,6.0,3.0,292.9,5.0,3.0,2167.0
6.0,5.0,322.4,6.0,5.0,700.9,6.0,5.0,909.0,6.0,5.0,1304.0,6.0,4.0,415.6,5.0,4.0,3354.0
