1,松田 隆司,松田 隆司.1,2,岡村 慶太,岡村 慶太.1,3,丸山 祐也,丸山 祐也.1,4,後藤 浩,後藤 浩.1,5,山田 哲也,山田 哲也.1,6,長尾 章平,長尾 章平.1
2.0,3.0,14.7,1.0,3.0,24.9,1.0,2.0,147.8,1.0,2.0,178.5,1.0,2.0,40.8,1.0,2.0,295.2
2.0,4.0,12.8,1.0,4.0,21.5,1.0,4.0,246.4,1.0,3.0,425.4,1.0,3.0,221.6,1.0,3.0,848.7
2.0,5.0,8.5,1.0,5.0,11.1,1.0,5.0,177.6,1.0,5.0,220.4,1.0,4.0,196.9,1.0,4.0,864.1
2.0,6.0,14.2,1.0,6.0,21.7,1.0,6.0,232.5,1.0,6.0,266.3,1.0,6.0,76.9,1.0,5.0,419.0
3.0,2.0,30.7,3.0,1.0,98.3,2.0,1.0,189.7,2.0,1.0,181.1,2.0,1.0,42.5,2.0,1.0,310.6
3.0,4.0,60.2,3.0,4.0,154.1,2.0,4.0,269.4,2.0,3.0,500.3,2.0,3.0,212.7,2.0,3.0,713.9
3.0,5.0,50.0,3.0,5.0,98.5,2.0,5.0,205.7,2.0,5.0,180.3,2.0,4.0,175.5,2.0,4.0,654.9
3.0,6.0,64.6,3.0,6.0,124.9,2.0,6.0,225.1,2.0,6.0,236.6,2.0,6.0,62.2,2.0,5.0,314.1
4.0,2.0,40.5,4.0,1.0,81.4,4.0,1.0,483.5,3.0,1.0,707.8,3.0,1.0,503.3,3.0,1.0,1459.0
4.0,3.0,99.1,4.0,3.0,191.7,4.0,2.0,435.4,3.0,2.0,673.5,3.0,2.0,427.1,3.0,2.0,1120.0
4.0,5.0,70.1,4.0,5.0,81.4,4.0,5.0,455.1,3.0,5.0,763.1,3.0,4.0,909.0,3.0,4.0,1459.0
4.0,6.0,85.8,4.0,6.0,117.4,4.0,6.0,482.8,3.0,6.0,545.4,3.0,6.0,452.6,3.0,5.0,1491.0
5.0,2.0,20.5,5.0,1.0,22.5,5.0,1.0,346.9,5.0,1.0,206.0,4.0,1.0,328.1,4.0,1.0,1227.0
5.0,3.0,70.9,5.0,3.0,84.1,5.0,2.0,300.0,5.0,2.0,198.3,4.0,2.0,277.0,4.0,2.0,904.1
5.0,4.0,75.3,5.0,4.0,68.1,5.0,4.0,549.0,5.0,3.0,515.8,4.0,3.0,745.9,4.0,3.0,1663.0
5.0,6.0,49.1,5.0,6.0,42.4,5.0,6.0,428.7,5.0,6.0,211.9,4.0,6.0,252.8,4.0,5.0,1036.0
6.0,2.0,59.9,6.0,1.0,96.3,6.0,1.0,684.5,6.0,1.0,487.1,6.0,1.0,122.5,5.0,1.0,426.5
6.0,3.0,153.4,6.0,3.0,218.8,6.0,2.0,567.7,6.0,2.0,374.6,6.0,2.0,99.8,5.0,2.0,301.9
6.0,4.0,177.5,6.0,4.0,197.3,6.0,4.0,855.3,6.0,3.0,637.3,6.0,3.0,337.4,5.0,3.0,942.5
6.0,5.0,120.3,6.0,5.0,93.3,6.0,5.0,751.0,6.0,5.0,428.2,6.0,4.0,291.8,5.0,4.0,734.4
