1,北川 潤二,北川 潤二.1,2,永田 秀二,永田 秀二.1,3,山田 丈,山田 丈.1,4,篠原 飛翔,篠原 飛翔.1,5,木山 誠一,木山 誠一.1,6,小玉 啓太,小玉 啓太.1
2.0,3.0,4.2,1.0,3.0,20.9,1.0,2.0,28.6,1.0,2.0,50.2,1.0,2.0,498.5,1.0,2.0,1695.0
2.0,4.0,7.7,1.0,4.0,29.5,1.0,4.0,30.6,1.0,3.0,67.0,1.0,3.0,788.9,1.0,3.0,3194.0
2.0,5.0,36.2,1.0,5.0,114.7,1.0,5.0,99.6,1.0,5.0,164.7,1.0,4.0,787.1,1.0,4.0,3046.0
2.0,6.0,119.2,1.0,6.0,347.0,1.0,6.0,320.0,1.0,6.0,361.5,1.0,6.0,1462.0,1.0,5.0,2911.0
3.0,2.0,5.8,3.0,1.0,62.5,2.0,1.0,52.6,2.0,1.0,81.4,2.0,1.0,727.9,2.0,1.0,2316.0
3.0,4.0,9.1,3.0,4.0,106.6,2.0,4.0,69.7,2.0,3.0,118.8,2.0,3.0,1018.0,2.0,3.0,3257.0
3.0,5.0,37.3,3.0,5.0,299.3,2.0,5.0,172.3,2.0,5.0,274.6,2.0,4.0,1154.0,2.0,4.0,2860.0
3.0,6.0,137.7,3.0,6.0,865.8,2.0,6.0,383.4,2.0,6.0,542.9,2.0,6.0,1788.0,2.0,5.0,3825.0
4.0,2.0,16.2,4.0,1.0,108.1,4.0,1.0,53.6,3.0,1.0,114.9,3.0,1.0,1223.0,3.0,1.0,3537.0
4.0,3.0,20.0,4.0,3.0,151.5,4.0,2.0,71.0,3.0,2.0,132.0,3.0,2.0,1122.0,3.0,2.0,3500.0
4.0,5.0,86.7,4.0,5.0,407.6,4.0,5.0,111.8,3.0,5.0,336.4,3.0,4.0,1142.0,3.0,4.0,2492.0
4.0,6.0,236.0,4.0,6.0,982.1,4.0,6.0,200.6,3.0,6.0,573.1,3.0,6.0,2788.0,3.0,5.0,3655.0
5.0,2.0,117.1,5.0,1.0,477.5,5.0,1.0,363.9,5.0,1.0,247.1,4.0,1.0,877.3,4.0,1.0,4012.0
5.0,3.0,160.1,5.0,3.0,597.1,5.0,2.0,385.7,5.0,2.0,261.1,4.0,2.0,985.0,4.0,2.0,3738.0
5.0,4.0,207.8,5.0,4.0,709.0,5.0,4.0,353.7,5.0,3.0,401.2,4.0,3.0,1100.0,4.0,3.0,3615.0
5.0,6.0,507.7,5.0,6.0,1924.0,5.0,6.0,1031.0,5.0,6.0,531.5,4.0,6.0,1255.0,4.0,5.0,3427.0
6.0,2.0,614.9,6.0,1.0,1412.0,6.0,1.0,988.0,6.0,1.0,790.8,6.0,1.0,2333.0,5.0,1.0,3537.0
6.0,3.0,652.8,6.0,3.0,1636.0,6.0,2.0,1061.0,6.0,2.0,832.9,6.0,2.0,2741.0,5.0,2.0,3916.0
6.0,4.0,700.0,6.0,4.0,1848.0,6.0,4.0,808.3,6.0,3.0,775.9,6.0,3.0,2570.0,5.0,3.0,3696.0
6.0,5.0,1006.0,6.0,5.0,2018.0,6.0,5.0,1300.0,6.0,5.0,950.9,6.0,4.0,2366.0,5.0,4.0,3290.0
