1,沖島 広和,沖島 広和.1,2,山口 隆史,山口 隆史.1,3,木村 光宏,木村 光宏.1,4,永田 秀二,永田 秀二.1,5,岡村 慶太,岡村 慶太.1,6,後藤 浩,後藤 浩.1
2.0,3.0,30.2,1.0,3.0,78.7,1.0,2.0,201.8,1.0,2.0,41.0,1.0,2.0,34.7,1.0,2.0,1318.0
2.0,4.0,15.2,1.0,4.0,47.4,1.0,4.0,129.6,1.0,3.0,112.8,1.0,3.0,57.6,1.0,3.0,2373.0
2.0,5.0,17.4,1.0,5.0,45.4,1.0,5.0,101.4,1.0,5.0,21.2,1.0,4.0,24.5,1.0,4.0,1483.0
2.0,6.0,116.5,1.0,6.0,200.9,1.0,6.0,373.8,1.0,6.0,105.4,1.0,6.0,52.5,1.0,5.0,836.5
3.0,2.0,44.3,3.0,1.0,202.2,2.0,1.0,300.4,2.0,1.0,99.4,2.0,1.0,68.1,2.0,1.0,1937.0
3.0,4.0,28.5,3.0,4.0,265.2,2.0,4.0,271.2,2.0,3.0,304.3,2.0,3.0,213.1,2.0,3.0,1774.0
3.0,5.0,27.1,3.0,5.0,227.9,2.0,5.0,249.2,2.0,5.0,110.9,2.0,4.0,99.2,2.0,4.0,1680.0
3.0,6.0,154.1,3.0,6.0,930.8,2.0,6.0,616.5,2.0,6.0,279.2,2.0,6.0,159.1,2.0,5.0,1609.0
4.0,2.0,19.1,4.0,1.0,86.9,4.0,1.0,192.2,3.0,1.0,271.2,3.0,1.0,148.7,3.0,1.0,3797.0
4.0,3.0,28.2,4.0,3.0,243.7,4.0,2.0,292.5,3.0,2.0,454.2,3.0,2.0,260.8,3.0,2.0,2434.0
4.0,5.0,11.8,4.0,5.0,94.9,4.0,5.0,128.9,3.0,5.0,173.7,3.0,4.0,181.3,3.0,4.0,2234.0
4.0,6.0,74.4,4.0,6.0,395.6,4.0,6.0,394.7,3.0,6.0,462.0,3.0,6.0,309.2,3.0,5.0,2967.0
5.0,2.0,19.0,5.0,1.0,90.0,5.0,1.0,175.5,5.0,1.0,27.1,4.0,1.0,38.6,4.0,1.0,1861.0
5.0,3.0,29.2,5.0,3.0,247.2,5.0,2.0,268.9,5.0,2.0,50.0,4.0,2.0,81.8,4.0,2.0,1774.0
5.0,4.0,14.1,5.0,4.0,133.8,5.0,4.0,156.5,5.0,3.0,132.4,4.0,3.0,127.0,4.0,3.0,2020.0
5.0,6.0,56.9,5.0,6.0,349.7,5.0,6.0,373.8,5.0,6.0,49.8,4.0,6.0,88.0,4.0,5.0,744.6
6.0,2.0,371.6,6.0,1.0,756.5,6.0,1.0,818.5,6.0,1.0,256.9,6.0,1.0,119.2,5.0,1.0,808.0
6.0,3.0,518.8,6.0,3.0,1569.0,6.0,2.0,1265.0,6.0,2.0,484.4,6.0,2.0,201.1,5.0,2.0,1366.0
6.0,4.0,306.7,6.0,4.0,1060.0,6.0,4.0,787.9,6.0,3.0,593.4,6.0,3.0,283.8,5.0,3.0,1695.0
6.0,5.0,235.0,6.0,5.0,912.9,6.0,5.0,829.2,6.0,5.0,205.5,6.0,4.0,138.5,5.0,4.0,648.1
