1,西野 翔太,西野 翔太.1,2,大串 重幸,大串 重幸.1,3,野末 智一,野末 智一.1,4,守屋 大地,守屋 大地.1,5,高田 明,高田 明.1,6,安東 幸治,安東 幸治.1
2.0,3.0,9.7,1.0,3.0,74.6,1.0,2.0,218.4,1.0,2.0,91.1,1.0,2.0,98.2,1.0,2.0,757.8
2.0,4.0,9.9,1.0,4.0,52.4,1.0,4.0,296.5,1.0,3.0,216.5,1.0,3.0,155.6,1.0,3.0,974.2
2.0,5.0,8.6,1.0,5.0,49.4,1.0,5.0,204.4,1.0,5.0,72.3,1.0,4.0,141.7,1.0,4.0,728.2
2.0,6.0,25.5,1.0,6.0,101.6,1.0,6.0,303.7,1.0,6.0,96.7,1.0,6.0,109.7,1.0,5.0,596.1
3.0,2.0,14.0,3.0,1.0,250.8,2.0,1.0,440.8,2.0,1.0,171.1,2.0,1.0,223.9,2.0,1.0,1172.0
3.0,4.0,21.2,3.0,4.0,392.2,2.0,4.0,784.5,2.0,3.0,483.3,2.0,3.0,559.1,2.0,3.0,2284.0
3.0,5.0,14.0,3.0,5.0,358.2,2.0,5.0,646.6,2.0,5.0,189.4,2.0,4.0,359.8,2.0,4.0,1280.0
3.0,6.0,30.6,3.0,6.0,513.3,2.0,6.0,864.9,2.0,6.0,236.5,2.0,6.0,377.5,2.0,5.0,1460.0
4.0,2.0,16.6,4.0,1.0,133.5,4.0,1.0,628.8,3.0,1.0,585.2,3.0,1.0,434.3,3.0,1.0,1487.0
4.0,3.0,32.8,4.0,3.0,358.6,4.0,2.0,1070.0,3.0,2.0,933.4,3.0,2.0,752.8,3.0,2.0,2365.0
4.0,5.0,19.1,4.0,5.0,158.1,4.0,5.0,945.5,3.0,5.0,809.9,3.0,4.0,929.1,3.0,4.0,1716.0
4.0,6.0,30.8,4.0,6.0,257.9,4.0,6.0,982.6,3.0,6.0,773.9,3.0,6.0,769.5,3.0,5.0,2155.0
5.0,2.0,16.3,5.0,1.0,157.5,5.0,1.0,422.2,5.0,1.0,85.8,4.0,1.0,166.8,4.0,1.0,809.9
5.0,3.0,22.6,5.0,3.0,377.6,5.0,2.0,786.8,5.0,2.0,135.8,4.0,2.0,231.2,4.0,2.0,966.0
5.0,4.0,29.5,5.0,4.0,239.7,5.0,4.0,982.6,5.0,3.0,325.0,4.0,3.0,532.0,4.0,3.0,1536.0
5.0,6.0,29.0,5.0,6.0,292.6,5.0,6.0,802.6,5.0,6.0,97.9,4.0,6.0,197.4,4.0,5.0,736.9
6.0,2.0,84.3,6.0,1.0,482.1,6.0,1.0,954.5,6.0,1.0,180.6,6.0,1.0,297.4,5.0,1.0,685.3
6.0,3.0,103.4,6.0,3.0,985.0,6.0,2.0,1578.0,6.0,2.0,262.9,6.0,2.0,499.5,5.0,2.0,1359.0
6.0,4.0,91.6,6.0,4.0,567.8,6.0,4.0,1566.0,6.0,3.0,548.4,6.0,3.0,801.8,5.0,3.0,1864.0
6.0,5.0,77.5,6.0,5.0,547.6,6.0,5.0,1389.0,6.0,5.0,189.9,6.0,4.0,408.8,5.0,4.0,926.9
