1,土性 雅也,土性 雅也.1,2,黒野 元基,黒野 元基.1,3,北川 敏弘,北川 敏弘.1,4,岡瀬 正人,岡瀬 正人.1,5,野末 智一,野末 智一.1,6,品川 賢次,品川 賢次.1
2.0,3.0,15.4,1.0,3.0,20.6,1.0,2.0,263.3,1.0,2.0,70.9,1.0,2.0,240.8,1.0,2.0,696.1
2.0,4.0,9.3,1.0,4.0,9.0,1.0,4.0,310.6,1.0,3.0,249.0,1.0,3.0,641.8,1.0,3.0,1696.0
2.0,5.0,18.5,1.0,5.0,16.2,1.0,5.0,372.9,1.0,5.0,102.8,1.0,4.0,267.7,1.0,4.0,1121.0
2.0,6.0,29.2,1.0,6.0,29.6,1.0,6.0,654.1,1.0,6.0,195.7,1.0,6.0,527.1,1.0,5.0,1786.0
3.0,2.0,40.2,3.0,1.0,47.8,2.0,1.0,230.2,2.0,1.0,69.1,2.0,1.0,239.4,2.0,1.0,731.7
3.0,4.0,56.6,3.0,4.0,31.9,2.0,4.0,142.4,2.0,3.0,145.1,2.0,3.0,437.8,2.0,3.0,990.8
3.0,5.0,88.6,3.0,5.0,47.9,2.0,5.0,214.1,2.0,5.0,61.0,2.0,4.0,205.3,2.0,4.0,532.3
3.0,6.0,179.1,3.0,6.0,85.1,2.0,6.0,309.9,2.0,6.0,121.2,2.0,6.0,327.8,2.0,5.0,716.3
4.0,2.0,20.5,4.0,1.0,17.9,4.0,1.0,457.0,3.0,1.0,501.8,3.0,1.0,1056.0,3.0,1.0,2088.0
4.0,3.0,58.1,4.0,3.0,28.1,4.0,2.0,286.9,3.0,2.0,274.7,3.0,2.0,694.3,3.0,2.0,1245.0
4.0,5.0,44.8,4.0,5.0,17.3,4.0,5.0,438.5,3.0,5.0,430.9,3.0,4.0,812.8,3.0,4.0,895.9
4.0,6.0,76.5,4.0,6.0,35.4,4.0,6.0,581.3,3.0,6.0,493.6,3.0,6.0,1317.0,3.0,5.0,2088.0
5.0,2.0,50.5,5.0,1.0,56.8,5.0,1.0,662.1,5.0,1.0,127.8,4.0,1.0,277.3,4.0,1.0,1371.0
5.0,3.0,130.7,5.0,3.0,75.8,5.0,2.0,601.9,5.0,2.0,94.2,4.0,2.0,202.4,4.0,2.0,582.5
5.0,4.0,87.6,5.0,4.0,39.6,5.0,4.0,673.6,5.0,3.0,312.0,4.0,3.0,554.0,4.0,3.0,1686.0
5.0,6.0,177.3,5.0,6.0,90.8,5.0,6.0,1048.0,5.0,6.0,166.2,4.0,6.0,392.8,4.0,5.0,1112.0
6.0,2.0,156.3,6.0,1.0,143.9,6.0,1.0,1305.0,6.0,1.0,424.1,6.0,1.0,1135.0,5.0,1.0,1809.0
6.0,3.0,436.4,6.0,3.0,183.5,6.0,2.0,962.7,6.0,2.0,252.0,6.0,2.0,559.7,5.0,2.0,810.4
6.0,4.0,245.0,6.0,4.0,104.4,6.0,4.0,1073.0,6.0,3.0,641.8,6.0,3.0,1718.0,5.0,3.0,2281.0
6.0,5.0,401.6,6.0,5.0,174.0,6.0,5.0,1364.0,6.0,5.0,352.5,6.0,4.0,793.8,5.0,4.0,1135.0
