1,北山 康介,北山 康介.1,2,山田 丈,山田 丈.1,3,桑島 和宏,桑島 和宏.1,4,佐藤　謙史朗,佐藤　謙史朗.1,5,志道 吉和,志道 吉和.1,6,深山 祐二,深山 祐二.1
2.0,3.0,4.0,1.0,3.0,26.5,1.0,2.0,69.1,1.0,2.0,56.9,1.0,2.0,683.8,1.0,2.0,1861.0
2.0,4.0,6.0,1.0,4.0,30.9,1.0,4.0,92.3,1.0,3.0,113.7,1.0,3.0,852.4,1.0,3.0,2256.0
2.0,5.0,24.5,1.0,5.0,104.9,1.0,5.0,195.1,1.0,5.0,96.0,1.0,4.0,700.0,1.0,4.0,1441.0
2.0,6.0,47.0,1.0,6.0,207.5,1.0,6.0,266.6,1.0,6.0,145.1,1.0,6.0,979.0,1.0,5.0,3144.0
3.0,2.0,6.1,3.0,1.0,82.3,2.0,1.0,144.8,2.0,1.0,99.2,2.0,1.0,969.9,2.0,1.0,2731.0
3.0,4.0,9.1,3.0,4.0,153.2,2.0,4.0,268.1,2.0,3.0,255.1,2.0,3.0,1948.0,2.0,3.0,2470.0
3.0,5.0,27.7,3.0,5.0,427.5,2.0,5.0,687.2,2.0,5.0,247.5,2.0,4.0,1554.0,2.0,4.0,2372.0
3.0,6.0,48.4,3.0,6.0,669.5,2.0,6.0,763.0,2.0,6.0,340.8,2.0,6.0,2219.0,2.0,5.0,4561.0
4.0,2.0,12.6,4.0,1.0,111.7,4.0,1.0,281.8,3.0,1.0,290.0,3.0,1.0,1660.0,3.0,1.0,3673.0
4.0,3.0,19.1,4.0,3.0,258.3,4.0,2.0,395.7,3.0,2.0,432.8,3.0,2.0,2882.0,3.0,2.0,2456.0
4.0,5.0,39.7,4.0,5.0,435.1,4.0,5.0,771.5,3.0,5.0,828.5,3.0,4.0,2243.0,3.0,4.0,1828.0
4.0,6.0,69.4,4.0,6.0,626.1,4.0,6.0,881.3,3.0,6.0,784.7,3.0,6.0,3706.0,3.0,5.0,4664.0
5.0,2.0,81.6,5.0,1.0,602.4,5.0,1.0,825.2,5.0,1.0,162.1,4.0,1.0,724.4,4.0,1.0,2065.0
5.0,3.0,104.4,5.0,3.0,965.3,5.0,2.0,1330.0,5.0,2.0,236.8,4.0,2.0,1030.0,4.0,2.0,2208.0
5.0,4.0,108.4,5.0,4.0,949.9,5.0,4.0,1231.0,5.0,3.0,499.5,4.0,3.0,1621.0,4.0,3.0,2219.0
5.0,6.0,240.2,5.0,6.0,1694.0,5.0,6.0,2485.0,5.0,6.0,294.4,4.0,6.0,1048.0,4.0,5.0,2804.0
6.0,2.0,253.4,6.0,1.0,1086.0,6.0,1.0,702.4,6.0,1.0,331.5,6.0,1.0,2075.0,5.0,1.0,3843.0
6.0,3.0,313.2,6.0,3.0,1330.0,6.0,2.0,1504.0,6.0,2.0,527.4,6.0,2.0,2713.0,5.0,2.0,3673.0
6.0,4.0,263.5,6.0,4.0,1106.0,6.0,4.0,680.5,6.0,3.0,732.1,6.0,3.0,3739.0,5.0,3.0,4512.0
6.0,5.0,439.2,6.0,5.0,1869.0,6.0,5.0,3052.0,6.0,5.0,544.7,6.0,4.0,2208.0,5.0,4.0,2986.0
