1,深山 祐二,深山 祐二.1,2,品川 賢次,品川 賢次.1,3,川崎 智稔,川崎 智稔.1,4,真庭 明志,真庭 明志.1,5,坂井 滉哉,坂井 滉哉.1,6,高倉 和士,高倉 和士.1
2.0,3.0,31.0,1.0,3.0,59.1,1.0,2.0,117.4,1.0,2.0,86.3,1.0,2.0,1069.0,1.0,2.0,55.7
2.0,4.0,26.3,1.0,4.0,38.8,1.0,4.0,110.4,1.0,3.0,169.4,1.0,3.0,2035.0,1.0,3.0,100.2
2.0,5.0,254.7,1.0,5.0,224.7,1.0,5.0,444.0,1.0,5.0,464.3,1.0,4.0,1265.0,1.0,4.0,45.3
2.0,6.0,21.6,1.0,6.0,31.6,1.0,6.0,77.6,1.0,6.0,53.5,1.0,6.0,1685.0,1.0,5.0,384.9
3.0,2.0,48.5,3.0,1.0,92.4,2.0,1.0,133.2,2.0,1.0,95.3,2.0,1.0,1454.0,2.0,1.0,63.0
3.0,4.0,52.3,3.0,4.0,51.5,2.0,4.0,71.5,2.0,3.0,101.4,2.0,3.0,1779.0,2.0,3.0,72.1
3.0,5.0,306.2,3.0,5.0,380.3,2.0,5.0,454.4,2.0,5.0,377.5,2.0,4.0,1223.0,2.0,4.0,28.2
3.0,6.0,41.6,3.0,6.0,41.3,2.0,6.0,55.6,2.0,6.0,29.4,2.0,6.0,1696.0,2.0,5.0,357.8
4.0,2.0,34.4,4.0,1.0,57.5,4.0,1.0,147.5,3.0,1.0,233.0,3.0,1.0,2400.0,3.0,1.0,146.4
4.0,3.0,59.6,4.0,3.0,52.0,4.0,2.0,96.8,3.0,2.0,153.8,3.0,2.0,1830.0,3.0,2.0,101.0
4.0,5.0,319.6,4.0,5.0,297.9,4.0,5.0,447.2,3.0,5.0,689.6,3.0,4.0,2085.0,3.0,4.0,77.9
4.0,6.0,25.6,4.0,6.0,21.6,4.0,6.0,54.1,3.0,6.0,74.0,3.0,6.0,1817.0,3.0,5.0,555.5
5.0,2.0,593.1,5.0,1.0,768.7,5.0,1.0,1101.0,5.0,1.0,654.1,4.0,1.0,1229.0,4.0,1.0,42.6
5.0,3.0,807.8,5.0,3.0,990.1,5.0,2.0,982.4,5.0,2.0,666.1,4.0,2.0,1101.0,4.0,2.0,23.0
5.0,4.0,792.7,5.0,4.0,771.1,5.0,4.0,1017.0,5.0,3.0,918.6,4.0,3.0,2068.0,4.0,3.0,53.5
5.0,6.0,748.4,5.0,6.0,706.8,5.0,6.0,746.2,5.0,6.0,341.1,4.0,6.0,912.0,4.0,5.0,180.7
6.0,2.0,31.2,6.0,1.0,48.2,6.0,1.0,95.0,6.0,1.0,37.8,6.0,1.0,1719.0,5.0,1.0,802.7
6.0,3.0,56.0,6.0,3.0,42.8,6.0,2.0,67.9,6.0,2.0,20.0,6.0,2.0,1505.0,5.0,2.0,807.8
6.0,4.0,33.1,6.0,4.0,26.7,6.0,4.0,58.2,6.0,3.0,45.0,6.0,3.0,1130.0,5.0,3.0,974.9
6.0,5.0,369.3,6.0,5.0,235.6,6.0,5.0,342.0,6.0,5.0,150.8,6.0,4.0,986.2,5.0,4.0,397.6
