1,藤田 竜弘,藤田 竜弘.1,2,渡辺 空依,渡辺 空依.1,3,岡瀬 正人,岡瀬 正人.1,4,坂井 滉哉,坂井 滉哉.1,5,安東 幸治,安東 幸治.1,6,北山 康介,北山 康介.1
2.0,3.0,23.9,1.0,3.0,112.4,1.0,2.0,47.8,1.0,2.0,961.1,1.0,2.0,151.5,1.0,2.0,308.6
2.0,4.0,132.4,1.0,4.0,501.5,1.0,4.0,85.1,1.0,3.0,514.5,1.0,3.0,50.8,1.0,3.0,99.7
2.0,5.0,41.7,1.0,5.0,191.9,1.0,5.0,12.0,1.0,5.0,480.5,1.0,4.0,249.4,1.0,4.0,618.9
2.0,6.0,55.5,1.0,6.0,230.0,1.0,6.0,16.2,1.0,6.0,553.7,1.0,6.0,56.7,1.0,5.0,122.9
3.0,2.0,15.8,3.0,1.0,195.7,2.0,1.0,157.2,2.0,1.0,1634.0,2.0,1.0,366.6,2.0,1.0,718.8
3.0,4.0,49.8,3.0,4.0,805.0,2.0,4.0,539.3,2.0,3.0,1745.0,2.0,3.0,500.4,2.0,3.0,888.7
3.0,5.0,6.1,3.0,5.0,364.5,2.0,5.0,200.9,2.0,5.0,1956.0,2.0,4.0,1531.0,2.0,4.0,1659.0
3.0,6.0,8.6,3.0,6.0,399.9,2.0,6.0,242.5,2.0,6.0,1541.0,2.0,6.0,616.3,2.0,5.0,1064.0
4.0,2.0,207.5,4.0,1.0,1056.0,4.0,1.0,232.3,3.0,1.0,617.2,3.0,1.0,64.9,3.0,1.0,132.5
4.0,3.0,140.4,4.0,3.0,1646.0,4.0,2.0,508.5,3.0,2.0,1222.0,3.0,2.0,262.0,3.0,2.0,575.6
4.0,5.0,156.9,4.0,5.0,1930.0,4.0,5.0,196.6,3.0,5.0,579.5,3.0,4.0,345.4,3.0,4.0,706.0
4.0,6.0,183.2,4.0,6.0,1759.0,4.0,6.0,229.3,3.0,6.0,676.5,3.0,6.0,70.1,3.0,5.0,148.0
5.0,2.0,42.4,5.0,1.0,473.2,5.0,1.0,25.8,5.0,1.0,460.2,4.0,1.0,474.8,4.0,1.0,1148.0
5.0,3.0,13.2,5.0,3.0,654.2,5.0,2.0,127.8,5.0,2.0,1189.0,4.0,2.0,1077.0,4.0,2.0,1552.0
5.0,4.0,125.1,5.0,4.0,1856.0,5.0,4.0,144.1,5.0,3.0,552.3,4.0,3.0,601.0,4.0,3.0,1229.0
5.0,6.0,19.5,5.0,6.0,831.1,5.0,6.0,28.5,5.0,6.0,368.2,4.0,6.0,393.1,4.0,5.0,886.9
6.0,2.0,83.6,6.0,1.0,643.6,6.0,1.0,45.3,6.0,1.0,743.3,6.0,1.0,78.6,5.0,1.0,143.7
6.0,3.0,25.9,6.0,3.0,862.3,6.0,2.0,189.1,6.0,2.0,1426.0,6.0,2.0,305.3,5.0,2.0,596.1
6.0,4.0,176.3,6.0,4.0,1864.0,6.0,4.0,238.4,6.0,3.0,869.2,6.0,3.0,97.2,5.0,3.0,153.2
6.0,5.0,35.1,6.0,5.0,1036.0,6.0,5.0,50.4,6.0,5.0,521.3,6.0,4.0,313.9,5.0,4.0,644.5
