1,白水 勝也,白水 勝也.1,2,野末 智一,野末 智一.1,3,中嶋　誠一郎,中嶋　誠一郎.1,4,山口 修路,山口 修路.1,5,檀 将太,檀 将太.1,6,小森 信雄,小森 信雄.1
2.0,3.0,3.9,1.0,3.0,57.6,1.0,2.0,84.5,1.0,2.0,189.5,1.0,2.0,304.9,1.0,2.0,629.6
2.0,4.0,7.0,1.0,4.0,87.7,1.0,4.0,96.3,1.0,3.0,232.8,1.0,3.0,396.2,1.0,3.0,726.5
2.0,5.0,19.9,1.0,5.0,208.0,1.0,5.0,221.7,1.0,5.0,359.5,1.0,4.0,472.2,1.0,4.0,1072.0
2.0,6.0,20.5,1.0,6.0,232.2,1.0,6.0,258.4,1.0,6.0,278.6,1.0,6.0,342.6,1.0,5.0,761.4
3.0,2.0,5.5,3.0,1.0,167.8,2.0,1.0,180.2,2.0,1.0,431.9,2.0,1.0,743.5,2.0,1.0,1221.0
3.0,4.0,7.7,3.0,4.0,422.0,2.0,4.0,430.3,2.0,3.0,922.1,2.0,3.0,1672.0,2.0,3.0,2443.0
3.0,5.0,21.9,3.0,5.0,878.0,2.0,5.0,794.2,2.0,5.0,1480.0,2.0,4.0,2184.0,2.0,4.0,3038.0
3.0,6.0,21.6,3.0,6.0,998.5,2.0,6.0,805.2,2.0,6.0,1127.0,2.0,6.0,1370.0,2.0,5.0,2709.0
4.0,2.0,16.4,4.0,1.0,384.0,4.0,1.0,351.2,3.0,1.0,495.0,3.0,1.0,759.7,3.0,1.0,1333.0
4.0,3.0,18.0,4.0,3.0,706.0,4.0,2.0,610.9,3.0,2.0,981.6,3.0,2.0,1672.0,3.0,2.0,2361.0
4.0,5.0,52.4,4.0,5.0,1595.0,4.0,5.0,1078.0,3.0,5.0,1432.0,3.0,4.0,1610.0,3.0,4.0,1920.0
4.0,6.0,45.1,4.0,6.0,1172.0,4.0,6.0,887.0,3.0,6.0,1499.0,3.0,6.0,2067.0,3.0,5.0,2627.0
5.0,2.0,51.5,5.0,1.0,735.7,5.0,1.0,655.6,5.0,1.0,616.3,4.0,1.0,830.1,4.0,1.0,1664.0
5.0,3.0,59.6,5.0,3.0,1386.0,5.0,2.0,1456.0,5.0,2.0,1480.0,4.0,2.0,2226.0,4.0,2.0,2627.0
5.0,4.0,97.9,5.0,4.0,1963.0,5.0,4.0,1567.0,5.0,3.0,1420.0,4.0,3.0,2080.0,4.0,3.0,2647.0
5.0,6.0,76.2,5.0,6.0,1713.0,5.0,6.0,1704.0,5.0,6.0,1021.0,4.0,6.0,1526.0,4.0,5.0,3012.0
6.0,2.0,82.9,6.0,1.0,844.1,6.0,1.0,858.6,6.0,1.0,846.2,6.0,1.0,644.8,5.0,1.0,981.6
6.0,3.0,88.1,6.0,3.0,1539.0,6.0,2.0,1318.0,6.0,2.0,1672.0,6.0,2.0,1420.0,5.0,2.0,2588.0
6.0,4.0,134.2,6.0,4.0,1810.0,6.0,4.0,1595.0,6.0,3.0,1868.0,6.0,3.0,1603.0,5.0,3.0,3148.0
6.0,5.0,125.3,6.0,5.0,2314.0,6.0,5.0,2080.0,6.0,5.0,1539.0,6.0,4.0,1688.0,5.0,4.0,2987.0
