1,中村 辰也,中村 辰也.1,2,志道 吉和,志道 吉和.1,3,高田 明,高田 明.1,4,北川 敏弘,北川 敏弘.1,5,藤丸 光一,藤丸 光一.1,6,上村 純一,上村 純一.1
2.0,3.0,14.3,1.0,3.0,112.6,1.0,2.0,64.1,1.0,2.0,417.2,1.0,2.0,473.4,1.0,2.0,125.0
2.0,4.0,46.0,1.0,4.0,250.9,1.0,4.0,43.3,1.0,3.0,195.7,1.0,3.0,233.2,1.0,3.0,58.7
2.0,5.0,36.2,1.0,5.0,243.9,1.0,5.0,35.4,1.0,5.0,425.9,1.0,4.0,523.2,1.0,4.0,143.0
2.0,6.0,25.4,1.0,6.0,175.9,1.0,6.0,22.8,1.0,6.0,142.4,1.0,6.0,224.4,1.0,5.0,125.9
3.0,2.0,10.6,3.0,1.0,192.5,2.0,1.0,146.3,2.0,1.0,821.4,2.0,1.0,831.3,2.0,1.0,313.1
3.0,4.0,13.2,3.0,4.0,458.5,2.0,4.0,357.7,2.0,3.0,1076.0,2.0,3.0,1167.0,2.0,3.0,469.4
3.0,5.0,8.9,3.0,5.0,459.2,2.0,5.0,346.9,2.0,5.0,1320.0,2.0,4.0,1572.0,2.0,4.0,640.4
3.0,6.0,6.7,3.0,6.0,319.2,2.0,6.0,232.9,2.0,6.0,674.0,2.0,6.0,1237.0,2.0,5.0,760.3
4.0,2.0,89.2,4.0,1.0,731.1,4.0,1.0,125.9,3.0,1.0,300.5,3.0,1.0,338.8,3.0,1.0,98.3
4.0,3.0,46.2,4.0,3.0,971.9,4.0,2.0,373.5,3.0,2.0,837.6,3.0,2.0,1003.0,3.0,2.0,337.0
4.0,5.0,84.4,4.0,5.0,1269.0,4.0,5.0,226.6,3.0,5.0,712.3,3.0,4.0,817.8,3.0,4.0,275.6
4.0,6.0,46.9,4.0,6.0,888.9,4.0,6.0,117.9,3.0,6.0,257.4,3.0,6.0,417.2,3.0,5.0,230.9
5.0,2.0,60.5,5.0,1.0,706.8,5.0,1.0,117.3,5.0,1.0,777.5,4.0,1.0,835.1,4.0,1.0,204.7
5.0,3.0,26.1,5.0,3.0,970.1,5.0,2.0,390.4,5.0,2.0,1336.0,4.0,2.0,1433.0,4.0,2.0,376.3
5.0,4.0,83.3,5.0,4.0,1343.0,5.0,4.0,279.5,5.0,3.0,1018.0,4.0,3.0,1041.0,4.0,3.0,271.5
5.0,6.0,33.4,5.0,6.0,975.3,5.0,6.0,137.6,5.0,6.0,635.9,4.0,6.0,773.1,4.0,5.0,403.8
6.0,2.0,35.6,6.0,1.0,449.5,6.0,1.0,54.6,6.0,1.0,151.3,6.0,1.0,354.3,5.0,1.0,283.2
6.0,3.0,17.0,6.0,3.0,592.9,6.0,2.0,188.7,6.0,2.0,342.8,6.0,2.0,1099.0,5.0,2.0,835.1
6.0,4.0,45.7,6.0,4.0,886.1,6.0,4.0,114.3,6.0,3.0,202.1,6.0,3.0,514.4,5.0,3.0,373.2
6.0,5.0,34.4,6.0,5.0,978.7,6.0,5.0,114.9,6.0,5.0,357.3,6.0,4.0,727.3,5.0,4.0,593.5
