1,上村 純一,上村 純一.1,2,板倉 敦史,板倉 敦史.1,3,真庭 明志,真庭 明志.1,4,品川 賢次,品川 賢次.1,5,桑島 和宏,桑島 和宏.1,6,高田 明,高田 明.1
2.0,3.0,12.8,1.0,3.0,132.0,1.0,2.0,70.6,1.0,2.0,449.1,1.0,2.0,215.0,1.0,2.0,344.3
2.0,4.0,25.5,1.0,4.0,221.2,1.0,4.0,66.7,1.0,3.0,320.5,1.0,3.0,112.5,1.0,3.0,205.6
2.0,5.0,18.5,1.0,5.0,182.8,1.0,5.0,31.1,1.0,5.0,380.5,1.0,4.0,314.5,1.0,4.0,341.3
2.0,6.0,26.5,1.0,6.0,230.6,1.0,6.0,39.7,1.0,6.0,355.6,1.0,6.0,140.1,1.0,5.0,247.6
3.0,2.0,10.4,3.0,1.0,204.1,2.0,1.0,175.3,2.0,1.0,748.6,2.0,1.0,453.2,2.0,1.0,662.1
3.0,4.0,14.1,3.0,4.0,673.5,2.0,4.0,453.2,2.0,3.0,1291.0,2.0,3.0,722.5,2.0,3.0,1037.0
3.0,5.0,6.9,3.0,5.0,523.9,2.0,5.0,324.2,2.0,5.0,1484.0,2.0,4.0,1171.0,2.0,4.0,1179.0
3.0,6.0,10.3,3.0,6.0,578.5,2.0,6.0,366.9,2.0,6.0,1177.0,2.0,6.0,642.2,2.0,5.0,1103.0
4.0,2.0,45.4,4.0,1.0,643.4,4.0,1.0,196.5,3.0,1.0,497.3,3.0,1.0,161.4,3.0,1.0,264.5
4.0,3.0,33.6,4.0,3.0,1128.0,4.0,2.0,530.6,3.0,2.0,1209.0,3.0,2.0,533.0,3.0,2.0,851.7
4.0,5.0,44.5,4.0,5.0,1402.0,4.0,5.0,246.1,3.0,5.0,753.4,3.0,4.0,514.0,3.0,4.0,607.4
4.0,6.0,50.9,4.0,6.0,891.5,4.0,6.0,201.0,3.0,6.0,649.3,3.0,6.0,196.9,3.0,5.0,353.3
5.0,2.0,28.5,5.0,1.0,514.3,5.0,1.0,60.3,5.0,1.0,630.2,4.0,1.0,630.2,4.0,1.0,678.1
5.0,3.0,15.9,5.0,3.0,712.3,5.0,2.0,203.8,5.0,2.0,1380.0,4.0,2.0,1263.0,4.0,2.0,1463.0
5.0,4.0,39.5,5.0,4.0,1209.0,5.0,4.0,159.5,5.0,3.0,980.8,4.0,3.0,919.4,4.0,3.0,931.6
5.0,6.0,22.7,5.0,6.0,692.7,5.0,6.0,64.0,5.0,6.0,608.4,4.0,6.0,539.5,4.0,5.0,921.8
6.0,2.0,51.7,6.0,1.0,793.2,6.0,1.0,107.8,6.0,1.0,684.0,6.0,1.0,228.1,5.0,1.0,335.9
6.0,3.0,31.0,6.0,3.0,1270.0,6.0,2.0,320.7,6.0,2.0,1402.0,6.0,2.0,525.5,5.0,2.0,849.6
6.0,4.0,62.5,6.0,4.0,1539.0,6.0,4.0,223.4,6.0,3.0,905.3,6.0,3.0,244.8,5.0,3.0,373.7
6.0,5.0,39.6,6.0,5.0,1222.0,6.0,5.0,103.1,6.0,5.0,788.8,6.0,4.0,434.7,5.0,4.0,654.2
