1,大串 重幸,大串 重幸.1,2,岩津 徹郎,岩津 徹郎.1,3,津田 陸翔,津田 陸翔.1,4,桑島 和宏,桑島 和宏.1,5,澤 大介,澤 大介.1,6,黒野 元基,黒野 元基.1
2.0,3.0,22.6,1.0,3.0,44.5,1.0,2.0,56.8,1.0,2.0,256.6,1.0,2.0,181.2,1.0,2.0,321.8
2.0,4.0,35.8,1.0,4.0,67.1,1.0,4.0,43.9,1.0,3.0,243.5,1.0,3.0,117.5,1.0,3.0,215.1
2.0,5.0,47.3,1.0,5.0,70.2,1.0,5.0,33.4,1.0,5.0,216.0,1.0,4.0,245.4,1.0,4.0,298.9
2.0,6.0,41.5,1.0,6.0,69.3,1.0,6.0,29.8,1.0,6.0,147.2,1.0,6.0,106.9,1.0,5.0,269.6
3.0,2.0,19.3,3.0,1.0,74.8,2.0,1.0,82.6,2.0,1.0,346.2,2.0,1.0,260.8,2.0,1.0,448.6
3.0,4.0,24.5,3.0,4.0,105.1,2.0,4.0,87.3,2.0,3.0,319.8,2.0,3.0,237.9,2.0,3.0,361.9
3.0,5.0,21.3,3.0,5.0,95.4,2.0,5.0,74.2,2.0,5.0,389.5,2.0,4.0,341.5,2.0,4.0,343.2
3.0,6.0,20.2,3.0,6.0,91.6,2.0,6.0,59.7,2.0,6.0,245.5,2.0,6.0,193.8,2.0,5.0,389.1
4.0,2.0,62.2,4.0,1.0,159.4,4.0,1.0,68.4,3.0,1.0,230.9,3.0,1.0,123.1,3.0,1.0,230.4
4.0,3.0,56.6,4.0,3.0,170.1,4.0,2.0,102.3,3.0,2.0,263.5,3.0,2.0,188.1,3.0,2.0,295.6
4.0,5.0,76.0,4.0,5.0,230.0,4.0,5.0,42.4,3.0,5.0,140.1,3.0,4.0,163.0,3.0,4.0,210.2
4.0,6.0,57.4,4.0,6.0,171.4,4.0,6.0,37.7,3.0,6.0,116.0,3.0,6.0,76.6,3.0,5.0,161.9
5.0,2.0,95.4,5.0,1.0,167.0,5.0,1.0,48.5,5.0,1.0,247.3,4.0,1.0,313.8,4.0,1.0,347.9
5.0,3.0,54.6,5.0,3.0,160.3,5.0,2.0,81.9,5.0,2.0,343.5,4.0,2.0,412.3,4.0,2.0,310.2
5.0,4.0,110.4,5.0,4.0,263.5,5.0,4.0,52.5,5.0,3.0,254.6,4.0,3.0,263.3,4.0,3.0,281.2
5.0,6.0,62.8,5.0,6.0,165.6,5.0,6.0,27.7,5.0,6.0,111.3,4.0,6.0,135.3,4.0,5.0,192.9
6.0,2.0,97.1,6.0,1.0,219.4,6.0,1.0,62.9,6.0,1.0,205.0,6.0,1.0,134.7,5.0,1.0,265.1
6.0,3.0,62.1,6.0,3.0,220.3,6.0,2.0,93.7,6.0,2.0,225.0,6.0,2.0,185.1,5.0,2.0,310.2
6.0,4.0,95.2,6.0,4.0,253.7,6.0,4.0,59.4,6.0,3.0,184.5,6.0,3.0,104.3,5.0,3.0,175.9
6.0,5.0,90.9,6.0,5.0,250.8,6.0,5.0,36.3,6.0,5.0,116.8,6.0,4.0,127.4,5.0,4.0,186.8
