1,岡瀬 正人,岡瀬 正人.1,2,上村 純一,上村 純一.1,3,小森 信雄,小森 信雄.1,4,屋良 龍紀,屋良 龍紀.1,5,大神 康司,大神 康司.1,6,出畑 孝典,出畑 孝典.1
2.0,3.0,22.7,1.0,3.0,36.5,1.0,2.0,173.4,1.0,2.0,963.8,1.0,2.0,36.7,1.0,2.0,82.7
2.0,4.0,120.8,1.0,4.0,157.1,1.0,4.0,608.6,1.0,3.0,1294.0,1.0,3.0,83.9,1.0,3.0,193.8
2.0,5.0,9.1,1.0,5.0,18.2,1.0,5.0,196.7,1.0,5.0,1140.0,1.0,4.0,307.8,1.0,4.0,403.4
2.0,6.0,11.6,1.0,6.0,18.0,1.0,6.0,169.0,1.0,6.0,1006.0,1.0,6.0,44.5,1.0,5.0,83.9
3.0,2.0,47.5,3.0,1.0,63.3,2.0,1.0,142.3,2.0,1.0,1043.0,2.0,1.0,48.2,2.0,1.0,73.5
3.0,4.0,242.4,3.0,4.0,201.8,2.0,4.0,418.3,2.0,3.0,1447.0,2.0,3.0,111.7,2.0,3.0,131.7
3.0,5.0,61.0,3.0,5.0,71.9,2.0,5.0,163.1,2.0,5.0,1219.0,2.0,4.0,411.2,2.0,4.0,325.2
3.0,6.0,69.5,3.0,6.0,47.3,2.0,6.0,119.2,2.0,6.0,722.3,2.0,6.0,54.6,2.0,5.0,78.4
4.0,2.0,318.6,4.0,1.0,389.5,4.0,1.0,847.8,3.0,1.0,1403.0,3.0,1.0,206.7,3.0,1.0,194.5
4.0,3.0,441.0,4.0,3.0,459.5,4.0,2.0,767.7,3.0,2.0,1294.0,3.0,2.0,217.7,3.0,2.0,168.3
4.0,5.0,305.4,4.0,5.0,513.0,4.0,5.0,916.4,3.0,5.0,1474.0,3.0,4.0,943.7,3.0,4.0,383.4
4.0,6.0,321.2,4.0,6.0,264.6,4.0,6.0,551.4,3.0,6.0,972.6,3.0,6.0,235.9,3.0,5.0,198.6
5.0,2.0,12.7,5.0,1.0,30.9,5.0,1.0,240.4,5.0,1.0,1243.0,4.0,1.0,1053.0,4.0,1.0,749.6
5.0,3.0,36.1,5.0,3.0,65.0,5.0,2.0,235.9,5.0,2.0,1428.0,4.0,2.0,1219.0,4.0,2.0,589.3
5.0,4.0,174.3,5.0,4.0,275.4,5.0,4.0,868.7,5.0,3.0,1714.0,4.0,3.0,1304.0,4.0,3.0,703.0
5.0,6.0,19.6,5.0,6.0,28.3,5.0,6.0,215.5,5.0,6.0,1157.0,4.0,6.0,885.7,4.0,5.0,744.3
6.0,2.0,29.6,6.0,1.0,29.9,6.0,1.0,163.2,6.0,1.0,1229.0,6.0,1.0,84.7,5.0,1.0,105.2
6.0,3.0,79.1,6.0,3.0,48.6,6.0,2.0,139.1,6.0,2.0,817.2,6.0,2.0,79.8,5.0,2.0,106.9
6.0,4.0,246.9,6.0,4.0,142.4,6.0,4.0,351.9,6.0,3.0,978.6,6.0,3.0,168.5,5.0,3.0,219.5
6.0,5.0,33.9,6.0,5.0,31.5,6.0,5.0,179.0,6.0,5.0,1140.0,6.0,4.0,504.9,5.0,4.0,485.5
