1,安東 幸治,安東 幸治.1,2,板倉 敦史,板倉 敦史.1,3,野末 智一,野末 智一.1,4,真庭 明志,真庭 明志.1,5,品川 賢次,品川 賢次.1,6,白水 勝也,白水 勝也.1
2.0,3.0,61.0,1.0,3.0,190.7,1.0,2.0,411.7,1.0,2.0,147.6,1.0,2.0,210.7,1.0,2.0,25.8
2.0,4.0,23.7,1.0,4.0,100.4,1.0,4.0,315.6,1.0,3.0,179.8,1.0,3.0,308.4,1.0,3.0,64.5
2.0,5.0,37.9,1.0,5.0,143.7,1.0,5.0,531.2,1.0,5.0,121.2,1.0,4.0,195.5,1.0,4.0,21.9
2.0,6.0,13.7,1.0,6.0,55.4,1.0,6.0,245.9,1.0,6.0,48.4,1.0,6.0,83.7,1.0,5.0,32.5
3.0,2.0,92.0,3.0,1.0,593.4,2.0,1.0,547.6,2.0,1.0,284.9,2.0,1.0,364.5,2.0,1.0,57.8
3.0,4.0,71.5,3.0,4.0,1111.0,2.0,4.0,849.2,2.0,3.0,823.4,2.0,3.0,873.3,2.0,3.0,227.1
3.0,5.0,134.9,3.0,5.0,1164.0,2.0,5.0,1064.0,2.0,5.0,408.0,2.0,4.0,609.1,2.0,4.0,102.9
3.0,6.0,50.8,3.0,6.0,616.4,2.0,6.0,701.8,2.0,6.0,176.2,2.0,6.0,243.3,2.0,5.0,131.1
4.0,2.0,26.3,4.0,1.0,229.7,4.0,1.0,468.6,3.0,1.0,319.1,3.0,1.0,631.6,3.0,1.0,159.2
4.0,3.0,58.0,4.0,3.0,865.1,4.0,2.0,993.8,3.0,2.0,807.5,3.0,2.0,1040.0,3.0,2.0,330.5
4.0,5.0,30.9,4.0,5.0,483.3,4.0,5.0,1022.0,3.0,5.0,617.3,3.0,4.0,914.9,3.0,4.0,193.7
4.0,6.0,11.5,4.0,6.0,157.0,4.0,6.0,385.8,3.0,6.0,215.4,3.0,6.0,443.8,3.0,5.0,283.9
5.0,2.0,60.7,5.0,1.0,332.7,5.0,1.0,916.7,5.0,1.0,204.5,4.0,1.0,294.6,4.0,1.0,43.4
5.0,3.0,134.8,5.0,3.0,1062.0,5.0,2.0,1256.0,5.0,2.0,369.7,4.0,2.0,530.6,4.0,2.0,109.8
5.0,4.0,57.0,5.0,4.0,589.6,5.0,4.0,1182.0,5.0,3.0,476.8,4.0,3.0,677.1,4.0,3.0,147.3
5.0,6.0,27.6,5.0,6.0,220.6,5.0,6.0,734.2,5.0,6.0,121.3,4.0,6.0,186.0,4.0,5.0,103.6
6.0,2.0,13.4,6.0,1.0,83.8,6.0,1.0,276.4,6.0,1.0,50.2,6.0,1.0,69.0,5.0,1.0,59.5
6.0,3.0,37.8,6.0,3.0,371.8,6.0,2.0,623.1,6.0,2.0,121.8,6.0,2.0,129.8,5.0,2.0,125.7
6.0,4.0,10.9,6.0,4.0,137.2,6.0,4.0,392.7,6.0,3.0,134.4,6.0,3.0,164.0,5.0,3.0,177.7
6.0,5.0,19.4,6.0,5.0,181.2,6.0,5.0,548.3,6.0,5.0,83.6,6.0,4.0,119.8,5.0,4.0,107.4
